model,disease,horizon,n,mae,rmse,r2,smape,mape,origin
seasonal_naive,hanseniase,1,23,0.8260869565217391,1.5463842820677165,0.30949781659388653,175.2136752136752,58.93719806763285,origin_201912
seasonal_ma3,hanseniase,1,23,0.6086956547654193,1.3548980868213552,0.4699175061241392,176.5356265034177,34.62157805184811,origin_201912
sarima,hanseniase,1,23,0.7898857222424577,1.6191456537603692,0.24298926264181853,186.64166704895342,47.79369920685635,origin_201912
lgbm,hanseniase,1,23,0.5705302261752262,1.4123896501231552,0.4239777548706444,186.9735780279247,29.217700593246356,origin_201912
catboost,hanseniase,1,23,0.5906194566714638,1.1795145553899176,0.5982676439993118,185.34416030421684,37.04028922845154,origin_201912
xgboost,hanseniase,1,23,0.6318027712404728,1.5753547108138362,0.283383316635759,187.2609311876265,32.474797192043155,origin_201912
prophet,hanseniase,1,23,0.5878888845479889,1.2710521812366498,0.5334942906721674,187.37670566375868,34.99162280500254,origin_201912
seasonal_naive,hanseniase,3,23,0.6086956521739131,1.3831281496162493,-0.709459459459459,160.47619047619045,40.94202898550724,origin_201912
seasonal_ma3,hanseniase,3,23,0.5942028994145601,1.1733761498427884,-0.23029278816135035,168.31701605503454,38.526570224675574,origin_201912
sarima,hanseniase,3,23,0.8019218295407684,1.3983422250915627,-0.7472735770485772,181.7820290998893,62.557382229715586,origin_201912
lgbm,hanseniase,3,23,0.5442348040912661,0.9714089491164041,0.1567853069966254,180.6574603438992,38.54008123829655,origin_201912
catboost,hanseniase,3,23,0.4848673972144333,0.7983381115321041,0.4304816915004429,178.40448578930875,33.44349290958319,origin_201912
xgboost,hanseniase,3,23,0.5047320116149343,0.8433826609725792,0.3644008589752693,178.04426785023514,35.82369047554507,origin_201912
prophet,hanseniase,3,23,0.7328019889209133,1.315288825575907,-0.5458815937302108,183.19811344585963,54.03276038890677,origin_201912
seasonal_naive,hanseniase,6,23,0.6956521739130435,2.359071298478354,-5.513274336283189,142.85714285714286,65.21739130434783,origin_201912
seasonal_ma3,hanseniase,6,23,0.6086956586526788,1.336951637890285,-1.091937150018642,162.69230721485332,45.893720569817916,origin_201912
sarima,hanseniase,6,23,0.8778913426010505,1.803075449280651,-2.8049156838439644,183.15458961571932,72.77967004456383,origin_201912
lgbm,hanseniase,6,23,0.5425462336183443,1.250977504051922,-0.831539280034655,175.20658298520937,44.092314226371776,origin_201912
catboost,hanseniase,6,23,0.525249021797147,0.876050592775372,0.10179470101106003,179.49015292224942,38.27218706945033,origin_201912
xgboost,hanseniase,6,23,0.5009085043616917,0.9916788578864333,-0.1509576556364156,175.43425964781937,39.36838948208353,origin_201912
prophet,hanseniase,6,23,0.5184262065117631,1.3125518745684206,-1.0162769734426926,174.99916767238216,43.56647947415131,origin_201912
seasonal_naive,hanseniase,12,23,0.4782608695652174,1.0834726777719228,0.3190789473684209,138.0952380952381,26.811594202898547,origin_201912
