model,disease,horizon,origin,cd_mun,time_idx,y_true,y_pred
seasonal_naive,hanseniase,1,origin_201912,3505708,240,0.0,0.0
seasonal_naive,hanseniase,1,origin_201912,3506003,240,2.0,0.0
seasonal_naive,hanseniase,1,origin_201912,3509502,240,0.0,3.0
seasonal_naive,hanseniase,1,origin_201912,3510609,240,0.0,0.0
seasonal_naive,hanseniase,1,origin_201912,3513801,240,0.0,0.0
seasonal_naive,hanseniase,1,origin_201912,3518701,240,0.0,3.0
seasonal_naive,hanseniase,1,origin_201912,3518800,240,0.0,0.0
seasonal_naive,hanseniase,1,origin_201912,3522208,240,0.0,0.0
seasonal_naive,hanseniase,1,origin_201912,3525904,240,0.0,1.0
seasonal_naive,hanseniase,1,origin_201912,3529401,240,0.0,0.0
seasonal_naive,hanseniase,1,origin_201912,3534401,240,0.0,0.0
seasonal_naive,hanseniase,1,origin_201912,3536505,240,0.0,0.0
seasonal_naive,hanseniase,1,origin_201912,3541000,240,0.0,0.0
seasonal_naive,hanseniase,1,origin_201912,3543402,240,1.0,3.0
seasonal_naive,hanseniase,1,origin_201912,3547809,240,0.0,1.0
seasonal_naive,hanseniase,1,origin_201912,3548500,240,0.0,1.0
seasonal_naive,hanseniase,1,origin_201912,3548708,240,0.0,0.0
seasonal_naive,hanseniase,1,origin_201912,3549805,240,0.0,0.0
seasonal_naive,hanseniase,1,origin_201912,3549904,240,0.0,0.0
seasonal_naive,hanseniase,1,origin_201912,3550308,240,9.0,4.0
seasonal_naive,hanseniase,1,origin_201912,3551009,240,1.0,0.0
seasonal_naive,hanseniase,1,origin_201912,3552205,240,0.0,0.0
seasonal_naive,hanseniase,1,origin_201912,3554102,240,0.0,0.0
seasonal_ma3,hanseniase,1,origin_201912,3505708,240,0.0,0.6666666865348816
seasonal_ma3,hanseniase,1,origin_201912,3506003,240,2.0,0.0
seasonal_ma3,hanseniase,1,origin_201912,3509502,240,0.0,1.6666666269302368
seasonal_ma3,hanseniase,1,origin_201912,3510609,240,0.0,0.0
seasonal_ma3,hanseniase,1,origin_201912,3513801,240,0.0,0.3333333432674408
seasonal_ma3,hanseniase,1,origin_201912,3518701,240,0.0,1.0
seasonal_ma3,hanseniase,1,origin_201912,3518800,240,0.0,0.0
seasonal_ma3,hanseniase,1,origin_201912,3522208,240,0.0,0.0
seasonal_ma3,hanseniase,1,origin_201912,3525904,240,0.0,0.3333333432674408
seasonal_ma3,hanseniase,1,origin_201912,3529401,240,0.0,0.0
seasonal_ma3,hanseniase,1,origin_201912,3534401,240,0.0,0.0
seasonal_ma3,hanseniase,1,origin_201912,3536505,240,0.0,0.0
seasonal_ma3,hanseniase,1,origin_201912,3541000,240,0.0,0.0
seasonal_ma3,hanseniase,1,origin_201912,3543402,240,1.0,1.6666666269302368
seasonal_ma3,hanseniase,1,origin_201912,3547809,240,0.0,0.3333333432674408
seasonal_ma3,hanseniase,1,origin_201912,3548500,240,0.0,0.3333333432674408
seasonal_ma3,hanseniase,1,origin_201912,3548708,240,0.0,0.0
seasonal_ma3,hanseniase,1,origin_201912,3549805,240,0.0,0.0
seasonal_ma3,hanseniase,1,origin_201912,3549904,240,0.0,0.0
seasonal_ma3,hanseniase,1,origin_201912,3550308,240,9.0,3.3333332538604736
seasonal_ma3,hanseniase,1,origin_201912,3551009,240,1.0,0.0
seasonal_ma3,hanseniase,1,origin_201912,3552205,240,0.0,0.0
seasonal_ma3,hanseniase,1,origin_201912,3554102,240,0.0,0.0
sarima,hanseniase,1,origin_201912,3505708,240,0.0,0.10551474243402481
sarima,hanseniase,1,origin_201912,3506003,240,2.0,-2.3423728942871094
sarima,hanseniase,1,origin_201912,3509502,240,0.0,1.4876209497451782
sarima,hanseniase,1,origin_201912,3510609,240,0.0,0.13333334028720856
sarima,hanseniase,1,origin_201912,3513801,240,0.0,0.24837709963321686
sarima,hanseniase,1,origin_201912,3518701,240,0.0,2.318976640701294
sarima,hanseniase,1,origin_201912,3518800,240,0.0,0.5688611268997192
sarima,hanseniase,1,origin_201912,3522208,240,0.0,0.006196349393576384
sarima,hanseniase,1,origin_201912,3525904,240,0.0,0.6891781091690063
sarima,hanseniase,1,origin_201912,3529401,240,0.0,0.0624999962747097
sarima,hanseniase,1,origin_201912,3534401,240,0.0,0.1780724823474884
sarima,hanseniase,1,origin_201912,3536505,240,0.0,0.03595379367470741
sarima,hanseniase,1,origin_201912,3541000,240,0.0,0.142305389046669
sarima,hanseniase,1,origin_201912,3543402,240,1.0,0.8602079153060913
sarima,hanseniase,1,origin_201912,3547809,240,0.0,0.11666666716337204
sarima,hanseniase,1,origin_201912,3548500,240,0.0,0.07932058721780777
sarima,hanseniase,1,origin_201912,3548708,240,0.0,0.12387463450431824
sarima,hanseniase,1,origin_201912,3549805,240,0.0,0.08548261970281601
sarima,hanseniase,1,origin_201912,3549904,240,0.0,0.14166668057441711
sarima,hanseniase,1,origin_201912,3550308,240,9.0,3.3709113597869873
sarima,hanseniase,1,origin_201912,3551009,240,1.0,0.0343310572206974
sarima,hanseniase,1,origin_201912,3552205,240,0.0,0.13749998807907104
sarima,hanseniase,1,origin_201912,3554102,240,0.0,0.4290478527545929
lgbm,hanseniase,1,origin_201912,3505708,240,0.0,0.029984379158729108
lgbm,hanseniase,1,origin_201912,3506003,240,2.0,0.2837838683203316
lgbm,hanseniase,1,origin_201912,3509502,240,0.0,1.3645778122083725
lgbm,hanseniase,1,origin_201912,3510609,240,0.0,0.09969047996379854
lgbm,hanseniase,1,origin_201912,3513801,240,0.0,0.09387911512279708
lgbm,hanseniase,1,origin_201912,3518701,240,0.0,0.738063794750097
lgbm,hanseniase,1,origin_201912,3518800,240,0.0,0.6411498048568047
lgbm,hanseniase,1,origin_201912,3522208,240,0.0,0.02446395829875116
lgbm,hanseniase,1,origin_201912,3525904,240,0.0,0.08171300710726347
lgbm,hanseniase,1,origin_201912,3529401,240,0.0,0.0220082348919164
lgbm,hanseniase,1,origin_201912,3534401,240,0.0,0.02700055032058024
lgbm,hanseniase,1,origin_201912,3536505,240,0.0,0.012370136363665438
lgbm,hanseniase,1,origin_201912,3541000,240,0.0,0.044204009259306176
lgbm,hanseniase,1,origin_201912,3543402,240,1.0,0.5607804959977233
lgbm,hanseniase,1,origin_201912,3547809,240,0.0,0.0590949762245555
lgbm,hanseniase,1,origin_201912,3548500,240,0.0,0.06840464197514119
lgbm,hanseniase,1,origin_201912,3548708,240,0.0,0.030633272965911503
lgbm,hanseniase,1,origin_201912,3549805,240,0.0,0.08113806396241456
lgbm,hanseniase,1,origin_201912,3549904,240,0.0,0.08105432044004217
lgbm,hanseniase,1,origin_201912,3550308,240,9.0,2.7629820002883303
lgbm,hanseniase,1,origin_201912,3551009,240,1.0,0.03154045584739214
lgbm,hanseniase,1,origin_201912,3552205,240,0.0,0.12290510993572928
lgbm,hanseniase,1,origin_201912,3554102,240,0.0,0.1389463546781044
catboost,hanseniase,1,origin_201912,3505708,240,0.0,0.059682248912332564
catboost,hanseniase,1,origin_201912,3506003,240,2.0,0.2529584326603209
catboost,hanseniase,1,origin_201912,3509502,240,0.0,1.631430018647676
catboost,hanseniase,1,origin_201912,3510609,240,0.0,0.1286583547704686
catboost,hanseniase,1,origin_201912,3513801,240,0.0,0.12225085215875196
catboost,hanseniase,1,origin_201912,3518701,240,0.0,1.513859893010664
catboost,hanseniase,1,origin_201912,3518800,240,0.0,0.6110483060825374
catboost,hanseniase,1,origin_201912,3522208,240,0.0,0.06344159228766054
catboost,hanseniase,1,origin_201912,3525904,240,0.0,0.14705705224193683
catboost,hanseniase,1,origin_201912,3529401,240,0.0,0.09641397118166965
catboost,hanseniase,1,origin_201912,3534401,240,0.0,0.06268441976550793
catboost,hanseniase,1,origin_201912,3536505,240,0.0,0.042273961915940926
catboost,hanseniase,1,origin_201912,3541000,240,0.0,0.07762835548695865
catboost,hanseniase,1,origin_201912,3543402,240,1.0,0.5287493942896068
catboost,hanseniase,1,origin_201912,3547809,240,0.0,0.1373029635610799
catboost,hanseniase,1,origin_201912,3548500,240,0.0,0.18579907195740625
catboost,hanseniase,1,origin_201912,3548708,240,0.0,0.1037805027372559
catboost,hanseniase,1,origin_201912,3549805,240,0.0,0.14232105616626922
catboost,hanseniase,1,origin_201912,3549904,240,0.0,0.1483829588373044
catboost,hanseniase,1,origin_201912,3550308,240,9.0,4.284607278116281
catboost,hanseniase,1,origin_201912,3551009,240,1.0,0.06614092734693991
catboost,hanseniase,1,origin_201912,3552205,240,0.0,0.17268621437571793
catboost,hanseniase,1,origin_201912,3554102,240,0.0,0.2700017417596773
xgboost,hanseniase,1,origin_201912,3505708,240,0.0,0.025777384638786316
xgboost,hanseniase,1,origin_201912,3506003,240,2.0,0.2797583043575287
xgboost,hanseniase,1,origin_201912,3509502,240,0.0,1.6223772764205933
xgboost,hanseniase,1,origin_201912,3510609,240,0.0,0.05706384778022766
xgboost,hanseniase,1,origin_201912,3513801,240,0.0,0.08245620876550674
xgboost,hanseniase,1,origin_201912,3518701,240,0.0,1.0192688703536987
xgboost,hanseniase,1,origin_201912,3518800,240,0.0,0.753476083278656
xgboost,hanseniase,1,origin_201912,3522208,240,0.0,0.012449675239622593
xgboost,hanseniase,1,origin_201912,3525904,240,0.0,0.10520783811807632
xgboost,hanseniase,1,origin_201912,3529401,240,0.0,0.019525840878486633
xgboost,hanseniase,1,origin_201912,3534401,240,0.0,0.019883377477526665
xgboost,hanseniase,1,origin_201912,3536505,240,0.0,0.008748642168939114
xgboost,hanseniase,1,origin_201912,3541000,240,0.0,0.0559990257024765
xgboost,hanseniase,1,origin_201912,3543402,240,1.0,0.6696316599845886
xgboost,hanseniase,1,origin_201912,3547809,240,0.0,0.09463081508874893
xgboost,hanseniase,1,origin_201912,3548500,240,0.0,0.06802162528038025
xgboost,hanseniase,1,origin_201912,3548708,240,0.0,0.020492905750870705
xgboost,hanseniase,1,origin_201912,3549805,240,0.0,0.08845983445644379
xgboost,hanseniase,1,origin_201912,3549904,240,0.0,0.1021227315068245
xgboost,hanseniase,1,origin_201912,3550308,240,9.0,2.0225930213928223
xgboost,hanseniase,1,origin_201912,3551009,240,1.0,0.025874320417642593
xgboost,hanseniase,1,origin_201912,3552205,240,0.0,0.10940525680780411
xgboost,hanseniase,1,origin_201912,3554102,240,0.0,0.2639538049697876
prophet,hanseniase,1,origin_201912,3505708,240,0.0,0.0006611824454560433
prophet,hanseniase,1,origin_201912,3506003,240,2.0,0.0
prophet,hanseniase,1,origin_201912,3509502,240,0.0,1.1296941297343832
prophet,hanseniase,1,origin_201912,3510609,240,0.0,0.17408582487059934
prophet,hanseniase,1,origin_201912,3513801,240,0.0,0.212522842374314
prophet,hanseniase,1,origin_201912,3518701,240,0.0,2.231152936887021
prophet,hanseniase,1,origin_201912,3518800,240,0.0,0.17629398409665767
prophet,hanseniase,1,origin_201912,3522208,240,0.0,0.002811025303077433
prophet,hanseniase,1,origin_201912,3525904,240,0.0,0.5135444237296483
prophet,hanseniase,1,origin_201912,3529401,240,0.0,0.007937871577214275
prophet,hanseniase,1,origin_201912,3534401,240,0.0,0.056897703158550084
prophet,hanseniase,1,origin_201912,3536505,240,0.0,0.038479359143287484
prophet,hanseniase,1,origin_201912,3541000,240,0.0,0.04211382061550408
prophet,hanseniase,1,origin_201912,3543402,240,1.0,1.3816073364765096
prophet,hanseniase,1,origin_201912,3547809,240,0.0,0.1671684475212598
prophet,hanseniase,1,origin_201912,3548500,240,0.0,0.07227463729893083
prophet,hanseniase,1,origin_201912,3548708,240,0.0,0.030188308476312688
prophet,hanseniase,1,origin_201912,3549805,240,0.0,0.012358733475495404
prophet,hanseniase,1,origin_201912,3549904,240,0.0,0.11337038908123084
prophet,hanseniase,1,origin_201912,3550308,240,9.0,3.9674575131151952
prophet,hanseniase,1,origin_201912,3551009,240,1.0,0.0
prophet,hanseniase,1,origin_201912,3552205,240,0.0,0.06332731397202895
prophet,hanseniase,1,origin_201912,3554102,240,0.0,0.06241158748145756
seasonal_naive,hanseniase,3,origin_201912,3505708,242,0.0,0.0
seasonal_naive,hanseniase,3,origin_201912,3506003,242,0.0,0.0
seasonal_naive,hanseniase,3,origin_201912,3509502,242,4.0,1.0
seasonal_naive,hanseniase,3,origin_201912,3510609,242,0.0,0.0
seasonal_naive,hanseniase,3,origin_201912,3513801,242,0.0,0.0
seasonal_naive,hanseniase,3,origin_201912,3518701,242,0.0,1.0
seasonal_naive,hanseniase,3,origin_201912,3518800,242,3.0,1.0
seasonal_naive,hanseniase,3,origin_201912,3522208,242,0.0,0.0
seasonal_naive,hanseniase,3,origin_201912,3525904,242,0.0,0.0
seasonal_naive,hanseniase,3,origin_201912,3529401,242,0.0,0.0
seasonal_naive,hanseniase,3,origin_201912,3534401,242,0.0,0.0
seasonal_naive,hanseniase,3,origin_201912,3536505,242,0.0,0.0
seasonal_naive,hanseniase,3,origin_201912,3541000,242,0.0,0.0
seasonal_naive,hanseniase,3,origin_201912,3543402,242,2.0,0.0
seasonal_naive,hanseniase,3,origin_201912,3547809,242,0.0,0.0
seasonal_naive,hanseniase,3,origin_201912,3548500,242,0.0,0.0
seasonal_naive,hanseniase,3,origin_201912,3548708,242,1.0,0.0
seasonal_naive,hanseniase,3,origin_201912,3549805,242,0.0,0.0
seasonal_naive,hanseniase,3,origin_201912,3549904,242,0.0,0.0
seasonal_naive,hanseniase,3,origin_201912,3550308,242,1.0,6.0
seasonal_naive,hanseniase,3,origin_201912,3551009,242,0.0,0.0
seasonal_naive,hanseniase,3,origin_201912,3552205,242,0.0,0.0
seasonal_naive,hanseniase,3,origin_201912,3554102,242,0.0,0.0
seasonal_ma3,hanseniase,3,origin_201912,3505708,242,0.0,0.6666666865348816
seasonal_ma3,hanseniase,3,origin_201912,3506003,242,0.0,0.3333333432674408
seasonal_ma3,hanseniase,3,origin_201912,3509502,242,4.0,0.3333333432674408
seasonal_ma3,hanseniase,3,origin_201912,3510609,242,0.0,0.0
seasonal_ma3,hanseniase,3,origin_201912,3513801,242,0.0,0.0
seasonal_ma3,hanseniase,3,origin_201912,3518701,242,0.0,0.3333333432674408
seasonal_ma3,hanseniase,3,origin_201912,3518800,242,3.0,0.6666666865348816
seasonal_ma3,hanseniase,3,origin_201912,3522208,242,0.0,0.0
seasonal_ma3,hanseniase,3,origin_201912,3525904,242,0.0,0.0
seasonal_ma3,hanseniase,3,origin_201912,3529401,242,0.0,0.0
seasonal_ma3,hanseniase,3,origin_201912,3534401,242,0.0,0.0
seasonal_ma3,hanseniase,3,origin_201912,3536505,242,0.0,0.0
seasonal_ma3,hanseniase,3,origin_201912,3541000,242,0.0,0.3333333432674408
seasonal_ma3,hanseniase,3,origin_201912,3543402,242,2.0,1.0
seasonal_ma3,hanseniase,3,origin_201912,3547809,242,0.0,0.0
seasonal_ma3,hanseniase,3,origin_201912,3548500,242,0.0,0.0
seasonal_ma3,hanseniase,3,origin_201912,3548708,242,1.0,0.0
seasonal_ma3,hanseniase,3,origin_201912,3549805,242,0.0,0.0
seasonal_ma3,hanseniase,3,origin_201912,3549904,242,0.0,1.0
seasonal_ma3,hanseniase,3,origin_201912,3550308,242,1.0,4.0
seasonal_ma3,hanseniase,3,origin_201912,3551009,242,0.0,0.0
seasonal_ma3,hanseniase,3,origin_201912,3552205,242,0.0,0.0
seasonal_ma3,hanseniase,3,origin_201912,3554102,242,0.0,0.0
sarima,hanseniase,3,origin_201912,3505708,242,0.0,0.09207410365343094
sarima,hanseniase,3,origin_201912,3506003,242,0.0,-3.244875907897949
sarima,hanseniase,3,origin_201912,3509502,242,4.0,1.3711707592010498
sarima,hanseniase,3,origin_201912,3510609,242,0.0,0.13333334028720856
sarima,hanseniase,3,origin_201912,3513801,242,0.0,0.12544122338294983
sarima,hanseniase,3,origin_201912,3518701,242,0.0,2.385509490966797
sarima,hanseniase,3,origin_201912,3518800,242,3.0,0.5688611268997192
sarima,hanseniase,3,origin_201912,3522208,242,0.0,0.009084171615540981
sarima,hanseniase,3,origin_201912,3525904,242,0.0,0.4419308304786682
sarima,hanseniase,3,origin_201912,3529401,242,0.0,0.0624999962747097
sarima,hanseniase,3,origin_201912,3534401,242,0.0,0.20568294823169708
sarima,hanseniase,3,origin_201912,3536505,242,0.0,0.043628592044115067
sarima,hanseniase,3,origin_201912,3541000,242,0.0,0.14177511632442474
sarima,hanseniase,3,origin_201912,3543402,242,2.0,1.0727540254592896
sarima,hanseniase,3,origin_201912,3547809,242,0.0,0.11666666716337204
sarima,hanseniase,3,origin_201912,3548500,242,0.0,0.08735590428113937
sarima,hanseniase,3,origin_201912,3548708,242,1.0,0.12193912267684937
sarima,hanseniase,3,origin_201912,3549805,242,0.0,0.08548261970281601
sarima,hanseniase,3,origin_201912,3549904,242,0.0,0.14166668057441711
sarima,hanseniase,3,origin_201912,3550308,242,1.0,4.712650775909424
sarima,hanseniase,3,origin_201912,3551009,242,0.0,0.03296449035406113
sarima,hanseniase,3,origin_201912,3552205,242,0.0,0.13749998807907104
sarima,hanseniase,3,origin_201912,3554102,242,0.0,0.3788042664527893
lgbm,hanseniase,3,origin_201912,3505708,242,0.0,0.0927402881333237
lgbm,hanseniase,3,origin_201912,3506003,242,0.0,0.3464567328731611
lgbm,hanseniase,3,origin_201912,3509502,242,4.0,1.9849863876366565
lgbm,hanseniase,3,origin_201912,3510609,242,0.0,0.12013851582852733
lgbm,hanseniase,3,origin_201912,3513801,242,0.0,0.19365500195652616
lgbm,hanseniase,3,origin_201912,3518701,242,0.0,0.7672471095325515
lgbm,hanseniase,3,origin_201912,3518800,242,3.0,0.6411022982031381
lgbm,hanseniase,3,origin_201912,3522208,242,0.0,0.07487359924679315
lgbm,hanseniase,3,origin_201912,3525904,242,0.0,0.19717306221301611
lgbm,hanseniase,3,origin_201912,3529401,242,0.0,0.06461941016962082
lgbm,hanseniase,3,origin_201912,3534401,242,0.0,0.11621702238038899
lgbm,hanseniase,3,origin_201912,3536505,242,0.0,0.034554523670544283
lgbm,hanseniase,3,origin_201912,3541000,242,0.0,0.06948217094054807
lgbm,hanseniase,3,origin_201912,3543402,242,2.0,0.8613537356923373
lgbm,hanseniase,3,origin_201912,3547809,242,0.0,0.08364941674336435
lgbm,hanseniase,3,origin_201912,3548500,242,0.0,0.09771407397459952
