model,disease,horizon,origin,cd_mun,time_idx,y_true,y_pred,seed
deepar,hiv_aids,1,origin_201912,3505708,240,1.0,0.85999995470047,42
deepar,hiv_aids,3,origin_201912,3505708,242,0.0,0.8499999642372131,42
deepar,hiv_aids,6,origin_201912,3505708,245,0.0,0.699999988079071,42
deepar,hiv_aids,12,origin_201912,3505708,251,0.0,0.7199999690055847,42
deepar,hiv_aids,1,origin_201912,3506003,240,5.0,6.079999923706055,42
deepar,hiv_aids,3,origin_201912,3506003,242,5.0,5.299999713897705,42
deepar,hiv_aids,6,origin_201912,3506003,245,2.0,3.0,42
deepar,hiv_aids,12,origin_201912,3506003,251,2.0,2.190000057220459,42
deepar,hiv_aids,1,origin_201912,3509502,240,16.0,10.050000190734863,42
deepar,hiv_aids,3,origin_201912,3509502,242,9.0,9.630000114440918,42
deepar,hiv_aids,6,origin_201912,3509502,245,9.0,6.349999904632568,42
deepar,hiv_aids,12,origin_201912,3509502,251,15.0,2.169999837875366,42
deepar,hiv_aids,1,origin_201912,3510609,240,8.0,3.2100000381469727,42
deepar,hiv_aids,3,origin_201912,3510609,242,2.0,2.440000057220459,42
deepar,hiv_aids,6,origin_201912,3510609,245,0.0,1.3899999856948853,42
deepar,hiv_aids,12,origin_201912,3510609,251,0.0,0.8799999952316284,42
deepar,hiv_aids,1,origin_201912,3513801,240,0.0,2.509999990463257,42
deepar,hiv_aids,3,origin_201912,3513801,242,3.0,3.299999952316284,42
deepar,hiv_aids,6,origin_201912,3513801,245,1.0,3.2200000286102295,42
deepar,hiv_aids,12,origin_201912,3513801,251,1.0,2.7200000286102295,42
deepar,hiv_aids,1,origin_201912,3518701,240,2.0,0.949999988079071,42
deepar,hiv_aids,3,origin_201912,3518701,242,3.0,1.0699999332427979,42
deepar,hiv_aids,6,origin_201912,3518701,245,3.0,0.9599999785423279,42
deepar,hiv_aids,12,origin_201912,3518701,251,0.0,0.6699999570846558,42
deepar,hiv_aids,1,origin_201912,3518800,240,5.0,8.119999885559082,42
deepar,hiv_aids,3,origin_201912,3518800,242,5.0,7.679999828338623,42
deepar,hiv_aids,6,origin_201912,3518800,245,0.0,7.299999713897705,42
deepar,hiv_aids,12,origin_201912,3518800,251,4.0,5.769999980926514,42
deepar,hiv_aids,1,origin_201912,3522208,240,4.0,1.1899999380111694,42
deepar,hiv_aids,3,origin_201912,3522208,242,0.0,1.100000023841858,42
deepar,hiv_aids,6,origin_201912,3522208,245,0.0,0.7799999713897705,42
deepar,hiv_aids,12,origin_201912,3522208,251,0.0,0.6800000071525574,42
deepar,hiv_aids,1,origin_201912,3525904,240,4.0,5.940000057220459,42
deepar,hiv_aids,3,origin_201912,3525904,242,1.0,6.069999694824219,42
deepar,hiv_aids,6,origin_201912,3525904,245,4.0,4.589999675750732,42
deepar,hiv_aids,12,origin_201912,3525904,251,4.0,4.339999675750732,42
deepar,hiv_aids,1,origin_201912,3529401,240,1.0,1.25,42
deepar,hiv_aids,3,origin_201912,3529401,242,0.0,1.0399999618530273,42
deepar,hiv_aids,6,origin_201912,3529401,245,0.0,1.209999918937683,42
deepar,hiv_aids,12,origin_201912,3529401,251,1.0,0.6599999666213989,42
deepar,hiv_aids,1,origin_201912,3534401,240,5.0,4.170000076293945,42
deepar,hiv_aids,3,origin_201912,3534401,242,6.0,4.559999942779541,42
deepar,hiv_aids,6,origin_201912,3534401,245,0.0,4.940000057220459,42
deepar,hiv_aids,12,origin_201912,3534401,251,2.0,4.190000057220459,42
deepar,hiv_aids,1,origin_201912,3536505,240,0.0,0.5299999713897705,42
deepar,hiv_aids,3,origin_201912,3536505,242,0.0,0.5,42
deepar,hiv_aids,6,origin_201912,3536505,245,0.0,0.5699999928474426,42
deepar,hiv_aids,12,origin_201912,3536505,251,1.0,0.5799999833106995,42
