model,disease,horizon,origin,cd_mun,time_idx,y_true,y_pred,seed
deepar,sifilis,1,origin_201912,3505708,240,5.0,0.85999995470047,42
deepar,sifilis,3,origin_201912,3505708,242,2.0,0.8799999952316284,42
deepar,sifilis,6,origin_201912,3505708,245,5.0,0.9699999690055847,42
deepar,sifilis,12,origin_201912,3505708,251,5.0,1.559999942779541,42
deepar,sifilis,1,origin_201912,3506003,240,2.0,0.429999977350235,42
deepar,sifilis,3,origin_201912,3506003,242,0.0,0.29999998211860657,42
deepar,sifilis,6,origin_201912,3506003,245,2.0,0.28999999165534973,42
deepar,sifilis,12,origin_201912,3506003,251,0.0,0.3400000035762787,42
deepar,sifilis,1,origin_201912,3509502,240,3.0,4.289999961853027,42
deepar,sifilis,3,origin_201912,3509502,242,3.0,4.349999904632568,42
deepar,sifilis,6,origin_201912,3509502,245,5.0,3.8399999141693115,42
deepar,sifilis,12,origin_201912,3509502,251,2.0,4.369999885559082,42
deepar,sifilis,1,origin_201912,3510609,240,0.0,2.799999952316284,42
deepar,sifilis,3,origin_201912,3510609,242,4.0,2.950000047683716,42
deepar,sifilis,6,origin_201912,3510609,245,3.0,4.529999732971191,42
deepar,sifilis,12,origin_201912,3510609,251,1.0,3.740000009536743,42
deepar,sifilis,1,origin_201912,3513801,240,12.0,6.409999847412109,42
deepar,sifilis,3,origin_201912,3513801,242,11.0,8.069999694824219,42
deepar,sifilis,6,origin_201912,3513801,245,3.0,7.509999752044678,42
deepar,sifilis,12,origin_201912,3513801,251,3.0,7.5,42
deepar,sifilis,1,origin_201912,3518701,240,1.0,0.429999977350235,42
deepar,sifilis,3,origin_201912,3518701,242,1.0,0.4699999988079071,42
deepar,sifilis,6,origin_201912,3518701,245,0.0,0.5399999618530273,42
deepar,sifilis,12,origin_201912,3518701,251,0.0,0.7599999904632568,42
deepar,sifilis,1,origin_201912,3518800,240,13.0,14.359999656677246,42
deepar,sifilis,3,origin_201912,3518800,242,6.0,14.59999942779541,42
deepar,sifilis,6,origin_201912,3518800,245,11.0,15.329999923706055,42
deepar,sifilis,12,origin_201912,3518800,251,14.0,18.34000015258789,42
deepar,sifilis,1,origin_201912,3522208,240,0.0,0.3700000047683716,42
deepar,sifilis,3,origin_201912,3522208,242,0.0,0.4399999976158142,42
deepar,sifilis,6,origin_201912,3522208,245,0.0,0.3499999940395355,42
deepar,sifilis,12,origin_201912,3522208,251,0.0,0.32999998331069946,42
deepar,sifilis,1,origin_201912,3525904,240,6.0,1.309999942779541,42
deepar,sifilis,3,origin_201912,3525904,242,6.0,1.5099999904632568,42
deepar,sifilis,6,origin_201912,3525904,245,2.0,1.1799999475479126,42
deepar,sifilis,12,origin_201912,3525904,251,4.0,1.6100000143051147,42
deepar,sifilis,1,origin_201912,3529401,240,0.0,0.5099999904632568,42
deepar,sifilis,3,origin_201912,3529401,242,1.0,0.5,42
deepar,sifilis,6,origin_201912,3529401,245,1.0,0.5199999809265137,42
deepar,sifilis,12,origin_201912,3529401,251,0.0,1.0499999523162842,42
