model,disease,horizon,origin,cd_mun,time_idx,y_true,y_pred,seed
deepar,tuberculose,1,origin_201912,3505708,240,0.0,1.709999918937683,42
deepar,tuberculose,3,origin_201912,3505708,242,3.0,2.049999952316284,42
deepar,tuberculose,6,origin_201912,3505708,245,1.0,2.0399999618530273,42
deepar,tuberculose,12,origin_201912,3505708,251,3.0,2.059999942779541,42
deepar,tuberculose,1,origin_201912,3506003,240,2.0,4.0,42
deepar,tuberculose,3,origin_201912,3506003,242,1.0,4.920000076293945,42
deepar,tuberculose,6,origin_201912,3506003,245,3.0,4.349999904632568,42
deepar,tuberculose,12,origin_201912,3506003,251,5.0,4.679999828338623,42
deepar,tuberculose,1,origin_201912,3509502,240,4.0,7.409999847412109,42
deepar,tuberculose,3,origin_201912,3509502,242,4.0,6.460000038146973,42
deepar,tuberculose,6,origin_201912,3509502,245,8.0,5.349999904632568,42
deepar,tuberculose,12,origin_201912,3509502,251,7.0,6.359999656677246,42
deepar,tuberculose,1,origin_201912,3510609,240,7.0,5.909999847412109,42
deepar,tuberculose,3,origin_201912,3510609,242,5.0,6.839999675750732,42
deepar,tuberculose,6,origin_201912,3510609,245,2.0,8.84000015258789,42
deepar,tuberculose,12,origin_201912,3510609,251,3.0,8.029999732971191,42
deepar,tuberculose,1,origin_201912,3513801,240,1.0,4.259999752044678,42
deepar,tuberculose,3,origin_201912,3513801,242,5.0,5.349999904632568,42
deepar,tuberculose,6,origin_201912,3513801,245,6.0,5.150000095367432,42
deepar,tuberculose,12,origin_201912,3513801,251,0.0,4.769999980926514,42
deepar,tuberculose,1,origin_201912,3518701,240,11.0,7.859999656677246,42
deepar,tuberculose,3,origin_201912,3518701,242,4.0,6.679999828338623,42
deepar,tuberculose,6,origin_201912,3518701,245,7.0,7.239999771118164,42
deepar,tuberculose,12,origin_201912,3518701,251,3.0,7.319999694824219,42
deepar,tuberculose,1,origin_201912,3518800,240,8.0,6.489999771118164,42
deepar,tuberculose,3,origin_201912,3518800,242,2.0,5.87999963760376,42
deepar,tuberculose,6,origin_201912,3518800,245,1.0,5.679999828338623,42
deepar,tuberculose,12,origin_201912,3518800,251,4.0,5.319999694824219,42
deepar,tuberculose,1,origin_201912,3522208,240,3.0,1.4800000190734863,42
deepar,tuberculose,3,origin_201912,3522208,242,1.0,1.5499999523162842,42
deepar,tuberculose,6,origin_201912,3522208,245,0.0,1.3600000143051147,42
deepar,tuberculose,12,origin_201912,3522208,251,3.0,1.2999999523162842,42
deepar,tuberculose,1,origin_201912,3525904,240,0.0,2.259999990463257,42
deepar,tuberculose,3,origin_201912,3525904,242,1.0,2.859999895095825,42
deepar,tuberculose,6,origin_201912,3525904,245,0.0,2.240000009536743,42
deepar,tuberculose,12,origin_201912,3525904,251,0.0,2.690000057220459,42
deepar,tuberculose,1,origin_201912,3529401,240,0.0,1.9199999570846558,42
deepar,tuberculose,3,origin_201912,3529401,242,2.0,1.7699999809265137,42
deepar,tuberculose,6,origin_201912,3529401,245,1.0,2.009999990463257,42
