model,disease,horizon,origin,cd_mun,time_idx,y_true,y_pred,seed
gru,hanseniase,1,origin_201912,3505708,240,0.0,2.952962524315996e-16,42
gru,hanseniase,3,origin_201912,3505708,242,0.0,1.5511963390754495e-14,42
gru,hanseniase,6,origin_201912,3505708,245,0.0,3.4541794880112164e-13,42
gru,hanseniase,12,origin_201912,3505708,251,0.0,7.152811871448395e-13,42
gru,hanseniase,1,origin_201912,3506003,240,2.0,0.0010663592256605625,42
gru,hanseniase,3,origin_201912,3506003,242,0.0,0.009058233350515366,42
gru,hanseniase,6,origin_201912,3506003,245,1.0,0.062082525342702866,42
gru,hanseniase,12,origin_201912,3506003,251,1.0,0.1149214506149292,42
gru,hanseniase,1,origin_201912,3509502,240,0.0,0.008635122328996658,42
gru,hanseniase,3,origin_201912,3509502,242,4.0,0.008285603486001492,42
gru,hanseniase,6,origin_201912,3509502,245,3.0,0.0055948542430996895,42
gru,hanseniase,12,origin_201912,3509502,251,6.0,0.001062489696778357,42
gru,hanseniase,1,origin_201912,3510609,240,0.0,1.500342683207964e-14,42
gru,hanseniase,3,origin_201912,3510609,242,0.0,5.147809533246478e-14,42
gru,hanseniase,6,origin_201912,3510609,245,0.0,9.07735190724783e-14,42
gru,hanseniase,12,origin_201912,3510609,251,0.0,5.5898448576060383e-14,42
gru,hanseniase,1,origin_201912,3513801,240,0.0,1.0563283510704388e-13,42
gru,hanseniase,3,origin_201912,3513801,242,0.0,2.102046564155663e-13,42
gru,hanseniase,6,origin_201912,3513801,245,0.0,6.086476808664365e-13,42
gru,hanseniase,12,origin_201912,3513801,251,0.0,8.746191162804784e-13,42
gru,hanseniase,1,origin_201912,3518701,240,0.0,8.212424490450232e-11,42
gru,hanseniase,3,origin_201912,3518701,242,0.0,1.49154837786325e-11,42
gru,hanseniase,6,origin_201912,3518701,245,3.0,1.3977466102946257e-12,42
gru,hanseniase,12,origin_201912,3518701,251,2.0,1.8571135026925617e-13,42
gru,hanseniase,1,origin_201912,3518800,240,0.0,3.9271912100957707e-05,42
gru,hanseniase,3,origin_201912,3518800,242,3.0,3.37544952344615e-05,42
gru,hanseniase,6,origin_201912,3518800,245,0.0,5.195133780944161e-05,42
gru,hanseniase,12,origin_201912,3518800,251,1.0,5.60929074708838e-05,42
gru,hanseniase,1,origin_201912,3522208,240,0.0,4.151816270745205e-15,42
gru,hanseniase,3,origin_201912,3522208,242,0.0,1.9645346954018025e-14,42
gru,hanseniase,6,origin_201912,3522208,245,0.0,4.743632854684217e-14,42
gru,hanseniase,12,origin_201912,3522208,251,0.0,5.272902408215603e-14,42
gru,hanseniase,1,origin_201912,3525904,240,0.0,3.7281329824494225e-13,42
gru,hanseniase,3,origin_201912,3525904,242,0.0,5.600533491828541e-12,42
gru,hanseniase,6,origin_201912,3525904,245,0.0,1.8997971251710766e-10,42
