model,disease,horizon,origin,cd_mun,time_idx,y_true,y_pred,seed
gru,hepatite,1,origin_201912,3505708,240,0.0,5.741708264395129e-06,42
gru,hepatite,3,origin_201912,3505708,242,0.0,0.0004532227467279881,42
gru,hepatite,6,origin_201912,3505708,245,1.0,0.06713809072971344,42
gru,hepatite,12,origin_201912,3505708,251,2.0,0.9669109582901001,42
gru,hepatite,1,origin_201912,3506003,240,4.0,0.22634288668632507,42
gru,hepatite,3,origin_201912,3506003,242,1.0,0.5025500655174255,42
gru,hepatite,6,origin_201912,3506003,245,0.0,0.6751276254653931,42
gru,hepatite,12,origin_201912,3506003,251,2.0,0.8587184548377991,42
gru,hepatite,1,origin_201912,3509502,240,0.0,2.102834463119507,42
gru,hepatite,3,origin_201912,3509502,242,2.0,2.1406571865081787,42
gru,hepatite,6,origin_201912,3509502,245,0.0,2.0144383907318115,42
gru,hepatite,12,origin_201912,3509502,251,2.0,2.629070520401001,42
gru,hepatite,1,origin_201912,3510609,240,1.0,1.5906833141343668e-05,42
gru,hepatite,3,origin_201912,3510609,242,0.0,0.0006198757328093052,42
gru,hepatite,6,origin_201912,3510609,245,1.0,0.09952830523252487,42
gru,hepatite,12,origin_201912,3510609,251,0.0,2.1979050636291504,42
gru,hepatite,1,origin_201912,3513801,240,0.0,8.034016900637653e-06,42
gru,hepatite,3,origin_201912,3513801,242,0.0,0.0005608423962257802,42
gru,hepatite,6,origin_201912,3513801,245,0.0,0.031071312725543976,42
gru,hepatite,12,origin_201912,3513801,251,0.0,0.21899539232254028,42
gru,hepatite,1,origin_201912,3518701,240,0.0,1.2436233873813762e-06,42
gru,hepatite,3,origin_201912,3518701,242,0.0,0.00013397689326666296,42
gru,hepatite,6,origin_201912,3518701,245,0.0,0.010719391517341137,42
gru,hepatite,12,origin_201912,3518701,251,0.0,0.07148172706365585,42
gru,hepatite,1,origin_201912,3518800,240,0.0,2.531633981561754e-06,42
gru,hepatite,3,origin_201912,3518800,242,0.0,0.00011904190614586696,42
gru,hepatite,6,origin_201912,3518800,245,0.0,0.006220555864274502,42
gru,hepatite,12,origin_201912,3518800,251,0.0,0.16146451234817505,42
gru,hepatite,1,origin_201912,3522208,240,0.0,1.908580182785613e-09,42
gru,hepatite,3,origin_201912,3522208,242,0.0,1.5517336748871458e-08,42
gru,hepatite,6,origin_201912,3522208,245,0.0,1.4144164595109032e-07,42
gru,hepatite,12,origin_201912,3522208,251,0.0,3.625321483013977e-07,42
gru,hepatite,1,origin_201912,3525904,240,0.0,1.3638316431752173e-06,42
gru,hepatite,3,origin_201912,3525904,242,0.0,6.767657760065049e-05,42
gru,hepatite,6,origin_201912,3525904,245,0.0,0.006224637385457754,42
gru,hepatite,12,origin_201912,3525904,251,0.0,0.1660567820072174,42
gru,hepatite,1,origin_201912,3529401,240,0.0,3.577757979655871e-06,42
gru,hepatite,3,origin_201912,3529401,242,0.0,0.00043896425631828606,42
gru,hepatite,6,origin_201912,3529401,245,0.0,0.0541813001036644,42
gru,hepatite,12,origin_201912,3529401,251,0.0,0.718590259552002,42
gru,hepatite,1,origin_201912,3534401,240,1.0,0.0003828750050161034,42
gru,hepatite,3,origin_201912,3534401,242,0.0,0.004018489737063646,42
gru,hepatite,6,origin_201912,3534401,245,0.0,0.03266037255525589,42
gru,hepatite,12,origin_201912,3534401,251,1.0,0.28647059202194214,42
gru,hepatite,1,origin_201912,3536505,240,0.0,1.0836447190964993e-11,42
gru,hepatite,3,origin_201912,3536505,242,0.0,5.843040634667673e-11,42
gru,hepatite,6,origin_201912,3536505,245,0.0,2.381489172531559e-10,42
gru,hepatite,12,origin_201912,3536505,251,0.0,4.4966247392252967e-10,42
gru,hepatite,1,origin_201912,3541000,240,0.0,8.837768739056173e-09,42
gru,hepatite,3,origin_201912,3541000,242,0.0,1.1122027387955313e-07,42
gru,hepatite,6,origin_201912,3541000,245,0.0,1.3364466440179967e-06,42
gru,hepatite,12,origin_201912,3541000,251,0.0,7.71989653003402e-06,42
gru,hepatite,1,origin_201912,3543402,240,0.0,6.719958037137985e-06,42
gru,hepatite,3,origin_201912,3543402,242,0.0,0.0006588783580809832,42
gru,hepatite,6,origin_201912,3543402,245,0.0,0.07383912801742554,42
gru,hepatite,12,origin_201912,3543402,251,0.0,0.9103339910507202,42
gru,hepatite,1,origin_201912,3547809,240,0.0,1.3067899999441579e-05,42
gru,hepatite,3,origin_201912,3547809,242,0.0,0.0008157200645655394,42
gru,hepatite,6,origin_201912,3547809,245,0.0,0.03910665214061737,42
gru,hepatite,12,origin_201912,3547809,251,0.0,0.26555439829826355,42
gru,hepatite,1,origin_201912,3548500,240,0.0,0.16799108684062958,42
gru,hepatite,3,origin_201912,3548500,242,1.0,0.7261109948158264,42
