model,disease,horizon,origin,cd_mun,time_idx,y_true,y_pred,seed
gru,hiv_aids,1,origin_201912,3505708,240,1.0,0.0016625203425064683,42
gru,hiv_aids,3,origin_201912,3505708,242,0.0,0.0025193910114467144,42
gru,hiv_aids,6,origin_201912,3505708,245,0.0,0.00507589615881443,42
gru,hiv_aids,12,origin_201912,3505708,251,0.0,0.004563186317682266,42
gru,hiv_aids,1,origin_201912,3506003,240,5.0,5.966773509979248,42
gru,hiv_aids,3,origin_201912,3506003,242,5.0,5.000692844390869,42
gru,hiv_aids,6,origin_201912,3506003,245,2.0,4.410803318023682,42
gru,hiv_aids,12,origin_201912,3506003,251,2.0,4.842641830444336,42
gru,hiv_aids,1,origin_201912,3509502,240,16.0,12.693079948425293,42
gru,hiv_aids,3,origin_201912,3509502,242,9.0,13.812920570373535,42
gru,hiv_aids,6,origin_201912,3509502,245,9.0,13.35481071472168,42
gru,hiv_aids,12,origin_201912,3509502,251,15.0,12.92096996307373,42
gru,hiv_aids,1,origin_201912,3510609,240,8.0,2.950944423675537,42
gru,hiv_aids,3,origin_201912,3510609,242,2.0,2.775958776473999,42
gru,hiv_aids,6,origin_201912,3510609,245,0.0,2.6910641193389893,42
gru,hiv_aids,12,origin_201912,3510609,251,0.0,2.2386653423309326,42
gru,hiv_aids,1,origin_201912,3513801,240,0.0,2.288682460784912,42
gru,hiv_aids,3,origin_201912,3513801,242,3.0,2.285189151763916,42
gru,hiv_aids,6,origin_201912,3513801,245,1.0,2.3606855869293213,42
gru,hiv_aids,12,origin_201912,3513801,251,1.0,2.454624652862549,42
gru,hiv_aids,1,origin_201912,3518701,240,2.0,0.5177359580993652,42
gru,hiv_aids,3,origin_201912,3518701,242,3.0,0.5471177101135254,42
gru,hiv_aids,6,origin_201912,3518701,245,3.0,0.6032928824424744,42
gru,hiv_aids,12,origin_201912,3518701,251,0.0,0.7570540904998779,42
gru,hiv_aids,1,origin_201912,3518800,240,5.0,8.28048324584961,42
gru,hiv_aids,3,origin_201912,3518800,242,5.0,7.930531024932861,42
gru,hiv_aids,6,origin_201912,3518800,245,0.0,7.484927654266357,42
gru,hiv_aids,12,origin_201912,3518800,251,4.0,7.42645263671875,42
gru,hiv_aids,1,origin_201912,3522208,240,4.0,0.052454326301813126,42
gru,hiv_aids,3,origin_201912,3522208,242,0.0,0.01837909035384655,42
gru,hiv_aids,6,origin_201912,3522208,245,0.0,0.0358663834631443,42
gru,hiv_aids,12,origin_201912,3522208,251,0.0,0.008593486621975899,42
gru,hiv_aids,1,origin_201912,3525904,240,4.0,5.961465835571289,42
gru,hiv_aids,3,origin_201912,3525904,242,1.0,6.104121685028076,42
gru,hiv_aids,6,origin_201912,3525904,245,4.0,6.158267021179199,42
gru,hiv_aids,12,origin_201912,3525904,251,4.0,5.514519691467285,42
gru,hiv_aids,1,origin_201912,3529401,240,1.0,0.013058507815003395,42
gru,hiv_aids,3,origin_201912,3529401,242,0.0,0.017384108155965805,42
gru,hiv_aids,6,origin_201912,3529401,245,0.0,0.0190748143941164,42
gru,hiv_aids,12,origin_201912,3529401,251,1.0,0.014690713956952095,42
gru,hiv_aids,1,origin_201912,3534401,240,5.0,4.219081401824951,42
gru,hiv_aids,3,origin_201912,3534401,242,6.0,4.559998512268066,42
gru,hiv_aids,6,origin_201912,3534401,245,0.0,4.542541027069092,42
gru,hiv_aids,12,origin_201912,3534401,251,2.0,3.887639045715332,42
gru,hiv_aids,1,origin_201912,3536505,240,0.0,1.6619473158785425e-11,42
gru,hiv_aids,3,origin_201912,3536505,242,0.0,1.6267883706788666e-09,42
gru,hiv_aids,6,origin_201912,3536505,245,0.0,3.967823545281135e-07,42
gru,hiv_aids,12,origin_201912,3536505,251,1.0,2.469750597811071e-06,42
gru,hiv_aids,1,origin_201912,3541000,240,2.0,0.000380071927793324,42
gru,hiv_aids,3,origin_201912,3541000,242,0.0,0.0008885871502570808,42
gru,hiv_aids,6,origin_201912,3541000,245,0.0,0.002123969839885831,42
gru,hiv_aids,12,origin_201912,3541000,251,0.0,0.0032212971709668636,42
gru,hiv_aids,1,origin_201912,3543402,240,16.0,18.531368255615234,42
gru,hiv_aids,3,origin_201912,3543402,242,12.0,18.526594161987305,42
gru,hiv_aids,6,origin_201912,3543402,245,22.0,18.53417205810547,42
gru,hiv_aids,12,origin_201912,3543402,251,6.0,18.899616241455078,42
gru,hiv_aids,1,origin_201912,3547809,240,1.0,0.3666699230670929,42
gru,hiv_aids,3,origin_201912,3547809,242,2.0,0.4531712532043457,42
gru,hiv_aids,6,origin_201912,3547809,245,3.0,0.546460747718811,42
gru,hiv_aids,12,origin_201912,3547809,251,0.0,0.6461746096611023,42
gru,hiv_aids,1,origin_201912,3548500,240,5.0,0.1567995399236679,42
gru,hiv_aids,3,origin_201912,3548500,242,2.0,0.5185847878456116,42
gru,hiv_aids,6,origin_201912,3548500,245,2.0,1.275580644607544,42
gru,hiv_aids,12,origin_201912,3548500,251,3.0,0.9105539917945862,42
gru,hiv_aids,1,origin_201912,3548708,240,3.0,0.7471255660057068,42
gru,hiv_aids,3,origin_201912,3548708,242,4.0,0.6705759167671204,42
gru,hiv_aids,6,origin_201912,3548708,245,3.0,0.7941055297851562,42
gru,hiv_aids,12,origin_201912,3548708,251,2.0,0.5106488466262817,42
gru,hiv_aids,1,origin_201912,3549805,240,16.0,16.57718849182129,42
gru,hiv_aids,3,origin_201912,3549805,242,11.0,16.621633529663086,42
gru,hiv_aids,6,origin_201912,3549805,245,3.0,16.662433624267578,42
gru,hiv_aids,12,origin_201912,3549805,251,14.0,16.331880569458008,42
gru,hiv_aids,1,origin_201912,3549904,240,14.0,10.78315544128418,42
gru,hiv_aids,3,origin_201912,3549904,242,12.0,10.871915817260742,42
gru,hiv_aids,6,origin_201912,3549904,245,11.0,10.955490112304688,42
gru,hiv_aids,12,origin_201912,3549904,251,5.0,9.577863693237305,42
gru,hiv_aids,1,origin_201912,3550308,240,151.0,139.38363647460938,42
gru,hiv_aids,3,origin_201912,3550308,242,147.0,144.35824584960938,42
gru,hiv_aids,6,origin_201912,3550308,245,72.0,145.4967498779297,42
gru,hiv_aids,12,origin_201912,3550308,251,95.0,140.3624267578125,42
gru,hiv_aids,1,origin_201912,3551009,240,2.0,0.06495732814073563,42
gru,hiv_aids,3,origin_201912,3551009,242,1.0,0.18198716640472412,42
gru,hiv_aids,6,origin_201912,3551009,245,1.0,0.3363857567310333,42
gru,hiv_aids,12,origin_201912,3551009,251,1.0,0.2548355162143707,42
gru,hiv_aids,1,origin_201912,3552205,240,1.0,0.046787627041339874,42
gru,hiv_aids,3,origin_201912,3552205,242,0.0,0.11947973072528839,42
gru,hiv_aids,6,origin_201912,3552205,245,0.0,0.2703460454940796,42
gru,hiv_aids,12,origin_201912,3552205,251,0.0,0.3662242889404297,42
gru,hiv_aids,1,origin_201912,3554102,240,1.0,6.415963434847072e-05,42
gru,hiv_aids,3,origin_201912,3554102,242,0.0,1.5610570699209347e-05,42
gru,hiv_aids,6,origin_201912,3554102,245,0.0,2.3840182166168233e-06,42
gru,hiv_aids,12,origin_201912,3554102,251,0.0,7.698232025177276e-07,42
gru,hiv_aids,1,origin_202012,3505708,252,0.0,0.0009046107297763228,42
gru,hiv_aids,3,origin_202012,3505708,254,0.0,0.0023489987943321466,42
gru,hiv_aids,6,origin_202012,3505708,257,3.0,0.01467049214988947,42
gru,hiv_aids,12,origin_202012,3505708,263,1.0,0.014551393687725067,42
gru,hiv_aids,1,origin_202012,3506003,252,3.0,5.0847296714782715,42
gru,hiv_aids,3,origin_202012,3506003,254,1.0,5.0160908699035645,42
gru,hiv_aids,6,origin_202012,3506003,257,3.0,5.201920986175537,42
gru,hiv_aids,12,origin_202012,3506003,263,3.0,5.573670864105225,42
gru,hiv_aids,1,origin_202012,3509502,252,14.0,12.383766174316406,42
gru,hiv_aids,3,origin_202012,3509502,254,6.0,11.424419403076172,42
gru,hiv_aids,6,origin_202012,3509502,257,10.0,10.23271369934082,42
gru,hiv_aids,12,origin_202012,3509502,263,3.0,8.941960334777832,42
gru,hiv_aids,1,origin_202012,3510609,252,5.0,2.1714022159576416,42
gru,hiv_aids,3,origin_202012,3510609,254,4.0,2.783193826675415,42
gru,hiv_aids,6,origin_202012,3510609,257,4.0,3.2286741733551025,42
gru,hiv_aids,12,origin_202012,3510609,263,3.0,2.8788745403289795,42
gru,hiv_aids,1,origin_202012,3513801,252,1.0,1.3610626459121704,42
gru,hiv_aids,3,origin_202012,3513801,254,0.0,1.2986444234848022,42
gru,hiv_aids,6,origin_202012,3513801,257,2.0,1.0597317218780518,42
gru,hiv_aids,12,origin_202012,3513801,263,2.0,0.8422125577926636,42
gru,hiv_aids,1,origin_202012,3518701,252,0.0,0.4973214566707611,42
gru,hiv_aids,3,origin_202012,3518701,254,1.0,0.4977748990058899,42
gru,hiv_aids,6,origin_202012,3518701,257,0.0,0.5919759273529053,42
gru,hiv_aids,12,origin_202012,3518701,263,2.0,0.5299956202507019,42
gru,hiv_aids,1,origin_202012,3518800,252,4.0,6.86771821975708,42
gru,hiv_aids,3,origin_202012,3518800,254,9.0,6.856256008148193,42
gru,hiv_aids,6,origin_202012,3518800,257,7.0,6.763133525848389,42
gru,hiv_aids,12,origin_202012,3518800,263,3.0,6.8302412033081055,42
gru,hiv_aids,1,origin_202012,3522208,252,1.0,0.003414715640246868,42
gru,hiv_aids,3,origin_202012,3522208,254,1.0,0.0180580485612154,42
gru,hiv_aids,6,origin_202012,3522208,257,0.0,0.43290048837661743,42
gru,hiv_aids,12,origin_202012,3522208,263,0.0,0.2782851457595825,42
gru,hiv_aids,1,origin_202012,3525904,252,3.0,5.3400444984436035,42
gru,hiv_aids,3,origin_202012,3525904,254,6.0,5.506577014923096,42
gru,hiv_aids,6,origin_202012,3525904,257,3.0,5.181064128875732,42
gru,hiv_aids,12,origin_202012,3525904,263,6.0,4.630622863769531,42
gru,hiv_aids,1,origin_202012,3529401,252,4.0,0.021169988438487053,42
gru,hiv_aids,3,origin_202012,3529401,254,4.0,0.010523928329348564,42
gru,hiv_aids,6,origin_202012,3529401,257,2.0,0.0045225308276712894,42
gru,hiv_aids,12,origin_202012,3529401,263,1.0,0.0035047302953898907,42
gru,hiv_aids,1,origin_202012,3534401,252,2.0,3.8146133422851562,42
gru,hiv_aids,3,origin_202012,3534401,254,0.0,3.850064992904663,42
gru,hiv_aids,6,origin_202012,3534401,257,0.0,3.512866735458374,42
gru,hiv_aids,12,origin_202012,3534401,263,6.0,3.2609684467315674,42
gru,hiv_aids,1,origin_202012,3536505,252,1.0,0.0006562948110513389,42
gru,hiv_aids,3,origin_202012,3536505,254,1.0,0.004734691232442856,42
gru,hiv_aids,6,origin_202012,3536505,257,0.0,0.13565640151500702,42
gru,hiv_aids,12,origin_202012,3536505,263,0.0,0.4477037191390991,42
gru,hiv_aids,1,origin_202012,3541000,252,0.0,0.00011032116890419275,42
gru,hiv_aids,3,origin_202012,3541000,254,0.0,0.00017554561782162637,42
gru,hiv_aids,6,origin_202012,3541000,257,0.0,0.00045247317757457495,42
gru,hiv_aids,12,origin_202012,3541000,263,1.0,0.0006393510266207159,42
gru,hiv_aids,1,origin_202012,3543402,252,12.0,17.218578338623047,42
gru,hiv_aids,3,origin_202012,3543402,254,12.0,16.904796600341797,42
gru,hiv_aids,6,origin_202012,3543402,257,9.0,16.9149227142334,42
