model,disease,horizon,origin,cd_mun,time_idx,y_true,y_pred,seed
gru,sifilis,1,origin_201912,3505708,240,5.0,0.00015359469398390502,42
gru,sifilis,3,origin_201912,3505708,242,2.0,7.51652623875998e-05,42
gru,sifilis,6,origin_201912,3505708,245,5.0,5.849003719049506e-05,42
gru,sifilis,12,origin_201912,3505708,251,5.0,6.516791472677141e-05,42
gru,sifilis,1,origin_201912,3506003,240,2.0,1.4360983868755284e-06,42
gru,sifilis,3,origin_201912,3506003,242,0.0,7.823556416042265e-07,42
gru,sifilis,6,origin_201912,3506003,245,2.0,6.277795705500466e-07,42
gru,sifilis,12,origin_201912,3506003,251,0.0,9.322307619186176e-07,42
gru,sifilis,1,origin_201912,3509502,240,3.0,5.431662082672119,42
gru,sifilis,3,origin_201912,3509502,242,3.0,6.19553804397583,42
gru,sifilis,6,origin_201912,3509502,245,5.0,6.013269424438477,42
gru,sifilis,12,origin_201912,3509502,251,2.0,5.880403995513916,42
gru,sifilis,1,origin_201912,3510609,240,0.0,4.46727991104126,42
gru,sifilis,3,origin_201912,3510609,242,4.0,5.606199741363525,42
gru,sifilis,6,origin_201912,3510609,245,3.0,7.494271755218506,42
gru,sifilis,12,origin_201912,3510609,251,1.0,8.905447006225586,42
gru,sifilis,1,origin_201912,3513801,240,12.0,6.440921783447266,42
gru,sifilis,3,origin_201912,3513801,242,11.0,6.693721771240234,42
gru,sifilis,6,origin_201912,3513801,245,3.0,7.304720878601074,42
gru,sifilis,12,origin_201912,3513801,251,3.0,7.030031204223633,42
gru,sifilis,1,origin_201912,3518701,240,1.0,2.9418899885058636e-06,42
gru,sifilis,3,origin_201912,3518701,242,1.0,1.2361136896288372e-06,42
gru,sifilis,6,origin_201912,3518701,245,0.0,8.939613849179295e-07,42
gru,sifilis,12,origin_201912,3518701,251,0.0,1.6216051790252095e-06,42
gru,sifilis,1,origin_201912,3518800,240,13.0,10.485954284667969,42
gru,sifilis,3,origin_201912,3518800,242,6.0,11.015213966369629,42
gru,sifilis,6,origin_201912,3518800,245,11.0,11.670446395874023,42
gru,sifilis,12,origin_201912,3518800,251,14.0,11.544885635375977,42
gru,sifilis,1,origin_201912,3522208,240,0.0,2.7034556637772766e-07,42
gru,sifilis,3,origin_201912,3522208,242,0.0,1.3217486127814482e-07,42
gru,sifilis,6,origin_201912,3522208,245,0.0,1.5903681571671768e-07,42
gru,sifilis,12,origin_201912,3522208,251,0.0,2.436833597130317e-07,42
gru,sifilis,1,origin_201912,3525904,240,6.0,4.784233897225931e-05,42
gru,sifilis,3,origin_201912,3525904,242,6.0,1.7417658455087803e-05,42
gru,sifilis,6,origin_201912,3525904,245,2.0,1.3545133697334677e-05,42
gru,sifilis,12,origin_201912,3525904,251,4.0,1.6525822502444498e-05,42
gru,sifilis,1,origin_201912,3529401,240,0.0,6.838621402494027e-08,42
gru,sifilis,3,origin_201912,3529401,242,1.0,2.933921052772348e-07,42
gru,sifilis,6,origin_201912,3529401,245,1.0,7.171115044002363e-07,42
gru,sifilis,12,origin_201912,3529401,251,0.0,8.3355382685113e-07,42
gru,sifilis,1,origin_201912,3534401,240,10.0,13.227848052978516,42
gru,sifilis,3,origin_201912,3534401,242,18.0,14.598278045654297,42
gru,sifilis,6,origin_201912,3534401,245,15.0,13.039497375488281,42
gru,sifilis,12,origin_201912,3534401,251,3.0,12.101629257202148,42
gru,sifilis,1,origin_201912,3536505,240,1.0,2.2825772383328058e-09,42
gru,sifilis,3,origin_201912,3536505,242,0.0,2.8414286479261364e-09,42
gru,sifilis,6,origin_201912,3536505,245,0.0,4.678169851501934e-09,42
gru,sifilis,12,origin_201912,3536505,251,0.0,2.8501783155832072e-09,42
gru,sifilis,1,origin_201912,3541000,240,5.0,3.881195306777954,42
gru,sifilis,3,origin_201912,3541000,242,9.0,3.4789347648620605,42
gru,sifilis,6,origin_201912,3541000,245,8.0,3.6591169834136963,42
gru,sifilis,12,origin_201912,3541000,251,12.0,4.045831203460693,42
gru,sifilis,1,origin_201912,3543402,240,2.0,6.118065357208252,42
gru,sifilis,3,origin_201912,3543402,242,0.0,5.9130449295043945,42
gru,sifilis,6,origin_201912,3543402,245,3.0,5.521347999572754,42
gru,sifilis,12,origin_201912,3543402,251,2.0,5.946835041046143,42
gru,sifilis,1,origin_201912,3547809,240,9.0,4.537168502807617,42
gru,sifilis,3,origin_201912,3547809,242,5.0,4.639054775238037,42
gru,sifilis,6,origin_201912,3547809,245,11.0,4.783858299255371,42
gru,sifilis,12,origin_201912,3547809,251,2.0,4.889345169067383,42
gru,sifilis,1,origin_201912,3548500,240,6.0,4.691768169403076,42
gru,sifilis,3,origin_201912,3548500,242,4.0,5.835933685302734,42
gru,sifilis,6,origin_201912,3548500,245,7.0,5.961191654205322,42
gru,sifilis,12,origin_201912,3548500,251,4.0,4.580441951751709,42
gru,sifilis,1,origin_201912,3548708,240,2.0,2.0557351112365723,42
gru,sifilis,3,origin_201912,3548708,242,3.0,1.1613088846206665,42
gru,sifilis,6,origin_201912,3548708,245,0.0,1.0916926860809326,42
gru,sifilis,12,origin_201912,3548708,251,1.0,1.3017984628677368,42
gru,sifilis,1,origin_201912,3549805,240,1.0,2.9125542640686035,42
gru,sifilis,3,origin_201912,3549805,242,0.0,2.648594379425049,42
gru,sifilis,6,origin_201912,3549805,245,1.0,2.7077012062072754,42
gru,sifilis,12,origin_201912,3549805,251,0.0,2.88693904876709,42
gru,sifilis,1,origin_201912,3549904,240,7.0,4.963862419128418,42
gru,sifilis,3,origin_201912,3549904,242,5.0,5.349909782409668,42
gru,sifilis,6,origin_201912,3549904,245,4.0,6.675220489501953,42
gru,sifilis,12,origin_201912,3549904,251,5.0,7.158115863800049,42
gru,sifilis,1,origin_201912,3550308,240,92.0,56.27277374267578,42
gru,sifilis,3,origin_201912,3550308,242,96.0,58.24491500854492,42
gru,sifilis,6,origin_201912,3550308,245,58.0,56.825538635253906,42
gru,sifilis,12,origin_201912,3550308,251,89.0,51.68891143798828,42
gru,sifilis,1,origin_201912,3551009,240,15.0,3.472149610519409,42
gru,sifilis,3,origin_201912,3551009,242,3.0,3.4413418769836426,42
gru,sifilis,6,origin_201912,3551009,245,8.0,2.798248529434204,42
gru,sifilis,12,origin_201912,3551009,251,8.0,1.3694673776626587,42
gru,sifilis,1,origin_201912,3552205,240,1.0,2.3161678314208984,42
gru,sifilis,3,origin_201912,3552205,242,0.0,2.189767837524414,42
gru,sifilis,6,origin_201912,3552205,245,0.0,2.3021740913391113,42
gru,sifilis,12,origin_201912,3552205,251,3.0,1.9041776657104492,42
gru,sifilis,1,origin_201912,3554102,240,0.0,6.846461474196985e-06,42
gru,sifilis,3,origin_201912,3554102,242,0.0,6.111793936725007e-06,42
gru,sifilis,6,origin_201912,3554102,245,0.0,3.1131664854910923e-06,42
gru,sifilis,12,origin_201912,3554102,251,0.0,1.2376624454191187e-06,42
gru,sifilis,1,origin_202012,3505708,252,4.0,2.9232242013677023e-05,42
gru,sifilis,3,origin_202012,3505708,254,1.0,4.420289405970834e-05,42
gru,sifilis,6,origin_202012,3505708,257,3.0,4.042414002469741e-05,42
gru,sifilis,12,origin_202012,3505708,263,5.0,5.773621069238288e-06,42
gru,sifilis,1,origin_202012,3506003,252,3.0,1.568522748129908e-06,42
gru,sifilis,3,origin_202012,3506003,254,1.0,1.2762488950102124e-06,42
gru,sifilis,6,origin_202012,3506003,257,4.0,1.1803778079411131e-06,42
gru,sifilis,12,origin_202012,3506003,263,6.0,6.421951752599853e-07,42
gru,sifilis,1,origin_202012,3509502,252,0.0,4.419667720794678,42
gru,sifilis,3,origin_202012,3509502,254,5.0,5.8902907371521,42
gru,sifilis,6,origin_202012,3509502,257,3.0,6.5619707107543945,42
gru,sifilis,12,origin_202012,3509502,263,1.0,6.0839762687683105,42
gru,sifilis,1,origin_202012,3510609,252,0.0,1.8906233310699463,42
