model,disease,horizon,origin,cd_mun,time_idx,y_true,y_pred,seed
gru,tuberculose,1,origin_201912,3505708,240,0.0,0.8886258602142334,42
gru,tuberculose,3,origin_201912,3505708,242,3.0,1.0306422710418701,42
gru,tuberculose,6,origin_201912,3505708,245,1.0,1.7479820251464844,42
gru,tuberculose,12,origin_201912,3505708,251,3.0,2.260829210281372,42
gru,tuberculose,1,origin_201912,3506003,240,2.0,3.594322681427002,42
gru,tuberculose,3,origin_201912,3506003,242,1.0,3.8209919929504395,42
gru,tuberculose,6,origin_201912,3506003,245,3.0,3.904109001159668,42
gru,tuberculose,12,origin_201912,3506003,251,5.0,4.679999828338623,42
gru,tuberculose,1,origin_201912,3509502,240,4.0,8.931650161743164,42
gru,tuberculose,3,origin_201912,3509502,242,4.0,9.58842945098877,42
gru,tuberculose,6,origin_201912,3509502,245,8.0,7.9916181564331055,42
gru,tuberculose,12,origin_201912,3509502,251,7.0,8.872096061706543,42
gru,tuberculose,1,origin_201912,3510609,240,7.0,4.38946008682251,42
gru,tuberculose,3,origin_201912,3510609,242,5.0,4.498505592346191,42
gru,tuberculose,6,origin_201912,3510609,245,2.0,4.336090087890625,42
gru,tuberculose,12,origin_201912,3510609,251,3.0,4.837992191314697,42
gru,tuberculose,1,origin_201912,3513801,240,1.0,5.58636474609375,42
gru,tuberculose,3,origin_201912,3513801,242,5.0,5.707206726074219,42
gru,tuberculose,6,origin_201912,3513801,245,6.0,6.298933506011963,42
gru,tuberculose,12,origin_201912,3513801,251,0.0,6.215565204620361,42
gru,tuberculose,1,origin_201912,3518701,240,11.0,8.044243812561035,42
gru,tuberculose,3,origin_201912,3518701,242,4.0,7.8396124839782715,42
gru,tuberculose,6,origin_201912,3518701,245,7.0,7.994643211364746,42
gru,tuberculose,12,origin_201912,3518701,251,3.0,8.045080184936523,42
gru,tuberculose,1,origin_201912,3518800,240,8.0,6.727087020874023,42
gru,tuberculose,3,origin_201912,3518800,242,2.0,7.256553649902344,42
gru,tuberculose,6,origin_201912,3518800,245,1.0,6.691100597381592,42
gru,tuberculose,12,origin_201912,3518800,251,4.0,7.032577991485596,42
gru,tuberculose,1,origin_201912,3522208,240,3.0,0.9103248119354248,42
gru,tuberculose,3,origin_201912,3522208,242,1.0,1.0029020309448242,42
gru,tuberculose,6,origin_201912,3522208,245,0.0,1.1813563108444214,42
gru,tuberculose,12,origin_201912,3522208,251,3.0,1.5923171043395996,42
gru,tuberculose,1,origin_201912,3525904,240,0.0,1.9889870882034302,42
gru,tuberculose,3,origin_201912,3525904,242,1.0,2.5477705001831055,42
gru,tuberculose,6,origin_201912,3525904,245,0.0,3.0934853553771973,42
gru,tuberculose,12,origin_201912,3525904,251,0.0,2.8661997318267822,42
gru,tuberculose,1,origin_201912,3529401,240,0.0,2.1635334491729736,42
gru,tuberculose,3,origin_201912,3529401,242,2.0,2.6827738285064697,42
gru,tuberculose,6,origin_201912,3529401,245,1.0,3.2368478775024414,42
gru,tuberculose,12,origin_201912,3529401,251,0.0,3.1951425075531006,42
gru,tuberculose,1,origin_201912,3534401,240,5.0,4.330055236816406,42
gru,tuberculose,3,origin_201912,3534401,242,2.0,5.528599262237549,42
gru,tuberculose,6,origin_201912,3534401,245,4.0,5.876429557800293,42
gru,tuberculose,12,origin_201912,3534401,251,5.0,4.901568412780762,42
gru,tuberculose,1,origin_201912,3536505,240,0.0,1.3507213592529297,42
gru,tuberculose,3,origin_201912,3536505,242,3.0,1.4453271627426147,42
gru,tuberculose,6,origin_201912,3536505,245,1.0,1.788877010345459,42
gru,tuberculose,12,origin_201912,3536505,251,0.0,2.405552387237549,42
gru,tuberculose,1,origin_201912,3541000,240,2.0,4.441250801086426,42
gru,tuberculose,3,origin_201912,3541000,242,7.0,4.797229290008545,42
gru,tuberculose,6,origin_201912,3541000,245,3.0,4.845890998840332,42
gru,tuberculose,12,origin_201912,3541000,251,3.0,4.95242977142334,42
gru,tuberculose,1,origin_201912,3543402,240,5.0,9.538646697998047,42
gru,tuberculose,3,origin_201912,3543402,242,15.0,9.470524787902832,42
gru,tuberculose,6,origin_201912,3543402,245,15.0,9.43616008758545,42
gru,tuberculose,12,origin_201912,3543402,251,4.0,9.733978271484375,42
gru,tuberculose,1,origin_201912,3547809,240,4.0,4.3737688064575195,42
gru,tuberculose,3,origin_201912,3547809,242,9.0,4.430549144744873,42
gru,tuberculose,6,origin_201912,3547809,245,3.0,4.401102066040039,42
gru,tuberculose,12,origin_201912,3547809,251,4.0,4.382405757904053,42
gru,tuberculose,1,origin_201912,3548500,240,3.0,9.428147315979004,42
gru,tuberculose,3,origin_201912,3548500,242,10.0,9.114931106567383,42
gru,tuberculose,6,origin_201912,3548500,245,1.0,9.110107421875,42
gru,tuberculose,12,origin_201912,3548500,251,5.0,10.243071556091309,42
gru,tuberculose,1,origin_201912,3548708,240,3.0,4.230421543121338,42
gru,tuberculose,3,origin_201912,3548708,242,5.0,4.299050331115723,42
gru,tuberculose,6,origin_201912,3548708,245,3.0,4.535486221313477,42
gru,tuberculose,12,origin_201912,3548708,251,8.0,4.760372638702393,42
gru,tuberculose,1,origin_201912,3549805,240,2.0,0.01274289470165968,42
gru,tuberculose,3,origin_201912,3549805,242,2.0,0.007840759120881557,42
gru,tuberculose,6,origin_201912,3549805,245,2.0,0.022159885615110397,42
gru,tuberculose,12,origin_201912,3549805,251,1.0,0.04616524279117584,42
gru,tuberculose,1,origin_201912,3549904,240,3.0,0.5428348779678345,42
gru,tuberculose,3,origin_201912,3549904,242,0.0,1.0241914987564087,42
gru,tuberculose,6,origin_201912,3549904,245,1.0,1.3999849557876587,42
gru,tuberculose,12,origin_201912,3549904,251,1.0,2.071092128753662,42
gru,tuberculose,1,origin_201912,3550308,240,105.0,104.37643432617188,42
gru,tuberculose,3,origin_201912,3550308,242,110.0,103.22276306152344,42
gru,tuberculose,6,origin_201912,3550308,245,56.0,102.66382598876953,42
gru,tuberculose,12,origin_201912,3550308,251,71.0,100.45116424560547,42
gru,tuberculose,1,origin_201912,3551009,240,14.0,10.167649269104004,42
gru,tuberculose,3,origin_201912,3551009,242,11.0,11.200295448303223,42
gru,tuberculose,6,origin_201912,3551009,245,3.0,11.922999382019043,42
gru,tuberculose,12,origin_201912,3551009,251,9.0,10.966911315917969,42
gru,tuberculose,1,origin_201912,3552205,240,2.0,0.2650865912437439,42
gru,tuberculose,3,origin_201912,3552205,242,0.0,0.38350558280944824,42
gru,tuberculose,6,origin_201912,3552205,245,0.0,0.5199034810066223,42
gru,tuberculose,12,origin_201912,3552205,251,0.0,1.2344738245010376,42
gru,tuberculose,1,origin_201912,3554102,240,4.0,3.9365782737731934,42
gru,tuberculose,3,origin_201912,3554102,242,1.0,4.571430683135986,42
gru,tuberculose,6,origin_201912,3554102,245,3.0,4.119385242462158,42
gru,tuberculose,12,origin_201912,3554102,251,5.0,3.7923755645751953,42
gru,tuberculose,1,origin_202012,3505708,252,2.0,2.551997423171997,42
gru,tuberculose,3,origin_202012,3505708,254,1.0,2.552241802215576,42
gru,tuberculose,6,origin_202012,3505708,257,4.0,2.7716195583343506,42
gru,tuberculose,12,origin_202012,3505708,263,4.0,3.1301016807556152,42
gru,tuberculose,1,origin_202012,3506003,252,4.0,4.774731636047363,42
gru,tuberculose,3,origin_202012,3506003,254,7.0,4.848266124725342,42
gru,tuberculose,6,origin_202012,3506003,257,3.0,4.754011154174805,42
gru,tuberculose,12,origin_202012,3506003,263,9.0,4.617644309997559,42
gru,tuberculose,1,origin_202012,3509502,252,3.0,9.059404373168945,42
gru,tuberculose,3,origin_202012,3509502,254,5.0,9.509511947631836,42
gru,tuberculose,6,origin_202012,3509502,257,6.0,9.224215507507324,42
gru,tuberculose,12,origin_202012,3509502,263,10.0,8.711435317993164,42
gru,tuberculose,1,origin_202012,3510609,252,7.0,5.3807477951049805,42
gru,tuberculose,3,origin_202012,3510609,254,3.0,5.631654739379883,42
gru,tuberculose,6,origin_202012,3510609,257,3.0,5.477186679840088,42
gru,tuberculose,12,origin_202012,3510609,263,4.0,5.3476057052612305,42
gru,tuberculose,1,origin_202012,3513801,252,6.0,5.906698703765869,42
gru,tuberculose,3,origin_202012,3513801,254,3.0,6.246945381164551,42
gru,tuberculose,6,origin_202012,3513801,257,6.0,6.2471842765808105,42
gru,tuberculose,12,origin_202012,3513801,263,1.0,6.39238166809082,42
gru,tuberculose,1,origin_202012,3518701,252,8.0,7.895151615142822,42
gru,tuberculose,3,origin_202012,3518701,254,7.0,8.171302795410156,42
gru,tuberculose,6,origin_202012,3518701,257,6.0,8.095455169677734,42
gru,tuberculose,12,origin_202012,3518701,263,9.0,8.16525936126709,42
gru,tuberculose,1,origin_202012,3518800,252,5.0,7.266750812530518,42
gru,tuberculose,3,origin_202012,3518800,254,4.0,7.725522041320801,42
gru,tuberculose,6,origin_202012,3518800,257,4.0,7.575841903686523,42
gru,tuberculose,12,origin_202012,3518800,263,5.0,7.204542636871338,42
gru,tuberculose,1,origin_202012,3522208,252,3.0,1.2220873832702637,42
gru,tuberculose,3,origin_202012,3522208,254,1.0,1.1335495710372925,42
gru,tuberculose,6,origin_202012,3522208,257,0.0,1.2014946937561035,42
gru,tuberculose,12,origin_202012,3522208,263,0.0,1.4920587539672852,42
gru,tuberculose,1,origin_202012,3525904,252,0.0,0.038474190980196,42
gru,tuberculose,3,origin_202012,3525904,254,1.0,0.22990761697292328,42
gru,tuberculose,6,origin_202012,3525904,257,0.0,0.5112536549568176,42
gru,tuberculose,12,origin_202012,3525904,263,3.0,1.12295401096344,42
gru,tuberculose,1,origin_202012,3529401,252,2.0,0.9217520356178284,42
gru,tuberculose,3,origin_202012,3529401,254,3.0,1.795953392982483,42
gru,tuberculose,6,origin_202012,3529401,257,1.0,1.9167277812957764,42
gru,tuberculose,12,origin_202012,3529401,263,1.0,2.070152997970581,42
gru,tuberculose,1,origin_202012,3534401,252,5.0,5.075430393218994,42
gru,tuberculose,3,origin_202012,3534401,254,3.0,5.17568826675415,42
gru,tuberculose,6,origin_202012,3534401,257,3.0,4.868583679199219,42
gru,tuberculose,12,origin_202012,3534401,263,4.0,4.526556968688965,42
gru,tuberculose,1,origin_202012,3536505,252,0.0,0.53360515832901,42
gru,tuberculose,3,origin_202012,3536505,254,1.0,0.6637657284736633,42
gru,tuberculose,6,origin_202012,3536505,257,1.0,0.7184181809425354,42
gru,tuberculose,12,origin_202012,3536505,263,2.0,0.9442915916442871,42
gru,tuberculose,1,origin_202012,3541000,252,4.0,4.616694450378418,42
gru,tuberculose,3,origin_202012,3541000,254,2.0,4.720569133758545,42
gru,tuberculose,6,origin_202012,3541000,257,2.0,4.714904308319092,42
gru,tuberculose,12,origin_202012,3541000,263,2.0,4.7450642585754395,42
gru,tuberculose,1,origin_202012,3543402,252,5.0,8.697904586791992,42
gru,tuberculose,3,origin_202012,3543402,254,3.0,8.757390975952148,42
gru,tuberculose,6,origin_202012,3543402,257,4.0,8.637160301208496,42
gru,tuberculose,12,origin_202012,3543402,263,12.0,8.217164039611816,42
gru,tuberculose,1,origin_202012,3547809,252,7.0,5.085254669189453,42
gru,tuberculose,3,origin_202012,3547809,254,12.0,5.118306636810303,42
gru,tuberculose,6,origin_202012,3547809,257,5.0,5.131434917449951,42
gru,tuberculose,12,origin_202012,3547809,263,12.0,5.057329177856445,42
gru,tuberculose,1,origin_202012,3548500,252,7.0,7.986181259155273,42
gru,tuberculose,3,origin_202012,3548500,254,3.0,8.313499450683594,42
gru,tuberculose,6,origin_202012,3548500,257,4.0,8.073243141174316,42
gru,tuberculose,12,origin_202012,3548500,263,6.0,8.046173095703125,42
gru,tuberculose,1,origin_202012,3548708,252,2.0,4.84583044052124,42
gru,tuberculose,3,origin_202012,3548708,254,2.0,4.746999740600586,42
gru,tuberculose,6,origin_202012,3548708,257,5.0,4.726184844970703,42
gru,tuberculose,12,origin_202012,3548708,263,5.0,4.670702934265137,42
gru,tuberculose,1,origin_202012,3549805,252,0.0,0.5956951379776001,42
gru,tuberculose,3,origin_202012,3549805,254,3.0,0.45248255133628845,42
gru,tuberculose,6,origin_202012,3549805,257,0.0,0.5011934041976929,42
gru,tuberculose,12,origin_202012,3549805,263,4.0,0.6160165667533875,42
gru,tuberculose,1,origin_202012,3549904,252,1.0,0.5212177634239197,42
gru,tuberculose,3,origin_202012,3549904,254,2.0,0.7355687618255615,42
gru,tuberculose,6,origin_202012,3549904,257,1.0,0.9258660078048706,42
gru,tuberculose,12,origin_202012,3549904,263,1.0,1.2508832216262817,42
gru,tuberculose,1,origin_202012,3550308,252,107.0,101.00212860107422,42
gru,tuberculose,3,origin_202012,3550308,254,85.0,99.84075164794922,42
gru,tuberculose,6,origin_202012,3550308,257,73.0,99.10338592529297,42
gru,tuberculose,12,origin_202012,3550308,263,95.0,102.05657196044922,42
gru,tuberculose,1,origin_202012,3551009,252,10.0,9.191168785095215,42
gru,tuberculose,3,origin_202012,3551009,254,11.0,9.303945541381836,42
gru,tuberculose,6,origin_202012,3551009,257,7.0,9.036056518554688,42
gru,tuberculose,12,origin_202012,3551009,263,22.0,8.397993087768555,42
gru,tuberculose,1,origin_202012,3552205,252,2.0,0.06237999349832535,42
gru,tuberculose,3,origin_202012,3552205,254,0.0,0.1763058602809906,42
gru,tuberculose,6,origin_202012,3552205,257,1.0,0.2714986205101013,42
gru,tuberculose,12,origin_202012,3552205,263,1.0,0.502657413482666,42
gru,tuberculose,1,origin_202012,3554102,252,4.0,4.8239593505859375,42
gru,tuberculose,3,origin_202012,3554102,254,0.0,4.929058074951172,42
gru,tuberculose,6,origin_202012,3554102,257,4.0,4.8555145263671875,42
gru,tuberculose,12,origin_202012,3554102,263,2.0,4.847044944763184,42
gru,tuberculose,1,origin_202112,3505708,264,2.0,2.864813804626465,42
gru,tuberculose,3,origin_202112,3505708,266,3.0,2.279238700866699,42
gru,tuberculose,6,origin_202112,3505708,269,1.0,2.003905773162842,42
gru,tuberculose,12,origin_202112,3505708,275,4.0,1.4747657775878906,42
gru,tuberculose,1,origin_202112,3506003,264,4.0,5.036487102508545,42
gru,tuberculose,3,origin_202112,3506003,266,2.0,4.999505519866943,42
gru,tuberculose,6,origin_202112,3506003,269,4.0,4.687204837799072,42
gru,tuberculose,12,origin_202112,3506003,275,2.0,4.076014995574951,42
gru,tuberculose,1,origin_202112,3509502,264,9.0,9.883743286132812,42
gru,tuberculose,3,origin_202112,3509502,266,11.0,10.225995063781738,42
gru,tuberculose,6,origin_202112,3509502,269,10.0,9.242581367492676,42
gru,tuberculose,12,origin_202112,3509502,275,13.0,8.681380271911621,42
gru,tuberculose,1,origin_202112,3510609,264,0.0,6.983738422393799,42
gru,tuberculose,3,origin_202112,3510609,266,1.0,7.228538990020752,42
gru,tuberculose,6,origin_202112,3510609,269,6.0,6.369560241699219,42
gru,tuberculose,12,origin_202112,3510609,275,1.0,5.546599864959717,42
gru,tuberculose,1,origin_202112,3513801,264,2.0,3.078219413757324,42
gru,tuberculose,3,origin_202112,3513801,266,7.0,3.7181990146636963,42
gru,tuberculose,6,origin_202112,3513801,269,6.0,4.2121357917785645,42
gru,tuberculose,12,origin_202112,3513801,275,4.0,4.264411449432373,42
gru,tuberculose,1,origin_202112,3518701,264,11.0,7.849867820739746,42
gru,tuberculose,3,origin_202112,3518701,266,12.0,7.786092758178711,42
gru,tuberculose,6,origin_202112,3518701,269,15.0,7.475290775299072,42
gru,tuberculose,12,origin_202112,3518701,275,7.0,7.223198890686035,42
gru,tuberculose,1,origin_202112,3518800,264,5.0,6.7529120445251465,42
gru,tuberculose,3,origin_202112,3518800,266,7.0,7.725697994232178,42
gru,tuberculose,6,origin_202112,3518800,269,2.0,7.630794048309326,42
gru,tuberculose,12,origin_202112,3518800,275,8.0,7.2795305252075195,42
gru,tuberculose,1,origin_202112,3522208,264,0.0,0.07149573415517807,42
gru,tuberculose,3,origin_202112,3522208,266,1.0,0.14189845323562622,42
gru,tuberculose,6,origin_202112,3522208,269,0.0,0.14085990190505981,42
gru,tuberculose,12,origin_202112,3522208,275,0.0,0.21435245871543884,42
gru,tuberculose,1,origin_202112,3525904,264,2.0,0.38352805376052856,42
gru,tuberculose,3,origin_202112,3525904,266,2.0,0.821063756942749,42
gru,tuberculose,6,origin_202112,3525904,269,2.0,0.8898954391479492,42
gru,tuberculose,12,origin_202112,3525904,275,3.0,0.8164637088775635,42
gru,tuberculose,1,origin_202112,3529401,264,3.0,0.35656487941741943,42
gru,tuberculose,3,origin_202112,3529401,266,1.0,0.48237791657447815,42
gru,tuberculose,6,origin_202112,3529401,269,1.0,0.4030652642250061,42
gru,tuberculose,12,origin_202112,3529401,275,1.0,0.34581151604652405,42
gru,tuberculose,1,origin_202112,3534401,264,9.0,7.964809894561768,42
gru,tuberculose,3,origin_202112,3534401,266,16.0,8.077889442443848,42
gru,tuberculose,6,origin_202112,3534401,269,14.0,6.325369358062744,42
gru,tuberculose,12,origin_202112,3534401,275,5.0,4.660280227661133,42
gru,tuberculose,1,origin_202112,3536505,264,0.0,0.05333239585161209,42
gru,tuberculose,3,origin_202112,3536505,266,2.0,0.05333299562335014,42
gru,tuberculose,6,origin_202112,3536505,269,2.0,0.05592573061585426,42
gru,tuberculose,12,origin_202112,3536505,275,0.0,0.07037608325481415,42
gru,tuberculose,1,origin_202112,3541000,264,4.0,2.8134357929229736,42
gru,tuberculose,3,origin_202112,3541000,266,3.0,3.412318468093872,42
gru,tuberculose,6,origin_202112,3541000,269,5.0,3.4262535572052,42
gru,tuberculose,12,origin_202112,3541000,275,8.0,3.203613758087158,42
gru,tuberculose,1,origin_202112,3543402,264,10.0,8.61196231842041,42
gru,tuberculose,3,origin_202112,3543402,266,8.0,8.820154190063477,42
gru,tuberculose,6,origin_202112,3543402,269,13.0,8.722973823547363,42
gru,tuberculose,12,origin_202112,3543402,275,13.0,8.387986183166504,42
gru,tuberculose,1,origin_202112,3547809,264,6.0,5.004745006561279,42
gru,tuberculose,3,origin_202112,3547809,266,14.0,5.08175802230835,42
gru,tuberculose,6,origin_202112,3547809,269,2.0,5.184635639190674,42
gru,tuberculose,12,origin_202112,3547809,275,5.0,5.097776412963867,42
gru,tuberculose,1,origin_202112,3548500,264,5.0,8.744688987731934,42
gru,tuberculose,3,origin_202112,3548500,266,8.0,9.504034996032715,42
gru,tuberculose,6,origin_202112,3548500,269,7.0,8.899903297424316,42
gru,tuberculose,12,origin_202112,3548500,275,12.0,8.180939674377441,42
