model,disease,horizon,origin,cd_mun,time_idx,y_true,y_pred,seed
lstm,hanseniase,1,origin_201912,3505708,240,0.0,1.9374785135672325e-17,42
lstm,hanseniase,3,origin_201912,3505708,242,0.0,6.982825797112165e-17,42
lstm,hanseniase,6,origin_201912,3505708,245,0.0,3.0775139546494127e-16,42
lstm,hanseniase,12,origin_201912,3505708,251,0.0,1.2061059895840409e-15,42
lstm,hanseniase,1,origin_201912,3506003,240,2.0,0.0013581920647993684,42
lstm,hanseniase,3,origin_201912,3506003,242,0.0,0.00174761563539505,42
lstm,hanseniase,6,origin_201912,3506003,245,1.0,0.0020530486945062876,42
lstm,hanseniase,12,origin_201912,3506003,251,1.0,0.002587392693385482,42
lstm,hanseniase,1,origin_201912,3509502,240,0.0,7.476889550162014e-06,42
lstm,hanseniase,3,origin_201912,3509502,242,4.0,4.525615622696932e-06,42
lstm,hanseniase,6,origin_201912,3509502,245,3.0,1.6876991537628783e-07,42
lstm,hanseniase,12,origin_201912,3509502,251,6.0,5.35628381925779e-11,42
lstm,hanseniase,1,origin_201912,3510609,240,0.0,2.567898964214027e-16,42
lstm,hanseniase,3,origin_201912,3510609,242,0.0,5.684606986217468e-16,42
lstm,hanseniase,6,origin_201912,3510609,245,0.0,8.652495554553065e-16,42
lstm,hanseniase,12,origin_201912,3510609,251,0.0,6.256479162973841e-16,42
lstm,hanseniase,1,origin_201912,3513801,240,0.0,1.2099770360321114e-15,42
lstm,hanseniase,3,origin_201912,3513801,242,0.0,2.208497802496344e-15,42
lstm,hanseniase,6,origin_201912,3513801,245,0.0,5.177594345693844e-15,42
lstm,hanseniase,12,origin_201912,3513801,251,0.0,1.0136000281560798e-14,42
lstm,hanseniase,1,origin_201912,3518701,240,0.0,2.7563161822397042e-11,42
lstm,hanseniase,3,origin_201912,3518701,242,0.0,1.3430849314655102e-12,42
lstm,hanseniase,6,origin_201912,3518701,245,3.0,1.148506711555388e-14,42
lstm,hanseniase,12,origin_201912,3518701,251,2.0,6.733611763371004e-16,42
lstm,hanseniase,1,origin_201912,3518800,240,0.0,4.004499132292949e-08,42
lstm,hanseniase,3,origin_201912,3518800,242,3.0,2.3571068652472604e-08,42
lstm,hanseniase,6,origin_201912,3518800,245,0.0,1.416344730387209e-08,42
lstm,hanseniase,12,origin_201912,3518800,251,1.0,1.2221716971794194e-09,42
lstm,hanseniase,1,origin_201912,3522208,240,0.0,2.769314928741627e-16,42
lstm,hanseniase,3,origin_201912,3522208,242,0.0,8.012636278285326e-16,42
lstm,hanseniase,6,origin_201912,3522208,245,0.0,2.8906172465684946e-15,42
lstm,hanseniase,12,origin_201912,3522208,251,0.0,1.2449908793244098e-14,42
lstm,hanseniase,1,origin_201912,3525904,240,0.0,2.9727885480563447e-15,42
lstm,hanseniase,3,origin_201912,3525904,242,0.0,5.778690429679911e-15,42
lstm,hanseniase,6,origin_201912,3525904,245,0.0,1.1193110952261321e-14,42
lstm,hanseniase,12,origin_201912,3525904,251,0.0,1.213606445156154e-14,42
lstm,hanseniase,1,origin_201912,3529401,240,0.0,1.5049679066164463e-15,42
lstm,hanseniase,3,origin_201912,3529401,242,0.0,2.5534532408150786e-15,42
lstm,hanseniase,6,origin_201912,3529401,245,0.0,6.493514239362024e-15,42
lstm,hanseniase,12,origin_201912,3529401,251,0.0,4.415239875099619e-14,42
lstm,hanseniase,1,origin_201912,3534401,240,0.0,4.906834334873376e-16,42
lstm,hanseniase,3,origin_201912,3534401,242,0.0,1.2050021997746501e-15,42
lstm,hanseniase,6,origin_201912,3534401,245,0.0,4.933037299096688e-15,42
lstm,hanseniase,12,origin_201912,3534401,251,0.0,2.2685827622361855e-14,42
lstm,hanseniase,1,origin_201912,3536505,240,0.0,6.496653369934328e-17,42
lstm,hanseniase,3,origin_201912,3536505,242,0.0,2.1345144244024663e-16,42
lstm,hanseniase,6,origin_201912,3536505,245,0.0,1.1540617442058949e-15,42
lstm,hanseniase,12,origin_201912,3536505,251,0.0,8.841686504311181e-15,42
lstm,hanseniase,1,origin_201912,3541000,240,0.0,2.1000185113171674e-17,42
lstm,hanseniase,3,origin_201912,3541000,242,0.0,5.120021344215402e-17,42
lstm,hanseniase,6,origin_201912,3541000,245,0.0,1.5086053837293114e-16,42
lstm,hanseniase,12,origin_201912,3541000,251,0.0,2.338901489341459e-16,42
lstm,hanseniase,1,origin_201912,3543402,240,1.0,4.914375330289378e-12,42
lstm,hanseniase,3,origin_201912,3543402,242,2.0,6.4874954366911375e-12,42
lstm,hanseniase,6,origin_201912,3543402,245,2.0,7.341668939453427e-12,42
lstm,hanseniase,12,origin_201912,3543402,251,1.0,5.414170847761746e-12,42
lstm,hanseniase,1,origin_201912,3547809,240,0.0,6.748677435478004e-17,42
lstm,hanseniase,3,origin_201912,3547809,242,0.0,1.5983666562899317e-16,42
lstm,hanseniase,6,origin_201912,3547809,245,0.0,2.589500686649176e-16,42
lstm,hanseniase,12,origin_201912,3547809,251,0.0,1.2270304562383007e-16,42
lstm,hanseniase,1,origin_201912,3548500,240,0.0,1.1967924388125062e-16,42
lstm,hanseniase,3,origin_201912,3548500,242,0.0,3.7556477381278175e-16,42
lstm,hanseniase,6,origin_201912,3548500,245,0.0,1.7676391763071092e-15,42
lstm,hanseniase,12,origin_201912,3548500,251,0.0,1.2046398390798147e-14,42
lstm,hanseniase,1,origin_201912,3548708,240,0.0,4.672927245280285e-16,42
lstm,hanseniase,3,origin_201912,3548708,242,1.0,1.2870168001672582e-15,42
lstm,hanseniase,6,origin_201912,3548708,245,0.0,2.6087765624902828e-15,42
lstm,hanseniase,12,origin_201912,3548708,251,0.0,2.630260706164441e-15,42
lstm,hanseniase,1,origin_201912,3549805,240,0.0,2.5661767344740223e-15,42
lstm,hanseniase,3,origin_201912,3549805,242,0.0,5.7368266732948144e-15,42
lstm,hanseniase,6,origin_201912,3549805,245,0.0,8.481424757119087e-15,42
lstm,hanseniase,12,origin_201912,3549805,251,0.0,4.346702881798895e-15,42
lstm,hanseniase,1,origin_201912,3549904,240,0.0,1.7469648226003058e-16,42
lstm,hanseniase,3,origin_201912,3549904,242,0.0,3.1359269348788454e-16,42
lstm,hanseniase,6,origin_201912,3549904,245,0.0,5.304096492904787e-16,42
