model,disease,horizon,origin,cd_mun,time_idx,y_true,y_pred,seed
lstm,hepatite,1,origin_201912,3505708,240,0.0,0.0007953856256790459,42
lstm,hepatite,3,origin_201912,3505708,242,0.0,0.007045446429401636,42
lstm,hepatite,6,origin_201912,3505708,245,1.0,0.13719145953655243,42
lstm,hepatite,12,origin_201912,3505708,251,2.0,0.6990870237350464,42
lstm,hepatite,1,origin_201912,3506003,240,4.0,0.30049070715904236,42
lstm,hepatite,3,origin_201912,3506003,242,1.0,0.6094731688499451,42
lstm,hepatite,6,origin_201912,3506003,245,0.0,0.6509425044059753,42
lstm,hepatite,12,origin_201912,3506003,251,2.0,0.6024530529975891,42
lstm,hepatite,1,origin_201912,3509502,240,0.0,1.9463002681732178,42
lstm,hepatite,3,origin_201912,3509502,242,2.0,1.8588947057724,42
lstm,hepatite,6,origin_201912,3509502,245,0.0,1.5623083114624023,42
lstm,hepatite,12,origin_201912,3509502,251,2.0,1.8820252418518066,42
lstm,hepatite,1,origin_201912,3510609,240,1.0,0.006425613537430763,42
lstm,hepatite,3,origin_201912,3510609,242,0.0,0.024913545697927475,42
lstm,hepatite,6,origin_201912,3510609,245,1.0,0.15780049562454224,42
lstm,hepatite,12,origin_201912,3510609,251,0.0,0.5958483815193176,42
lstm,hepatite,1,origin_201912,3513801,240,0.0,2.194044723680122e-09,42
lstm,hepatite,3,origin_201912,3513801,242,0.0,8.399283046855999e-09,42
lstm,hepatite,6,origin_201912,3513801,245,0.0,5.118873147580416e-08,42
lstm,hepatite,12,origin_201912,3513801,251,0.0,4.400558282213751e-07,42
lstm,hepatite,1,origin_201912,3518701,240,0.0,4.785706053667127e-08,42
lstm,hepatite,3,origin_201912,3518701,242,0.0,2.1521805138036143e-07,42
lstm,hepatite,6,origin_201912,3518701,245,0.0,1.229575559591467e-06,42
lstm,hepatite,12,origin_201912,3518701,251,0.0,5.8257173805031925e-06,42
lstm,hepatite,1,origin_201912,3518800,240,0.0,1.1458139681508328e-07,42
lstm,hepatite,3,origin_201912,3518800,242,0.0,2.3835490026158368e-07,42
lstm,hepatite,6,origin_201912,3518800,245,0.0,3.997845681169565e-07,42
lstm,hepatite,12,origin_201912,3518800,251,0.0,7.113646915968275e-07,42
lstm,hepatite,1,origin_201912,3522208,240,0.0,4.672714482012452e-08,42
lstm,hepatite,3,origin_201912,3522208,242,0.0,1.204473960569885e-07,42
lstm,hepatite,6,origin_201912,3522208,245,0.0,3.807123789556499e-07,42
lstm,hepatite,12,origin_201912,3522208,251,0.0,7.875313485783408e-07,42
lstm,hepatite,1,origin_201912,3525904,240,0.0,6.204608382631704e-08,42
lstm,hepatite,3,origin_201912,3525904,242,0.0,3.3544830557730165e-07,42
lstm,hepatite,6,origin_201912,3525904,245,0.0,2.206143790317583e-06,42
lstm,hepatite,12,origin_201912,3525904,251,0.0,1.0465815648785792e-05,42
lstm,hepatite,1,origin_201912,3529401,240,0.0,5.368827049601066e-10,42
lstm,hepatite,3,origin_201912,3529401,242,0.0,1.216160727679494e-09,42
lstm,hepatite,6,origin_201912,3529401,245,0.0,2.2856792014636085e-09,42
lstm,hepatite,12,origin_201912,3529401,251,0.0,5.325677232548287e-09,42
lstm,hepatite,1,origin_201912,3534401,240,1.0,0.0009039723081514239,42
lstm,hepatite,3,origin_201912,3534401,242,0.0,0.0024191748816519976,42
lstm,hepatite,6,origin_201912,3534401,245,0.0,0.0027029679622501135,42
lstm,hepatite,12,origin_201912,3534401,251,1.0,0.0014146518660709262,42
lstm,hepatite,1,origin_201912,3536505,240,0.0,2.287576053063012e-13,42
lstm,hepatite,3,origin_201912,3536505,242,0.0,6.70150024882632e-13,42
lstm,hepatite,6,origin_201912,3536505,245,0.0,2.288057330407378e-12,42
lstm,hepatite,12,origin_201912,3536505,251,0.0,3.5929727075501017e-12,42
lstm,hepatite,1,origin_201912,3541000,240,0.0,5.7556000854219747e-08,42
lstm,hepatite,3,origin_201912,3541000,242,0.0,2.1410255612863693e-07,42
lstm,hepatite,6,origin_201912,3541000,245,0.0,8.058557909862429e-07,42
lstm,hepatite,12,origin_201912,3541000,251,0.0,1.4937246533008874e-06,42
lstm,hepatite,1,origin_201912,3543402,240,0.0,3.6047086382495763e-07,42
lstm,hepatite,3,origin_201912,3543402,242,0.0,1.151087531070516e-06,42
lstm,hepatite,6,origin_201912,3543402,245,0.0,3.153190391458338e-06,42
lstm,hepatite,12,origin_201912,3543402,251,0.0,8.925560905481689e-06,42
lstm,hepatite,1,origin_201912,3547809,240,0.0,1.151892433881585e-06,42
lstm,hepatite,3,origin_201912,3547809,242,0.0,2.9123280000931118e-06,42
lstm,hepatite,6,origin_201912,3547809,245,0.0,5.755562142439885e-06,42
lstm,hepatite,12,origin_201912,3547809,251,0.0,9.305325875175186e-06,42
lstm,hepatite,1,origin_201912,3548500,240,0.0,0.20164044201374054,42
lstm,hepatite,3,origin_201912,3548500,242,1.0,0.5761561393737793,42
lstm,hepatite,6,origin_201912,3548500,245,0.0,0.9508786201477051,42
lstm,hepatite,12,origin_201912,3548500,251,1.0,0.8208376169204712,42
lstm,hepatite,1,origin_201912,3548708,240,0.0,0.00010292647493770346,42
lstm,hepatite,3,origin_201912,3548708,242,0.0,0.00010588371515041217,42
lstm,hepatite,6,origin_201912,3548708,245,1.0,9.1697605967056e-05,42
lstm,hepatite,12,origin_201912,3548708,251,0.0,0.0002171585219912231,42
lstm,hepatite,1,origin_201912,3549805,240,0.0,2.7610522579379904e-07,42
lstm,hepatite,3,origin_201912,3549805,242,0.0,1.407716013090976e-06,42
lstm,hepatite,6,origin_201912,3549805,245,0.0,1.6104271708172746e-05,42
lstm,hepatite,12,origin_201912,3549805,251,0.0,0.0001977168140001595,42
lstm,hepatite,1,origin_201912,3549904,240,0.0,1.1849693692056462e-05,42
lstm,hepatite,3,origin_201912,3549904,242,0.0,5.6959488574648276e-05,42
lstm,hepatite,6,origin_201912,3549904,245,0.0,0.00037874860572628677,42
lstm,hepatite,12,origin_201912,3549904,251,0.0,0.0016066887183114886,42
lstm,hepatite,1,origin_201912,3550308,240,0.0,1.7928254638244906e-13,42
lstm,hepatite,3,origin_201912,3550308,242,0.0,8.580341434106034e-14,42
lstm,hepatite,6,origin_201912,3550308,245,0.0,1.1153199945632825e-13,42
lstm,hepatite,12,origin_201912,3550308,251,0.0,9.808617676757003e-13,42
lstm,hepatite,1,origin_201912,3551009,240,0.0,5.1027303271666824e-08,42
lstm,hepatite,3,origin_201912,3551009,242,0.0,1.5965515842708555e-07,42
lstm,hepatite,6,origin_201912,3551009,245,0.0,4.4537048893289466e-07,42
lstm,hepatite,12,origin_201912,3551009,251,0.0,1.2639738997677341e-06,42
lstm,hepatite,1,origin_201912,3552205,240,0.0,0.00019135417824145406,42
lstm,hepatite,3,origin_201912,3552205,242,0.0,0.000661308120470494,42
lstm,hepatite,6,origin_201912,3552205,245,0.0,0.0025248152669519186,42
lstm,hepatite,12,origin_201912,3552205,251,0.0,0.007953431457281113,42
lstm,hepatite,1,origin_201912,3554102,240,0.0,1.3310905710994803e-09,42
lstm,hepatite,3,origin_201912,3554102,242,0.0,3.2098699254135e-09,42
lstm,hepatite,6,origin_201912,3554102,245,0.0,8.2003639434447e-09,42
lstm,hepatite,12,origin_201912,3554102,251,0.0,2.7411530822973873e-08,42
lstm,hepatite,1,origin_202012,3505708,252,0.0,0.0008997066761367023,42
lstm,hepatite,3,origin_202012,3505708,254,1.0,0.007836968638002872,42
