model,disease,horizon,origin,cd_mun,time_idx,y_true,y_pred,seed
lstm,hiv_aids,1,origin_201912,3505708,240,1.0,0.4499671459197998,42
lstm,hiv_aids,3,origin_201912,3505708,242,0.0,0.4459519684314728,42
lstm,hiv_aids,6,origin_201912,3505708,245,0.0,0.27679935097694397,42
lstm,hiv_aids,12,origin_201912,3505708,251,0.0,0.147201269865036,42
lstm,hiv_aids,1,origin_201912,3506003,240,5.0,6.0257062911987305,42
lstm,hiv_aids,3,origin_201912,3506003,242,5.0,4.971047878265381,42
lstm,hiv_aids,6,origin_201912,3506003,245,2.0,4.078286170959473,42
lstm,hiv_aids,12,origin_201912,3506003,251,2.0,4.645820617675781,42
lstm,hiv_aids,1,origin_201912,3509502,240,16.0,13.004823684692383,42
lstm,hiv_aids,3,origin_201912,3509502,242,9.0,13.298025131225586,42
lstm,hiv_aids,6,origin_201912,3509502,245,9.0,13.006658554077148,42
lstm,hiv_aids,12,origin_201912,3509502,251,15.0,12.37713623046875,42
lstm,hiv_aids,1,origin_201912,3510609,240,8.0,3.1614649295806885,42
lstm,hiv_aids,3,origin_201912,3510609,242,2.0,2.855034589767456,42
lstm,hiv_aids,6,origin_201912,3510609,245,0.0,2.350999355316162,42
lstm,hiv_aids,12,origin_201912,3510609,251,0.0,2.0995194911956787,42
lstm,hiv_aids,1,origin_201912,3513801,240,0.0,3.4663619995117188,42
lstm,hiv_aids,3,origin_201912,3513801,242,3.0,3.313673973083496,42
lstm,hiv_aids,6,origin_201912,3513801,245,1.0,3.307141065597534,42
lstm,hiv_aids,12,origin_201912,3513801,251,1.0,3.489462375640869,42
lstm,hiv_aids,1,origin_201912,3518701,240,2.0,0.49197831749916077,42
lstm,hiv_aids,3,origin_201912,3518701,242,3.0,0.5712388157844543,42
lstm,hiv_aids,6,origin_201912,3518701,245,3.0,0.5718324780464172,42
lstm,hiv_aids,12,origin_201912,3518701,251,0.0,0.5853474736213684,42
lstm,hiv_aids,1,origin_201912,3518800,240,5.0,7.5980987548828125,42
lstm,hiv_aids,3,origin_201912,3518800,242,5.0,7.418525695800781,42
lstm,hiv_aids,6,origin_201912,3518800,245,0.0,7.090423107147217,42
lstm,hiv_aids,12,origin_201912,3518800,251,4.0,6.832981109619141,42
lstm,hiv_aids,1,origin_201912,3522208,240,4.0,0.17420774698257446,42
lstm,hiv_aids,3,origin_201912,3522208,242,0.0,0.05432362109422684,42
lstm,hiv_aids,6,origin_201912,3522208,245,0.0,0.005295465234667063,42
lstm,hiv_aids,12,origin_201912,3522208,251,0.0,0.0006962301558814943,42
lstm,hiv_aids,1,origin_201912,3525904,240,4.0,6.087976455688477,42
lstm,hiv_aids,3,origin_201912,3525904,242,1.0,6.218308448791504,42
lstm,hiv_aids,6,origin_201912,3525904,245,4.0,5.998826026916504,42
lstm,hiv_aids,12,origin_201912,3525904,251,4.0,5.5032453536987305,42
lstm,hiv_aids,1,origin_201912,3529401,240,1.0,0.108178049325943,42
lstm,hiv_aids,3,origin_201912,3529401,242,0.0,0.11885399371385574,42
lstm,hiv_aids,6,origin_201912,3529401,245,0.0,0.09116955101490021,42
lstm,hiv_aids,12,origin_201912,3529401,251,1.0,0.2850315570831299,42
lstm,hiv_aids,1,origin_201912,3534401,240,5.0,3.7698159217834473,42
lstm,hiv_aids,3,origin_201912,3534401,242,6.0,4.1078877449035645,42
lstm,hiv_aids,6,origin_201912,3534401,245,0.0,4.065398693084717,42
lstm,hiv_aids,12,origin_201912,3534401,251,2.0,3.2295174598693848,42
lstm,hiv_aids,1,origin_201912,3536505,240,0.0,9.760744434927915e-10,42
lstm,hiv_aids,3,origin_201912,3536505,242,0.0,9.768291953093922e-09,42
lstm,hiv_aids,6,origin_201912,3536505,245,0.0,3.1785319265509315e-08,42
lstm,hiv_aids,12,origin_201912,3536505,251,1.0,2.722032199642399e-08,42
lstm,hiv_aids,1,origin_201912,3541000,240,2.0,0.0033662905916571617,42
lstm,hiv_aids,3,origin_201912,3541000,242,0.0,0.00830645952373743,42
lstm,hiv_aids,6,origin_201912,3541000,245,0.0,0.008187945932149887,42
lstm,hiv_aids,12,origin_201912,3541000,251,0.0,0.011400830931961536,42
lstm,hiv_aids,1,origin_201912,3543402,240,16.0,16.681344985961914,42
lstm,hiv_aids,3,origin_201912,3543402,242,12.0,16.76833152770996,42
lstm,hiv_aids,6,origin_201912,3543402,245,22.0,16.53951072692871,42
lstm,hiv_aids,12,origin_201912,3543402,251,6.0,16.086118698120117,42
lstm,hiv_aids,1,origin_201912,3547809,240,1.0,0.7814031839370728,42
lstm,hiv_aids,3,origin_201912,3547809,242,2.0,0.7431986927986145,42
lstm,hiv_aids,6,origin_201912,3547809,245,3.0,0.6567279100418091,42
lstm,hiv_aids,12,origin_201912,3547809,251,0.0,0.815264105796814,42
lstm,hiv_aids,1,origin_201912,3548500,240,5.0,0.038420550525188446,42
lstm,hiv_aids,3,origin_201912,3548500,242,2.0,0.07953699678182602,42
lstm,hiv_aids,6,origin_201912,3548500,245,2.0,0.09698495268821716,42
lstm,hiv_aids,12,origin_201912,3548500,251,3.0,0.027909256517887115,42
lstm,hiv_aids,1,origin_201912,3548708,240,3.0,1.3218885660171509,42
lstm,hiv_aids,3,origin_201912,3548708,242,4.0,1.1053483486175537,42
lstm,hiv_aids,6,origin_201912,3548708,245,3.0,0.4717475175857544,42
lstm,hiv_aids,12,origin_201912,3548708,251,2.0,0.187007337808609,42
lstm,hiv_aids,1,origin_201912,3549805,240,16.0,15.784381866455078,42
lstm,hiv_aids,3,origin_201912,3549805,242,11.0,15.94038200378418,42
lstm,hiv_aids,6,origin_201912,3549805,245,3.0,16.04605484008789,42
lstm,hiv_aids,12,origin_201912,3549805,251,14.0,15.6495943069458,42
lstm,hiv_aids,1,origin_201912,3549904,240,14.0,10.13713264465332,42
lstm,hiv_aids,3,origin_201912,3549904,242,12.0,10.510147094726562,42
lstm,hiv_aids,6,origin_201912,3549904,245,11.0,10.395891189575195,42
lstm,hiv_aids,12,origin_201912,3549904,251,5.0,8.764915466308594,42
lstm,hiv_aids,1,origin_201912,3550308,240,151.0,135.07261657714844,42
lstm,hiv_aids,3,origin_201912,3550308,242,147.0,150.91017150878906,42
lstm,hiv_aids,6,origin_201912,3550308,245,72.0,159.51715087890625,42
lstm,hiv_aids,12,origin_201912,3550308,251,95.0,138.63821411132812,42
lstm,hiv_aids,1,origin_201912,3551009,240,2.0,0.16491323709487915,42
lstm,hiv_aids,3,origin_201912,3551009,242,1.0,0.3581291437149048,42
lstm,hiv_aids,6,origin_201912,3551009,245,1.0,0.6369447112083435,42
lstm,hiv_aids,12,origin_201912,3551009,251,1.0,0.563329815864563,42
lstm,hiv_aids,1,origin_201912,3552205,240,1.0,0.014081863686442375,42
lstm,hiv_aids,3,origin_201912,3552205,242,0.0,0.044181354343891144,42
lstm,hiv_aids,6,origin_201912,3552205,245,0.0,0.09555301070213318,42
lstm,hiv_aids,12,origin_201912,3552205,251,0.0,0.0719042494893074,42
lstm,hiv_aids,1,origin_201912,3554102,240,1.0,0.0003449243668001145,42
lstm,hiv_aids,3,origin_201912,3554102,242,0.0,7.947190169943497e-05,42
lstm,hiv_aids,6,origin_201912,3554102,245,0.0,2.8469785320339724e-06,42
lstm,hiv_aids,12,origin_201912,3554102,251,0.0,2.9442953746183775e-06,42
lstm,hiv_aids,1,origin_202012,3505708,252,0.0,0.09700324386358261,42
lstm,hiv_aids,3,origin_202012,3505708,254,0.0,0.09984440356492996,42
lstm,hiv_aids,6,origin_202012,3505708,257,3.0,0.13424037396907806,42
lstm,hiv_aids,12,origin_202012,3505708,263,1.0,0.09171351790428162,42
lstm,hiv_aids,1,origin_202012,3506003,252,3.0,5.789029121398926,42
lstm,hiv_aids,3,origin_202012,3506003,254,1.0,5.6791911125183105,42
lstm,hiv_aids,6,origin_202012,3506003,257,3.0,5.626253128051758,42
lstm,hiv_aids,12,origin_202012,3506003,263,3.0,5.971743106842041,42
lstm,hiv_aids,1,origin_202012,3509502,252,14.0,10.347909927368164,42
lstm,hiv_aids,3,origin_202012,3509502,254,6.0,9.675531387329102,42
lstm,hiv_aids,6,origin_202012,3509502,257,10.0,8.499082565307617,42
lstm,hiv_aids,12,origin_202012,3509502,263,3.0,7.340416431427002,42
lstm,hiv_aids,1,origin_202012,3510609,252,5.0,1.963855266571045,42
lstm,hiv_aids,3,origin_202012,3510609,254,4.0,2.324303150177002,42
lstm,hiv_aids,6,origin_202012,3510609,257,4.0,2.652228832244873,42
lstm,hiv_aids,12,origin_202012,3510609,263,3.0,2.7708709239959717,42
lstm,hiv_aids,1,origin_202012,3513801,252,1.0,2.3228087425231934,42
lstm,hiv_aids,3,origin_202012,3513801,254,0.0,2.1022439002990723,42
lstm,hiv_aids,6,origin_202012,3513801,257,2.0,1.971388339996338,42
lstm,hiv_aids,12,origin_202012,3513801,263,2.0,2.084105968475342,42
lstm,hiv_aids,1,origin_202012,3518701,252,0.0,0.4590252935886383,42
lstm,hiv_aids,3,origin_202012,3518701,254,1.0,0.4697973132133484,42
lstm,hiv_aids,6,origin_202012,3518701,257,0.0,0.49390605092048645,42
lstm,hiv_aids,12,origin_202012,3518701,263,2.0,0.47159647941589355,42
lstm,hiv_aids,1,origin_202012,3518800,252,4.0,6.488780975341797,42
lstm,hiv_aids,3,origin_202012,3518800,254,9.0,6.365431785583496,42
lstm,hiv_aids,6,origin_202012,3518800,257,7.0,6.204885482788086,42
lstm,hiv_aids,12,origin_202012,3518800,263,3.0,6.482809066772461,42
lstm,hiv_aids,1,origin_202012,3522208,252,1.0,0.006442923564463854,42
lstm,hiv_aids,3,origin_202012,3522208,254,1.0,0.011623512953519821,42
lstm,hiv_aids,6,origin_202012,3522208,257,0.0,0.06260363757610321,42
lstm,hiv_aids,12,origin_202012,3522208,263,0.0,0.2574293613433838,42
lstm,hiv_aids,1,origin_202012,3525904,252,3.0,5.725471496582031,42
lstm,hiv_aids,3,origin_202012,3525904,254,6.0,5.738616466522217,42
lstm,hiv_aids,6,origin_202012,3525904,257,3.0,5.512548923492432,42
lstm,hiv_aids,12,origin_202012,3525904,263,6.0,5.44948673248291,42
lstm,hiv_aids,1,origin_202012,3529401,252,4.0,0.005883270408958197,42
lstm,hiv_aids,3,origin_202012,3529401,254,4.0,0.011267314665019512,42
lstm,hiv_aids,6,origin_202012,3529401,257,2.0,0.013598570600152016,42
lstm,hiv_aids,12,origin_202012,3529401,263,1.0,0.28551554679870605,42
lstm,hiv_aids,1,origin_202012,3534401,252,2.0,3.192276954650879,42
lstm,hiv_aids,3,origin_202012,3534401,254,0.0,3.4545931816101074,42
lstm,hiv_aids,6,origin_202012,3534401,257,0.0,3.283883810043335,42
lstm,hiv_aids,12,origin_202012,3534401,263,6.0,2.851123571395874,42
lstm,hiv_aids,1,origin_202012,3536505,252,1.0,2.6867954147746786e-05,42
lstm,hiv_aids,3,origin_202012,3536505,254,1.0,2.103282167809084e-05,42
lstm,hiv_aids,6,origin_202012,3536505,257,0.0,6.3214515648724046e-06,42
lstm,hiv_aids,12,origin_202012,3536505,263,0.0,6.152666173875332e-06,42
lstm,hiv_aids,1,origin_202012,3541000,252,0.0,0.00858236663043499,42
lstm,hiv_aids,3,origin_202012,3541000,254,0.0,0.012689587660133839,42
lstm,hiv_aids,6,origin_202012,3541000,257,0.0,0.020791368559002876,42
lstm,hiv_aids,12,origin_202012,3541000,263,1.0,0.026666797697544098,42
lstm,hiv_aids,1,origin_202012,3543402,252,12.0,16.072832107543945,42
lstm,hiv_aids,3,origin_202012,3543402,254,12.0,15.550531387329102,42
lstm,hiv_aids,6,origin_202012,3543402,257,9.0,15.077594757080078,42
lstm,hiv_aids,12,origin_202012,3543402,263,16.0,15.981794357299805,42
lstm,hiv_aids,1,origin_202012,3547809,252,1.0,0.5353347659111023,42
lstm,hiv_aids,3,origin_202012,3547809,254,1.0,0.47396278381347656,42
