model,disease,horizon,origin,cd_mun,time_idx,y_true,y_pred,seed
lstm,sifilis,1,origin_201912,3505708,240,5.0,0.0019101619254797697,42
lstm,sifilis,3,origin_201912,3505708,242,2.0,0.002075019059702754,42
lstm,sifilis,6,origin_201912,3505708,245,5.0,0.002303075511008501,42
lstm,sifilis,12,origin_201912,3505708,251,5.0,0.0013458713656291366,42
lstm,sifilis,1,origin_201912,3506003,240,2.0,1.9438764411461307e-06,42
lstm,sifilis,3,origin_201912,3506003,242,0.0,2.030558562182705e-06,42
lstm,sifilis,6,origin_201912,3506003,245,2.0,1.8319043419978698e-06,42
lstm,sifilis,12,origin_201912,3506003,251,0.0,1.0862128192457021e-06,42
lstm,sifilis,1,origin_201912,3509502,240,3.0,4.0473313331604,42
lstm,sifilis,3,origin_201912,3509502,242,3.0,3.8559887409210205,42
lstm,sifilis,6,origin_201912,3509502,245,5.0,3.644141674041748,42
lstm,sifilis,12,origin_201912,3509502,251,2.0,4.314742088317871,42
lstm,sifilis,1,origin_201912,3510609,240,0.0,3.042962074279785,42
lstm,sifilis,3,origin_201912,3510609,242,4.0,2.910851001739502,42
lstm,sifilis,6,origin_201912,3510609,245,3.0,4.119320869445801,42
lstm,sifilis,12,origin_201912,3510609,251,1.0,4.88131046295166,42
lstm,sifilis,1,origin_201912,3513801,240,12.0,7.335803985595703,42
lstm,sifilis,3,origin_201912,3513801,242,11.0,7.668928623199463,42
lstm,sifilis,6,origin_201912,3513801,245,3.0,7.96370267868042,42
lstm,sifilis,12,origin_201912,3513801,251,3.0,7.741532325744629,42
lstm,sifilis,1,origin_201912,3518701,240,1.0,2.102847702190047e-06,42
lstm,sifilis,3,origin_201912,3518701,242,1.0,1.813814606066444e-06,42
lstm,sifilis,6,origin_201912,3518701,245,0.0,1.7593025631867931e-06,42
lstm,sifilis,12,origin_201912,3518701,251,0.0,1.0663306966307573e-06,42
lstm,sifilis,1,origin_201912,3518800,240,13.0,11.814485549926758,42
lstm,sifilis,3,origin_201912,3518800,242,6.0,11.989737510681152,42
lstm,sifilis,6,origin_201912,3518800,245,11.0,12.143768310546875,42
lstm,sifilis,12,origin_201912,3518800,251,14.0,12.05333423614502,42
lstm,sifilis,1,origin_201912,3522208,240,0.0,1.531819862066186e-06,42
lstm,sifilis,3,origin_201912,3522208,242,0.0,9.400702651873871e-07,42
lstm,sifilis,6,origin_201912,3522208,245,0.0,1.2106501117159496e-06,42
lstm,sifilis,12,origin_201912,3522208,251,0.0,4.357562374934787e-06,42
lstm,sifilis,1,origin_201912,3525904,240,6.0,6.209877028595656e-05,42
lstm,sifilis,3,origin_201912,3525904,242,6.0,7.973356696311384e-05,42
lstm,sifilis,6,origin_201912,3525904,245,2.0,0.00013033102732151747,42
lstm,sifilis,12,origin_201912,3525904,251,4.0,0.0001375266001559794,42
lstm,sifilis,1,origin_201912,3529401,240,0.0,6.920985118341605e-09,42
lstm,sifilis,3,origin_201912,3529401,242,1.0,3.828040551212553e-09,42
lstm,sifilis,6,origin_201912,3529401,245,1.0,3.6381193613266305e-09,42
lstm,sifilis,12,origin_201912,3529401,251,0.0,1.4549799587371126e-08,42
lstm,sifilis,1,origin_201912,3534401,240,10.0,11.778461456298828,42
lstm,sifilis,3,origin_201912,3534401,242,18.0,11.734338760375977,42
lstm,sifilis,6,origin_201912,3534401,245,15.0,11.668717384338379,42
lstm,sifilis,12,origin_201912,3534401,251,3.0,11.511015892028809,42
lstm,sifilis,1,origin_201912,3536505,240,1.0,2.676361354758683e-09,42
lstm,sifilis,3,origin_201912,3536505,242,0.0,3.3962204160076226e-09,42
lstm,sifilis,6,origin_201912,3536505,245,0.0,7.174209670779419e-09,42
lstm,sifilis,12,origin_201912,3536505,251,0.0,5.7156781529954515e-09,42
lstm,sifilis,1,origin_201912,3541000,240,5.0,4.193569183349609,42
lstm,sifilis,3,origin_201912,3541000,242,9.0,4.4704976081848145,42
