model,disease,horizon,origin,cd_mun,time_idx,y_true,y_pred,seed
lstm,tuberculose,1,origin_201912,3505708,240,0.0,1.1285436153411865,42
lstm,tuberculose,3,origin_201912,3505708,242,3.0,1.5070900917053223,42
lstm,tuberculose,6,origin_201912,3505708,245,1.0,1.898091197013855,42
lstm,tuberculose,12,origin_201912,3505708,251,3.0,2.1323680877685547,42
lstm,tuberculose,1,origin_201912,3506003,240,2.0,4.156894683837891,42
lstm,tuberculose,3,origin_201912,3506003,242,1.0,4.27250862121582,42
lstm,tuberculose,6,origin_201912,3506003,245,3.0,4.543415069580078,42
lstm,tuberculose,12,origin_201912,3506003,251,5.0,5.482646942138672,42
lstm,tuberculose,1,origin_201912,3509502,240,4.0,8.07553482055664,42
lstm,tuberculose,3,origin_201912,3509502,242,4.0,7.762166500091553,42
lstm,tuberculose,6,origin_201912,3509502,245,8.0,7.179553508758545,42
lstm,tuberculose,12,origin_201912,3509502,251,7.0,8.738731384277344,42
lstm,tuberculose,1,origin_201912,3510609,240,7.0,4.360827445983887,42
lstm,tuberculose,3,origin_201912,3510609,242,5.0,4.7067952156066895,42
lstm,tuberculose,6,origin_201912,3510609,245,2.0,5.1138200759887695,42
lstm,tuberculose,12,origin_201912,3510609,251,3.0,5.662450313568115,42
lstm,tuberculose,1,origin_201912,3513801,240,1.0,5.788259029388428,42
lstm,tuberculose,3,origin_201912,3513801,242,5.0,5.895781517028809,42
lstm,tuberculose,6,origin_201912,3513801,245,6.0,6.098814964294434,42
lstm,tuberculose,12,origin_201912,3513801,251,0.0,6.177636623382568,42
lstm,tuberculose,1,origin_201912,3518701,240,11.0,8.146886825561523,42
lstm,tuberculose,3,origin_201912,3518701,242,4.0,8.070056915283203,42
lstm,tuberculose,6,origin_201912,3518701,245,7.0,8.295125961303711,42
lstm,tuberculose,12,origin_201912,3518701,251,3.0,8.317331314086914,42
lstm,tuberculose,1,origin_201912,3518800,240,8.0,6.071181774139404,42
lstm,tuberculose,3,origin_201912,3518800,242,2.0,5.737276554107666,42
lstm,tuberculose,6,origin_201912,3518800,245,1.0,5.380018711090088,42
lstm,tuberculose,12,origin_201912,3518800,251,4.0,6.124434947967529,42
lstm,tuberculose,1,origin_201912,3522208,240,3.0,0.8721321821212769,42
lstm,tuberculose,3,origin_201912,3522208,242,1.0,0.734000027179718,42
lstm,tuberculose,6,origin_201912,3522208,245,0.0,0.7204709649085999,42
lstm,tuberculose,12,origin_201912,3522208,251,3.0,0.8663956522941589,42
lstm,tuberculose,1,origin_201912,3525904,240,0.0,2.413667678833008,42
lstm,tuberculose,3,origin_201912,3525904,242,1.0,2.6703708171844482,42
lstm,tuberculose,6,origin_201912,3525904,245,0.0,2.7904012203216553,42
lstm,tuberculose,12,origin_201912,3525904,251,0.0,2.8151490688323975,42
lstm,tuberculose,1,origin_201912,3529401,240,0.0,1.0671613216400146,42
lstm,tuberculose,3,origin_201912,3529401,242,2.0,1.2875264883041382,42
lstm,tuberculose,6,origin_201912,3529401,245,1.0,1.592137098312378,42
lstm,tuberculose,12,origin_201912,3529401,251,0.0,1.6938129663467407,42
lstm,tuberculose,1,origin_201912,3534401,240,5.0,5.3368659019470215,42
lstm,tuberculose,3,origin_201912,3534401,242,2.0,5.4412713050842285,42
lstm,tuberculose,6,origin_201912,3534401,245,4.0,5.463270664215088,42
lstm,tuberculose,12,origin_201912,3534401,251,5.0,6.420828342437744,42
lstm,tuberculose,1,origin_201912,3536505,240,0.0,0.8138831853866577,42
lstm,tuberculose,3,origin_201912,3536505,242,3.0,1.1844176054000854,42
lstm,tuberculose,6,origin_201912,3536505,245,1.0,1.4512498378753662,42
