model,disease,horizon,origin,cd_mun,time_idx,y_true,y_pred,seed
nhits,hanseniase,1,origin_201912,3505708,240,0.0,5.215294088110238e-16,42
nhits,hanseniase,3,origin_201912,3505708,242,0.0,4.743691554067462e-16,42
nhits,hanseniase,6,origin_201912,3505708,245,0.0,3.6994108384794404e-16,42
nhits,hanseniase,12,origin_201912,3505708,251,0.0,2.254376071534952e-16,42
nhits,hanseniase,1,origin_201912,3506003,240,2.0,0.18169786036014557,42
nhits,hanseniase,3,origin_201912,3506003,242,0.0,0.17233115434646606,42
nhits,hanseniase,6,origin_201912,3506003,245,1.0,0.11855646967887878,42
nhits,hanseniase,12,origin_201912,3506003,251,1.0,0.04974710941314697,42
nhits,hanseniase,1,origin_201912,3509502,240,0.0,0.011074108071625233,42
nhits,hanseniase,3,origin_201912,3509502,242,4.0,0.009047728963196278,42
nhits,hanseniase,6,origin_201912,3509502,245,3.0,0.005914099048823118,42
nhits,hanseniase,12,origin_201912,3509502,251,6.0,0.0026451684534549713,42
nhits,hanseniase,1,origin_201912,3510609,240,0.0,1.758086571992908e-19,42
nhits,hanseniase,3,origin_201912,3510609,242,0.0,1.5394085816144147e-19,42
nhits,hanseniase,6,origin_201912,3510609,245,0.0,1.168861781734834e-19,42
nhits,hanseniase,12,origin_201912,3510609,251,0.0,6.959705742269668e-20,42
nhits,hanseniase,1,origin_201912,3513801,240,0.0,2.873953735314825e-19,42
nhits,hanseniase,3,origin_201912,3513801,242,0.0,2.3435776757610707e-19,42
nhits,hanseniase,6,origin_201912,3513801,245,0.0,1.6633422093598791e-19,42
nhits,hanseniase,12,origin_201912,3513801,251,0.0,9.102966252311509e-20,42
nhits,hanseniase,1,origin_201912,3518701,240,0.0,3.199496859451756e-06,42
nhits,hanseniase,3,origin_201912,3518701,242,0.0,2.61895320363692e-06,42
nhits,hanseniase,6,origin_201912,3518701,245,3.0,1.7540805856697261e-06,42
nhits,hanseniase,12,origin_201912,3518701,251,2.0,8.312477461913659e-07,42
nhits,hanseniase,1,origin_201912,3518800,240,0.0,5.558827941272865e-19,42
nhits,hanseniase,3,origin_201912,3518800,242,3.0,5.344873022945079e-19,42
nhits,hanseniase,6,origin_201912,3518800,245,0.0,4.059639853721105e-19,42
nhits,hanseniase,12,origin_201912,3518800,251,1.0,2.1864554938884473e-19,42
nhits,hanseniase,1,origin_201912,3522208,240,0.0,1.5077912829101944e-20,42
nhits,hanseniase,3,origin_201912,3522208,242,0.0,1.4213806357016666e-20,42
nhits,hanseniase,6,origin_201912,3522208,245,0.0,1.240431403193354e-20,42
nhits,hanseniase,12,origin_201912,3522208,251,0.0,9.532510966211353e-21,42
nhits,hanseniase,1,origin_201912,3525904,240,0.0,9.294926634606905e-16,42
nhits,hanseniase,3,origin_201912,3525904,242,0.0,8.35955291551431e-16,42
nhits,hanseniase,6,origin_201912,3525904,245,0.0,5.968835773811345e-16,42
nhits,hanseniase,12,origin_201912,3525904,251,0.0,2.974579334525518e-16,42
nhits,hanseniase,1,origin_201912,3529401,240,0.0,2.8356052095014064e-15,42
nhits,hanseniase,3,origin_201912,3529401,242,0.0,2.7157735526292092e-15,42
nhits,hanseniase,6,origin_201912,3529401,245,0.0,2.327776346853984e-15,42
nhits,hanseniase,12,origin_201912,3529401,251,0.0,1.6829976091077103e-15,42
nhits,hanseniase,1,origin_201912,3534401,240,0.0,1.7592028605013544e-16,42
nhits,hanseniase,3,origin_201912,3534401,242,0.0,1.6512571140521644e-16,42
nhits,hanseniase,6,origin_201912,3534401,245,0.0,1.2989423623201087e-16,42
nhits,hanseniase,12,origin_201912,3534401,251,0.0,7.804390845922692e-17,42
nhits,hanseniase,1,origin_201912,3536505,240,0.0,7.184203248110444e-17,42
nhits,hanseniase,3,origin_201912,3536505,242,0.0,6.775142582868271e-17,42
nhits,hanseniase,6,origin_201912,3536505,245,0.0,5.77148067052134e-17,42
nhits,hanseniase,12,origin_201912,3536505,251,0.0,4.181215685848548e-17,42
nhits,hanseniase,1,origin_201912,3541000,240,0.0,6.524087228539955e-20,42
nhits,hanseniase,3,origin_201912,3541000,242,0.0,6.381276434487236e-20,42
nhits,hanseniase,6,origin_201912,3541000,245,0.0,5.359632122271527e-20,42
nhits,hanseniase,12,origin_201912,3541000,251,0.0,3.611970417065745e-20,42
nhits,hanseniase,1,origin_201912,3543402,240,1.0,1.2494946137237095e-17,42
nhits,hanseniase,3,origin_201912,3543402,242,2.0,9.92004952282589e-18,42
nhits,hanseniase,6,origin_201912,3543402,245,2.0,6.3185216793822585e-18,42
nhits,hanseniase,12,origin_201912,3543402,251,1.0,2.7431738955307772e-18,42
nhits,hanseniase,1,origin_201912,3547809,240,0.0,6.884397409845251e-20,42
nhits,hanseniase,3,origin_201912,3547809,242,0.0,6.604088518470904e-20,42
nhits,hanseniase,6,origin_201912,3547809,245,0.0,5.516428084790075e-20,42
nhits,hanseniase,12,origin_201912,3547809,251,0.0,3.740427365668682e-20,42
nhits,hanseniase,1,origin_201912,3548500,240,0.0,4.226203074439799e-21,42
nhits,hanseniase,3,origin_201912,3548500,242,0.0,4.119446692219308e-21,42
nhits,hanseniase,6,origin_201912,3548500,245,0.0,3.5480975334924464e-21,42
nhits,hanseniase,12,origin_201912,3548500,251,0.0,2.545247063677562e-21,42
nhits,hanseniase,1,origin_201912,3548708,240,0.0,4.064935974528204e-21,42
nhits,hanseniase,3,origin_201912,3548708,242,1.0,3.889723934270414e-21,42
nhits,hanseniase,6,origin_201912,3548708,245,0.0,3.2423331281190608e-21,42
nhits,hanseniase,12,origin_201912,3548708,251,0.0,2.194240564000214e-21,42
nhits,hanseniase,1,origin_201912,3549805,240,0.0,3.084517461285328e-17,42
nhits,hanseniase,3,origin_201912,3549805,242,0.0,2.6669336924475304e-17,42
nhits,hanseniase,6,origin_201912,3549805,245,0.0,1.8546317430086165e-17,42
nhits,hanseniase,12,origin_201912,3549805,251,0.0,9.059396219605291e-18,42
nhits,hanseniase,1,origin_201912,3549904,240,0.0,1.8053877240210808e-21,42
nhits,hanseniase,3,origin_201912,3549904,242,0.0,1.6719797076721338e-21,42
nhits,hanseniase,6,origin_201912,3549904,245,0.0,1.33485534239115e-21,42
nhits,hanseniase,12,origin_201912,3549904,251,0.0,8.438665479331646e-22,42
nhits,hanseniase,1,origin_201912,3550308,240,9.0,1.237587307446978e-18,42
nhits,hanseniase,3,origin_201912,3550308,242,1.0,1.2142660874493877e-18,42
nhits,hanseniase,6,origin_201912,3550308,245,0.0,1.0906015518969444e-18,42
nhits,hanseniase,12,origin_201912,3550308,251,2.0,8.593274877950408e-19,42
nhits,hanseniase,1,origin_201912,3551009,240,1.0,1.6360926504721376e-20,42
nhits,hanseniase,3,origin_201912,3551009,242,0.0,1.5996991269005053e-20,42
nhits,hanseniase,6,origin_201912,3551009,245,0.0,1.3474619505504668e-20,42
nhits,hanseniase,12,origin_201912,3551009,251,0.0,9.1449025322221e-21,42
nhits,hanseniase,1,origin_201912,3552205,240,0.0,3.671692534174647e-20,42
nhits,hanseniase,3,origin_201912,3552205,242,0.0,3.3287728558959986e-20,42
nhits,hanseniase,6,origin_201912,3552205,245,0.0,2.6149174412911562e-20,42
nhits,hanseniase,12,origin_201912,3552205,251,0.0,1.6270306606794205e-20,42
nhits,hanseniase,1,origin_201912,3554102,240,0.0,4.585477654472925e-06,42
nhits,hanseniase,3,origin_201912,3554102,242,0.0,4.259828074282268e-06,42
nhits,hanseniase,6,origin_201912,3554102,245,1.0,3.386006710570655e-06,42
nhits,hanseniase,12,origin_201912,3554102,251,0.0,2.110379455189104e-06,42
nhits,hanseniase,1,origin_202012,3505708,252,0.0,1.2388537623238274e-17,42
nhits,hanseniase,3,origin_202012,3505708,254,0.0,1.2297241699030796e-17,42
nhits,hanseniase,6,origin_202012,3505708,257,0.0,9.468631419956714e-18,42
nhits,hanseniase,12,origin_202012,3505708,263,0.0,6.489442836534703e-18,42
nhits,hanseniase,1,origin_202012,3506003,252,2.0,0.09460603445768356,42
nhits,hanseniase,3,origin_202012,3506003,254,2.0,0.09196120500564575,42
nhits,hanseniase,6,origin_202012,3506003,257,0.0,0.05131952464580536,42
nhits,hanseniase,12,origin_202012,3506003,263,0.0,0.021784693002700806,42
nhits,hanseniase,1,origin_202012,3509502,252,0.0,0.3268014192581177,42
nhits,hanseniase,3,origin_202012,3509502,254,3.0,0.2957133948802948,42
nhits,hanseniase,6,origin_202012,3509502,257,4.0,0.201939657330513,42
nhits,hanseniase,12,origin_202012,3509502,263,1.0,0.11137732118368149,42
nhits,hanseniase,1,origin_202012,3510609,252,0.0,2.0764077987846988e-17,42
nhits,hanseniase,3,origin_202012,3510609,254,0.0,2.0552410740900794e-17,42
nhits,hanseniase,6,origin_202012,3510609,257,0.0,1.5880701436354432e-17,42
nhits,hanseniase,12,origin_202012,3510609,263,0.0,1.0930427480002262e-17,42
nhits,hanseniase,1,origin_202012,3513801,252,0.0,8.33756946577008e-18,42
nhits,hanseniase,3,origin_202012,3513801,254,0.0,8.263382118172037e-18,42
nhits,hanseniase,6,origin_202012,3513801,257,0.0,6.3566224455770635e-18,42
nhits,hanseniase,12,origin_202012,3513801,263,0.0,4.347856927793582e-18,42
nhits,hanseniase,1,origin_202012,3518701,252,0.0,3.0753628379898146e-05,42
nhits,hanseniase,3,origin_202012,3518701,254,0.0,2.937871431640815e-05,42
nhits,hanseniase,6,origin_202012,3518701,257,0.0,2.0037463400512934e-05,42
nhits,hanseniase,12,origin_202012,3518701,263,1.0,1.1501570952532347e-05,42
nhits,hanseniase,1,origin_202012,3518800,252,0.0,0.0003547767992131412,42
nhits,hanseniase,3,origin_202012,3518800,254,0.0,0.0003539685276336968,42
nhits,hanseniase,6,origin_202012,3518800,257,1.0,0.00023936451179906726,42
nhits,hanseniase,12,origin_202012,3518800,263,1.0,0.00013654585927724838,42
nhits,hanseniase,1,origin_202012,3522208,252,0.0,3.654524643545414e-17,42
nhits,hanseniase,3,origin_202012,3522208,254,0.0,3.622062105841893e-17,42
nhits,hanseniase,6,origin_202012,3522208,257,0.0,3.143062988936116e-17,42
nhits,hanseniase,12,origin_202012,3522208,263,0.0,2.5573400367820122e-17,42
nhits,hanseniase,1,origin_202012,3525904,252,0.0,1.3853191592300192e-17,42
nhits,hanseniase,3,origin_202012,3525904,254,0.0,1.3766846344058845e-17,42
nhits,hanseniase,6,origin_202012,3525904,257,0.0,9.304922450565119e-18,42
nhits,hanseniase,12,origin_202012,3525904,263,0.0,5.2936200850106806e-18,42
nhits,hanseniase,1,origin_202012,3529401,252,0.0,1.9282064754751243e-21,42
nhits,hanseniase,3,origin_202012,3529401,254,0.0,1.9222136569503413e-21,42
nhits,hanseniase,6,origin_202012,3529401,257,0.0,1.5891639033952306e-21,42
nhits,hanseniase,12,origin_202012,3529401,263,0.0,1.2080409410324024e-21,42
nhits,hanseniase,1,origin_202012,3534401,252,0.0,1.4145564370071348e-17,42
nhits,hanseniase,3,origin_202012,3534401,254,0.0,1.408321480421955e-17,42
nhits,hanseniase,6,origin_202012,3534401,257,0.0,1.0505315374973497e-17,42
nhits,hanseniase,12,origin_202012,3534401,263,0.0,6.888056210640332e-18,42
nhits,hanseniase,1,origin_202012,3536505,252,0.0,4.6111428092229843e-17,42
nhits,hanseniase,3,origin_202012,3536505,254,0.0,4.54734898602167e-17,42
nhits,hanseniase,6,origin_202012,3536505,257,0.0,3.8272948802391596e-17,42
nhits,hanseniase,12,origin_202012,3536505,263,0.0,2.9780067077627947e-17,42
nhits,hanseniase,1,origin_202012,3541000,252,0.0,6.485260611357635e-18,42
