model,disease,horizon,origin,cd_mun,time_idx,y_true,y_pred,seed
nhits,hepatite,1,origin_201912,3505708,240,0.0,3.740629120189963e-19,42
nhits,hepatite,3,origin_201912,3505708,242,0.0,2.82909495521425e-19,42
nhits,hepatite,6,origin_201912,3505708,245,1.0,9.216419889436839e-20,42
nhits,hepatite,12,origin_201912,3505708,251,2.0,7.815666908702e-21,42
nhits,hepatite,1,origin_201912,3506003,240,4.0,0.01286769937723875,42
nhits,hepatite,3,origin_201912,3506003,242,1.0,0.009449164383113384,42
nhits,hepatite,6,origin_201912,3506003,245,0.0,0.0028998854104429483,42
nhits,hepatite,12,origin_201912,3506003,251,2.0,0.0002230430400231853,42
nhits,hepatite,1,origin_201912,3509502,240,0.0,0.0551627054810524,42
nhits,hepatite,3,origin_201912,3509502,242,2.0,0.04388134554028511,42
nhits,hepatite,6,origin_201912,3509502,245,0.0,0.01959080994129181,42
nhits,hepatite,12,origin_201912,3509502,251,2.0,0.003320308169350028,42
nhits,hepatite,1,origin_201912,3510609,240,1.0,2.7639283740876155e-19,42
nhits,hepatite,3,origin_201912,3510609,242,0.0,1.9318455531824748e-19,42
nhits,hepatite,6,origin_201912,3510609,245,1.0,5.649659739608518e-20,42
nhits,hepatite,12,origin_201912,3510609,251,0.0,3.7718474658073396e-21,42
nhits,hepatite,1,origin_201912,3513801,240,0.0,4.368069913241928e-19,42
nhits,hepatite,3,origin_201912,3513801,242,0.0,2.779258874271579e-19,42
nhits,hepatite,6,origin_201912,3513801,245,0.0,7.666636265742507e-20,42
nhits,hepatite,12,origin_201912,3513801,251,0.0,4.382636337646788e-21,42
nhits,hepatite,1,origin_201912,3518701,240,0.0,4.1307176743001966e-19,42
nhits,hepatite,3,origin_201912,3518701,242,0.0,2.0710581115705887e-19,42
nhits,hepatite,6,origin_201912,3518701,245,0.0,3.906782434141046e-20,42
nhits,hepatite,12,origin_201912,3518701,251,0.0,9.738667356586547e-22,42
nhits,hepatite,1,origin_201912,3518800,240,0.0,1.5249020308687366e-19,42
nhits,hepatite,3,origin_201912,3518800,242,0.0,1.1516055016872707e-19,42
nhits,hepatite,6,origin_201912,3518800,245,0.0,3.612163318169532e-20,42
nhits,hepatite,12,origin_201912,3518800,251,0.0,2.9282096749149146e-21,42
nhits,hepatite,1,origin_201912,3522208,240,0.0,3.712269749876465e-19,42
nhits,hepatite,3,origin_201912,3522208,242,0.0,2.33821082454925e-19,42
nhits,hepatite,6,origin_201912,3522208,245,0.0,6.310349574369935e-20,42
nhits,hepatite,12,origin_201912,3522208,251,0.0,3.445591761021227e-21,42
nhits,hepatite,1,origin_201912,3525904,240,0.0,1.1819235322937174e-18,42
nhits,hepatite,3,origin_201912,3525904,242,0.0,9.600983006302189e-19,42
nhits,hepatite,6,origin_201912,3525904,245,0.0,3.5589187361152593e-19,42
nhits,hepatite,12,origin_201912,3525904,251,0.0,4.128872673793291e-20,42
nhits,hepatite,1,origin_201912,3529401,240,0.0,3.305895043480828e-19,42
nhits,hepatite,3,origin_201912,3529401,242,0.0,2.230379301402896e-19,42
nhits,hepatite,6,origin_201912,3529401,245,0.0,6.547272842615875e-20,42
nhits,hepatite,12,origin_201912,3529401,251,0.0,4.36733268852099e-21,42
nhits,hepatite,1,origin_201912,3534401,240,1.0,0.0013061355566605926,42
nhits,hepatite,3,origin_201912,3534401,242,0.0,0.0007956696208566427,42
nhits,hepatite,6,origin_201912,3534401,245,0.0,0.00018397506210021675,42
nhits,hepatite,12,origin_201912,3534401,251,1.0,7.269845809787512e-06,42
nhits,hepatite,1,origin_201912,3536505,240,0.0,1.465132244892097e-17,42
nhits,hepatite,3,origin_201912,3536505,242,0.0,1.0359978086986705e-17,42
nhits,hepatite,6,origin_201912,3536505,245,0.0,4.229903040395052e-18,42
nhits,hepatite,12,origin_201912,3536505,251,0.0,5.821869308113196e-19,42
nhits,hepatite,1,origin_201912,3541000,240,0.0,6.86897656602876e-19,42
nhits,hepatite,3,origin_201912,3541000,242,0.0,3.327733387134052e-19,42
nhits,hepatite,6,origin_201912,3541000,245,0.0,6.172217520656968e-20,42
nhits,hepatite,12,origin_201912,3541000,251,0.0,1.461417207286031e-21,42
nhits,hepatite,1,origin_201912,3543402,240,0.0,1.6424475495386072e-18,42
nhits,hepatite,3,origin_201912,3543402,242,0.0,1.599627511154034e-18,42
nhits,hepatite,6,origin_201912,3543402,245,0.0,6.452388247019625e-19,42
nhits,hepatite,12,origin_201912,3543402,251,0.0,9.951422854948195e-20,42
nhits,hepatite,1,origin_201912,3547809,240,0.0,2.1393370889989248e-19,42
nhits,hepatite,3,origin_201912,3547809,242,0.0,1.2574738925954892e-19,42
nhits,hepatite,6,origin_201912,3547809,245,0.0,3.039983424538423e-20,42
nhits,hepatite,12,origin_201912,3547809,251,0.0,1.2733635717202997e-21,42
nhits,hepatite,1,origin_201912,3548500,240,0.0,0.0019895874429494143,42
nhits,hepatite,3,origin_201912,3548500,242,1.0,0.0004899789928458631,42
nhits,hepatite,6,origin_201912,3548500,245,0.0,3.905629273504019e-05,42
nhits,hepatite,12,origin_201912,3548500,251,1.0,1.2389403991619474e-07,42
nhits,hepatite,1,origin_201912,3548708,240,0.0,1.1920883671004695e-19,42
nhits,hepatite,3,origin_201912,3548708,242,0.0,7.373044663188149e-20,42
nhits,hepatite,6,origin_201912,3548708,245,1.0,1.8657982831974126e-20,42
nhits,hepatite,12,origin_201912,3548708,251,0.0,8.906583437082155e-22,42
nhits,hepatite,1,origin_201912,3549805,240,0.0,1.8561949489302192e-18,42
nhits,hepatite,3,origin_201912,3549805,242,0.0,1.5043514006341044e-18,42
nhits,hepatite,6,origin_201912,3549805,245,0.0,4.692140148688539e-19,42
nhits,hepatite,12,origin_201912,3549805,251,0.0,3.997842741120917e-20,42
nhits,hepatite,1,origin_201912,3549904,240,0.0,4.59985936256424e-19,42
nhits,hepatite,3,origin_201912,3549904,242,0.0,2.900674254039702e-19,42
nhits,hepatite,6,origin_201912,3549904,245,0.0,7.266216225781486e-20,42
nhits,hepatite,12,origin_201912,3549904,251,0.0,3.404449219069517e-21,42
