model,disease,horizon,origin,cd_mun,time_idx,y_true,y_pred,seed
nhits,hiv_aids,1,origin_201912,3505708,240,1.0,0.0010199918178841472,42
nhits,hiv_aids,3,origin_201912,3505708,242,0.0,0.0012842129217460752,42
nhits,hiv_aids,6,origin_201912,3505708,245,0.0,0.00032865238608792424,42
nhits,hiv_aids,12,origin_201912,3505708,251,0.0,3.5568584280554205e-05,42
nhits,hiv_aids,1,origin_201912,3506003,240,5.0,3.116943359375,42
nhits,hiv_aids,3,origin_201912,3506003,242,5.0,3.347904682159424,42
nhits,hiv_aids,6,origin_201912,3506003,245,2.0,2.6500911712646484,42
nhits,hiv_aids,12,origin_201912,3506003,251,2.0,1.5245015621185303,42
nhits,hiv_aids,1,origin_201912,3509502,240,16.0,6.416731834411621,42
nhits,hiv_aids,3,origin_201912,3509502,242,9.0,7.171480178833008,42
nhits,hiv_aids,6,origin_201912,3509502,245,9.0,6.550114154815674,42
nhits,hiv_aids,12,origin_201912,3509502,251,15.0,4.626539707183838,42
nhits,hiv_aids,1,origin_201912,3510609,240,8.0,3.953481674194336,42
nhits,hiv_aids,3,origin_201912,3510609,242,2.0,4.037900447845459,42
nhits,hiv_aids,6,origin_201912,3510609,245,0.0,3.4483730792999268,42
nhits,hiv_aids,12,origin_201912,3510609,251,0.0,2.523528814315796,42
nhits,hiv_aids,1,origin_201912,3513801,240,0.0,9.188250246438515e-16,42
nhits,hiv_aids,3,origin_201912,3513801,242,3.0,8.545463412546828e-16,42
nhits,hiv_aids,6,origin_201912,3513801,245,1.0,1.4731760072489138e-15,42
nhits,hiv_aids,12,origin_201912,3513801,251,1.0,1.4590989549402578e-15,42
nhits,hiv_aids,1,origin_201912,3518701,240,2.0,0.00514187989756465,42
nhits,hiv_aids,3,origin_201912,3518701,242,3.0,0.006998363882303238,42
nhits,hiv_aids,6,origin_201912,3518701,245,3.0,0.003249641740694642,42
nhits,hiv_aids,12,origin_201912,3518701,251,0.0,0.0008410289301536977,42
nhits,hiv_aids,1,origin_201912,3518800,240,5.0,8.694967269897461,42
nhits,hiv_aids,3,origin_201912,3518800,242,5.0,8.814956665039062,42
nhits,hiv_aids,6,origin_201912,3518800,245,0.0,8.52980899810791,42
nhits,hiv_aids,12,origin_201912,3518800,251,4.0,7.999752521514893,42
nhits,hiv_aids,1,origin_201912,3522208,240,4.0,0.00016982397937681526,42
nhits,hiv_aids,3,origin_201912,3522208,242,0.0,0.00022092394647188485,42
nhits,hiv_aids,6,origin_201912,3522208,245,0.0,4.6717927034478635e-05,42
nhits,hiv_aids,12,origin_201912,3522208,251,0.0,3.6181813811708707e-06,42
nhits,hiv_aids,1,origin_201912,3525904,240,4.0,6.453060150146484,42
nhits,hiv_aids,3,origin_201912,3525904,242,1.0,6.566113471984863,42
nhits,hiv_aids,6,origin_201912,3525904,245,4.0,6.172571659088135,42
nhits,hiv_aids,12,origin_201912,3525904,251,4.0,5.502749919891357,42
nhits,hiv_aids,1,origin_201912,3529401,240,1.0,0.010130329057574272,42
nhits,hiv_aids,3,origin_201912,3529401,242,0.0,0.012258687987923622,42
nhits,hiv_aids,6,origin_201912,3529401,245,0.0,0.005414551589637995,42
nhits,hiv_aids,12,origin_201912,3529401,251,1.0,0.001377092907205224,42
nhits,hiv_aids,1,origin_201912,3534401,240,5.0,3.3498990535736084,42
