model,disease,horizon,origin,cd_mun,time_idx,y_true,y_pred,seed
nhits,sifilis,1,origin_201912,3505708,240,5.0,1.9622728824615479,42
nhits,sifilis,3,origin_201912,3505708,242,2.0,2.0967023372650146,42
nhits,sifilis,6,origin_201912,3505708,245,5.0,2.1661152839660645,42
nhits,sifilis,12,origin_201912,3505708,251,5.0,2.2843191623687744,42
nhits,sifilis,1,origin_201912,3506003,240,2.0,0.23528030514717102,42
nhits,sifilis,3,origin_201912,3506003,242,0.0,0.2637324929237366,42
nhits,sifilis,6,origin_201912,3506003,245,2.0,0.27933448553085327,42
nhits,sifilis,12,origin_201912,3506003,251,0.0,0.3073935806751251,42
nhits,sifilis,1,origin_201912,3509502,240,3.0,4.070926666259766,42
nhits,sifilis,3,origin_201912,3509502,242,3.0,4.2191596031188965,42
nhits,sifilis,6,origin_201912,3509502,245,5.0,4.294715404510498,42
nhits,sifilis,12,origin_201912,3509502,251,2.0,4.422031879425049,42
nhits,sifilis,1,origin_201912,3510609,240,0.0,1.4217898845672607,42
nhits,sifilis,3,origin_201912,3510609,242,4.0,1.5440802574157715,42
nhits,sifilis,6,origin_201912,3510609,245,3.0,1.607944369316101,42
nhits,sifilis,12,origin_201912,3510609,251,1.0,1.717729091644287,42
nhits,sifilis,1,origin_201912,3513801,240,12.0,8.171466827392578,42
nhits,sifilis,3,origin_201912,3513801,242,11.0,8.314082145690918,42
nhits,sifilis,6,origin_201912,3513801,245,3.0,8.386652946472168,42
nhits,sifilis,12,origin_201912,3513801,251,3.0,8.508771896362305,42
nhits,sifilis,1,origin_201912,3518701,240,1.0,9.592222571797038e-10,42
nhits,sifilis,3,origin_201912,3518701,242,1.0,1.0919239956663773e-09,42
nhits,sifilis,6,origin_201912,3518701,245,0.0,1.1663424670516065e-09,42
nhits,sifilis,12,origin_201912,3518701,251,0.0,1.3031955514719584e-09,42
nhits,sifilis,1,origin_201912,3518800,240,13.0,12.123488426208496,42
nhits,sifilis,3,origin_201912,3518800,242,6.0,12.195981979370117,42
nhits,sifilis,6,origin_201912,3518800,245,11.0,12.232869148254395,42
nhits,sifilis,12,origin_201912,3518800,251,14.0,12.294940948486328,42
nhits,sifilis,1,origin_201912,3522208,240,0.0,1.6629311816451775e-10,42
nhits,sifilis,3,origin_201912,3522208,242,0.0,1.9205166623681436e-10,42
nhits,sifilis,6,origin_201912,3522208,245,0.0,2.0665297251198922e-10,42
nhits,sifilis,12,origin_201912,3522208,251,0.0,2.337722238010542e-10,42
nhits,sifilis,1,origin_201912,3525904,240,6.0,0.5357189178466797,42
nhits,sifilis,3,origin_201912,3525904,242,6.0,0.5986160635948181,42
nhits,sifilis,6,origin_201912,3525904,245,2.0,0.6326231956481934,42
nhits,sifilis,12,origin_201912,3525904,251,4.0,0.692927896976471,42
nhits,sifilis,1,origin_201912,3529401,240,0.0,5.68369440401284e-09,42
nhits,sifilis,3,origin_201912,3529401,242,1.0,6.4462581939039865e-09,42
nhits,sifilis,6,origin_201912,3529401,245,1.0,6.872733937512976e-09,42
nhits,sifilis,12,origin_201912,3529401,251,0.0,7.654989531147294e-09,42
nhits,sifilis,1,origin_201912,3534401,240,10.0,13.149444580078125,42
nhits,sifilis,3,origin_201912,3534401,242,18.0,13.299257278442383,42
nhits,sifilis,6,origin_201912,3534401,245,15.0,13.37548828125,42
nhits,sifilis,12,origin_201912,3534401,251,3.0,13.503764152526855,42
nhits,sifilis,1,origin_201912,3536505,240,1.0,1.251606977781261e-11,42
nhits,sifilis,3,origin_201912,3536505,242,0.0,1.3920749969420498e-11,42
nhits,sifilis,6,origin_201912,3536505,245,0.0,1.4694915423385524e-11,42
nhits,sifilis,12,origin_201912,3536505,251,0.0,1.6096075861060655e-11,42
nhits,sifilis,1,origin_201912,3541000,240,5.0,8.472626686096191,42
nhits,sifilis,3,origin_201912,3541000,242,9.0,8.638860702514648,42
nhits,sifilis,6,origin_201912,3541000,245,8.0,8.723448753356934,42
nhits,sifilis,12,origin_201912,3541000,251,12.0,8.865791320800781,42
nhits,sifilis,1,origin_201912,3543402,240,2.0,4.730051040649414,42
nhits,sifilis,3,origin_201912,3543402,242,0.0,4.891298770904541,42
nhits,sifilis,6,origin_201912,3543402,245,3.0,4.97342586517334,42
nhits,sifilis,12,origin_201912,3543402,251,2.0,5.111728191375732,42
nhits,sifilis,1,origin_201912,3547809,240,9.0,6.334820747375488,42
nhits,sifilis,3,origin_201912,3547809,242,5.0,6.498262882232666,42
nhits,sifilis,6,origin_201912,3547809,245,11.0,6.581443786621094,42
nhits,sifilis,12,origin_201912,3547809,251,2.0,6.721437454223633,42
nhits,sifilis,1,origin_201912,3548500,240,6.0,11.969636917114258,42
