model,disease,horizon,origin,cd_mun,time_idx,y_true,y_pred,seed
nhits,tuberculose,1,origin_201912,3505708,240,0.0,0.5665871500968933,42
nhits,tuberculose,3,origin_201912,3505708,242,3.0,0.53252112865448,42
nhits,tuberculose,6,origin_201912,3505708,245,1.0,0.5789879560470581,42
nhits,tuberculose,12,origin_201912,3505708,251,3.0,0.6902006268501282,42
nhits,tuberculose,1,origin_201912,3506003,240,2.0,3.549600601196289,42
nhits,tuberculose,3,origin_201912,3506003,242,1.0,3.5174267292022705,42
nhits,tuberculose,6,origin_201912,3506003,245,3.0,3.6089916229248047,42
nhits,tuberculose,12,origin_201912,3506003,251,5.0,3.807000160217285,42
nhits,tuberculose,1,origin_201912,3509502,240,4.0,8.82423210144043,42
nhits,tuberculose,3,origin_201912,3509502,242,4.0,8.844046592712402,42
nhits,tuberculose,6,origin_201912,3509502,245,8.0,9.137834548950195,42
nhits,tuberculose,12,origin_201912,3509502,251,7.0,9.515552520751953,42
nhits,tuberculose,1,origin_201912,3510609,240,7.0,4.298382759094238,42
nhits,tuberculose,3,origin_201912,3510609,242,5.0,4.299976825714111,42
nhits,tuberculose,6,origin_201912,3510609,245,2.0,4.5346455574035645,42
nhits,tuberculose,12,origin_201912,3510609,251,3.0,4.865013599395752,42
nhits,tuberculose,1,origin_201912,3513801,240,1.0,4.979084491729736,42
nhits,tuberculose,3,origin_201912,3513801,242,5.0,4.841418266296387,42
nhits,tuberculose,6,origin_201912,3513801,245,6.0,4.697222709655762,42
nhits,tuberculose,12,origin_201912,3513801,251,0.0,4.660428047180176,42
nhits,tuberculose,1,origin_201912,3518701,240,11.0,3.4207875728607178,42
nhits,tuberculose,3,origin_201912,3518701,242,4.0,3.298494338989258,42
nhits,tuberculose,6,origin_201912,3518701,245,7.0,3.1946702003479004,42
nhits,tuberculose,12,origin_201912,3518701,251,3.0,3.2005343437194824,42
nhits,tuberculose,1,origin_201912,3518800,240,8.0,5.553496837615967,42
nhits,tuberculose,3,origin_201912,3518800,242,2.0,5.578479290008545,42
nhits,tuberculose,6,origin_201912,3518800,245,1.0,5.846733093261719,42
nhits,tuberculose,12,origin_201912,3518800,251,4.0,6.165164947509766,42
nhits,tuberculose,1,origin_201912,3522208,240,3.0,0.03810984641313553,42
nhits,tuberculose,3,origin_201912,3522208,242,1.0,0.03638755530118942,42
nhits,tuberculose,6,origin_201912,3522208,245,0.0,0.04375080019235611,42
nhits,tuberculose,12,origin_201912,3522208,251,3.0,0.05969570577144623,42
nhits,tuberculose,1,origin_201912,3525904,240,0.0,0.49930280447006226,42
nhits,tuberculose,3,origin_201912,3525904,242,1.0,0.5103989839553833,42
nhits,tuberculose,6,origin_201912,3525904,245,0.0,0.6734423041343689,42
nhits,tuberculose,12,origin_201912,3525904,251,0.0,0.9224686622619629,42
nhits,tuberculose,1,origin_201912,3529401,240,0.0,5.604040706285547e-15,42
nhits,tuberculose,3,origin_201912,3529401,242,2.0,5.220870529518487e-15,42
nhits,tuberculose,6,origin_201912,3529401,245,1.0,5.8204372955182864e-15,42
nhits,tuberculose,12,origin_201912,3529401,251,0.0,7.494945622791259e-15,42
nhits,tuberculose,1,origin_201912,3534401,240,5.0,4.546544075012207,42
