model,disease,horizon,origin,cd_mun,time_idx,y_true,y_pred,seed
tft,hanseniase,1,origin_201912,3505708,240,0.0,6.853691302284546e-19,42
tft,hanseniase,3,origin_201912,3505708,242,0.0,4.7438811361090405e-20,42
tft,hanseniase,6,origin_201912,3505708,245,0.0,5.453678680509685e-20,42
tft,hanseniase,12,origin_201912,3505708,251,0.0,1.3701449393131614e-19,42
tft,hanseniase,1,origin_201912,3506003,240,2.0,0.0016498086042702198,42
tft,hanseniase,3,origin_201912,3506003,242,0.0,0.0022001746110618114,42
tft,hanseniase,6,origin_201912,3506003,245,1.0,0.0040517402812838554,42
tft,hanseniase,12,origin_201912,3506003,251,1.0,0.007956703193485737,42
tft,hanseniase,1,origin_201912,3509502,240,0.0,0.06839452683925629,42
tft,hanseniase,3,origin_201912,3509502,242,4.0,0.0694480910897255,42
tft,hanseniase,6,origin_201912,3509502,245,3.0,0.1283903867006302,42
tft,hanseniase,12,origin_201912,3509502,251,6.0,0.0340445376932621,42
tft,hanseniase,1,origin_201912,3510609,240,0.0,1.294579348548361e-16,42
tft,hanseniase,3,origin_201912,3510609,242,0.0,4.0220658051211007e-16,42
tft,hanseniase,6,origin_201912,3510609,245,0.0,2.4775648062134873e-15,42
tft,hanseniase,12,origin_201912,3510609,251,0.0,5.8190833133521004e-15,42
tft,hanseniase,1,origin_201912,3513801,240,0.0,1.0730761961999722e-16,42
tft,hanseniase,3,origin_201912,3513801,242,0.0,5.296170911496447e-16,42
tft,hanseniase,6,origin_201912,3513801,245,0.0,1.0260875596117421e-15,42
tft,hanseniase,12,origin_201912,3513801,251,0.0,1.1117232258538623e-15,42
tft,hanseniase,1,origin_201912,3518701,240,0.0,1.0613582929197563e-11,42
tft,hanseniase,3,origin_201912,3518701,242,0.0,5.944421170578362e-12,42
tft,hanseniase,6,origin_201912,3518701,245,3.0,2.7541287393045844e-12,42
tft,hanseniase,12,origin_201912,3518701,251,2.0,4.411809893106744e-12,42
tft,hanseniase,1,origin_201912,3518800,240,0.0,0.00141831673681736,42
tft,hanseniase,3,origin_201912,3518800,242,3.0,3.680860027088784e-05,42
tft,hanseniase,6,origin_201912,3518800,245,0.0,0.00012472117668949068,42
tft,hanseniase,12,origin_201912,3518800,251,1.0,5.686559234163724e-05,42
