model,disease,horizon,origin,cd_mun,time_idx,y_true,y_pred,seed
tft,sifilis,1,origin_201912,3505708,240,5.0,1.1261951923370361,42
tft,sifilis,3,origin_201912,3505708,242,2.0,0.9984910488128662,42
tft,sifilis,6,origin_201912,3505708,245,5.0,0.7054248452186584,42
tft,sifilis,12,origin_201912,3505708,251,5.0,0.546513557434082,42
tft,sifilis,1,origin_201912,3506003,240,2.0,0.022539084777235985,42
tft,sifilis,3,origin_201912,3506003,242,0.0,0.025528449565172195,42
tft,sifilis,6,origin_201912,3506003,245,2.0,0.022884726524353027,42
tft,sifilis,12,origin_201912,3506003,251,0.0,0.019573412835597992,42
tft,sifilis,1,origin_201912,3509502,240,3.0,3.6278467178344727,42
tft,sifilis,3,origin_201912,3509502,242,3.0,4.277471542358398,42
tft,sifilis,6,origin_201912,3509502,245,5.0,4.018039226531982,42
tft,sifilis,12,origin_201912,3509502,251,2.0,4.088875770568848,42
tft,sifilis,1,origin_201912,3510609,240,0.0,1.2041069269180298,42
tft,sifilis,3,origin_201912,3510609,242,4.0,1.827398419380188,42
tft,sifilis,6,origin_201912,3510609,245,3.0,1.9274916648864746,42
tft,sifilis,12,origin_201912,3510609,251,1.0,2.4653398990631104,42
tft,sifilis,1,origin_201912,3513801,240,12.0,6.053574562072754,42
tft,sifilis,3,origin_201912,3513801,242,11.0,6.180583477020264,42
tft,sifilis,6,origin_201912,3513801,245,3.0,6.114620685577393,42
tft,sifilis,12,origin_201912,3513801,251,3.0,5.902895450592041,42
tft,sifilis,1,origin_201912,3518701,240,1.0,0.026763780042529106,42
tft,sifilis,3,origin_201912,3518701,242,1.0,0.02981937676668167,42
tft,sifilis,6,origin_201912,3518701,245,0.0,0.02662496082484722,42
tft,sifilis,12,origin_201912,3518701,251,0.0,0.022560007870197296,42
tft,sifilis,1,origin_201912,3518800,240,13.0,13.162278175354004,42
tft,sifilis,3,origin_201912,3518800,242,6.0,12.755731582641602,42
tft,sifilis,6,origin_201912,3518800,245,11.0,12.35472297668457,42
tft,sifilis,12,origin_201912,3518800,251,14.0,11.780570030212402,42
tft,sifilis,1,origin_201912,3522208,240,0.0,0.12907199561595917,42
tft,sifilis,3,origin_201912,3522208,242,0.0,0.18746544420719147,42
tft,sifilis,6,origin_201912,3522208,245,0.0,0.16656146943569183,42
tft,sifilis,12,origin_201912,3522208,251,0.0,0.11321566998958588,42
tft,sifilis,1,origin_201912,3525904,240,6.0,0.6344223022460938,42
tft,sifilis,3,origin_201912,3525904,242,6.0,0.5577048063278198,42
tft,sifilis,6,origin_201912,3525904,245,2.0,0.4885886013507843,42
tft,sifilis,12,origin_201912,3525904,251,4.0,0.3734510540962219,42
tft,sifilis,1,origin_201912,3529401,240,0.0,0.008561248891055584,42
tft,sifilis,3,origin_201912,3529401,242,1.0,0.013522790744900703,42
tft,sifilis,6,origin_201912,3529401,245,1.0,0.01258071605116129,42
tft,sifilis,12,origin_201912,3529401,251,0.0,0.009691148065030575,42
tft,sifilis,1,origin_201912,3534401,240,10.0,10.86684799194336,42
tft,sifilis,3,origin_201912,3534401,242,18.0,10.062064170837402,42
tft,sifilis,6,origin_201912,3534401,245,15.0,9.19919204711914,42
tft,sifilis,12,origin_201912,3534401,251,3.0,8.302051544189453,42
tft,sifilis,1,origin_201912,3536505,240,1.0,4.039568466396304e-06,42
tft,sifilis,3,origin_201912,3536505,242,0.0,7.641113370482344e-06,42
tft,sifilis,6,origin_201912,3536505,245,0.0,1.1369992535037454e-05,42
tft,sifilis,12,origin_201912,3536505,251,0.0,1.095391417038627e-05,42
tft,sifilis,1,origin_201912,3541000,240,5.0,5.314534664154053,42
tft,sifilis,3,origin_201912,3541000,242,9.0,5.156362533569336,42
tft,sifilis,6,origin_201912,3541000,245,8.0,4.747030735015869,42
tft,sifilis,12,origin_201912,3541000,251,12.0,4.123507499694824,42
tft,sifilis,1,origin_201912,3543402,240,2.0,5.279637813568115,42
tft,sifilis,3,origin_201912,3543402,242,0.0,5.110376358032227,42
tft,sifilis,6,origin_201912,3543402,245,3.0,4.7911763191223145,42
tft,sifilis,12,origin_201912,3543402,251,2.0,4.209085941314697,42
tft,sifilis,1,origin_201912,3547809,240,9.0,4.837101459503174,42
tft,sifilis,3,origin_201912,3547809,242,5.0,4.677563667297363,42
tft,sifilis,6,origin_201912,3547809,245,11.0,4.085518836975098,42
tft,sifilis,12,origin_201912,3547809,251,2.0,3.7130637168884277,42
tft,sifilis,1,origin_201912,3548500,240,6.0,6.33847188949585,42
tft,sifilis,3,origin_201912,3548500,242,4.0,5.993030071258545,42
tft,sifilis,6,origin_201912,3548500,245,7.0,5.616726875305176,42
tft,sifilis,12,origin_201912,3548500,251,4.0,5.152650356292725,42
tft,sifilis,1,origin_201912,3548708,240,2.0,3.5491230487823486,42
tft,sifilis,3,origin_201912,3548708,242,3.0,3.433030128479004,42
tft,sifilis,6,origin_201912,3548708,245,0.0,2.913154125213623,42
tft,sifilis,12,origin_201912,3548708,251,1.0,2.711383819580078,42
tft,sifilis,1,origin_201912,3549805,240,1.0,3.551171064376831,42
tft,sifilis,3,origin_201912,3549805,242,0.0,3.5196356773376465,42
tft,sifilis,6,origin_201912,3549805,245,1.0,3.099916934967041,42
tft,sifilis,12,origin_201912,3549805,251,0.0,2.8202342987060547,42
tft,sifilis,1,origin_201912,3549904,240,7.0,5.433027267456055,42
tft,sifilis,3,origin_201912,3549904,242,5.0,5.291177749633789,42
tft,sifilis,6,origin_201912,3549904,245,4.0,5.070980072021484,42
tft,sifilis,12,origin_201912,3549904,251,5.0,4.733200550079346,42
tft,sifilis,1,origin_201912,3550308,240,92.0,60.303321838378906,42
