disease,horizon,best_model,mae_best_single,mae_ensemble,delta_mae,ensemble_wins
hanseniase,1,gru,0.06933392009930134,0.08736908848290838,0.01803516838360704,False
hepatite,1,lstm,0.0715974419462534,0.08890499954793354,0.017307557601680137,False
hepatite,12,seasonal_naive,0.2391304347826087,0.2924831710591631,0.0533527362765544,False
hanseniase,3,nhits,0.24884254745705656,0.369757117839351,0.12091457038229445,False
hepatite,3,lstm,0.25147163144396173,0.28262128821740296,0.031149656773441226,False
hanseniase,12,nhits,0.26264777218765945,0.351425692061048,0.08877791987338857,False
hepatite,6,nhits,0.2646440863609314,0.2912282064770821,0.02658412011615069,False
hanseniase,6,gru,0.5615953267055255,0.6375522633854585,0.07595693667993297,False
hiv_aids,6,lgbm,1.7399904553563084,1.8337019368404097,0.09371148148410136,False
hiv_aids,3,xgboost,1.7740074149940326,2.352228742002055,0.5782213270080225,False
hiv_aids,1,seasonal_ma3,1.9782607548910638,2.659968398702063,0.6817076438109992,False
tuberculose,12,gru,2.1296001403875975,2.5359494068350905,0.40634926644749303,False
hiv_aids,12,deepar,2.2221739480028977,2.5233758051659065,0.30120185716300885,False
sifilis,3,prophet,2.4249244847105844,2.6059681320356245,0.18104364732504008,False
sifilis,1,prophet,2.5234226126545236,2.621630123142943,0.09820751048841947,False
sifilis,6,tft,2.5550110900288554,2.5819999831468947,0.026988893118039314,False
tuberculose,6,prophet,2.599135201258598,3.028338771941596,0.42920357068299797,False
sifilis,12,lgbm,2.6029532511598483,3.346782687442107,0.7438294362822586,False
tuberculose,1,seasonal_ma3,2.9420290446799733,3.0349476033097,0.09291855862972653,False
tuberculose,3,lstm,3.0202923943491085,3.4610856613739567,0.4407932670248482,False
