disease,cd_mun,nm_mun,best_single,mae_best_single,mae_ensemble,delta
hepatite,3529401,Mauá,prophet,0.0,7.608141115524737e-05,7.608141115524737e-05
hepatite,3547809,Santo André,prophet,0.0,4.472276882830522e-05,4.472276882830522e-05
hepatite,3550308,São Paulo,prophet,0.0,4.3330248985663276e-09,4.3330248985663276e-09
hepatite,3549904,São José dos Campos,prophet,0.0,0.0005408304747711238,0.0005408304747711238
hepatite,3549805,São José do Rio Preto,prophet,0.0,0.0017449147318403624,0.0017449147318403624
hepatite,3541000,Praia Grande,prophet,0.0,2.866983510180378e-07,2.866983510180378e-07
hepatite,3543402,Ribeirão Preto,prophet,0.0,0.0001416477304515109,0.0001416477304515109
hepatite,3513801,Diadema,seasonal_ma3,0.0,0.0004786991227527721,0.0004786991227527721
hepatite,3518701,Guarujá,seasonal_ma3,0.0,0.0002265841417129941,0.0002265841417129941
hepatite,3552205,Sorocaba,seasonal_naive,0.0,0.006120832550171588,0.006120832550171588
hepatite,3554102,Taboão da Serra,seasonal_naive,0.0,0.03222675066991061,0.03222675066991061
sifilis,3536505,Paulínia,seasonal_naive,0.0,0.21701825499029134,0.21701825499029134
hanseniase,3541000,Praia Grande,seasonal_ma3,0.0,0.030257709569827148,0.030257709569827148
hanseniase,3549805,São José do Rio Preto,seasonal_naive,0.0,0.07038913001279871,0.07038913001279871
hanseniase,3505708,Barueri,seasonal_naive,0.0,0.04665733578924866,0.04665733578924866
hanseniase,3529401,Mauá,seasonal_naive,0.0,0.023298283114762466,0.023298283114762466
hepatite,3518800,Guarulhos,prophet,0.0,1.0605395221009212e-05,1.0605395221009212e-05
hepatite,3522208,Itapevi,seasonal_naive,0.0,3.92674366323916e-08,3.92674366323916e-08
hepatite,3525904,Jundiaí,seasonal_naive,0.0,0.005741951762202133,0.005741951762202133
hepatite,3534401,Osasco,seasonal_naive,0.0,0.022624255819363046,0.022624255819363046
hanseniase,3547809,Santo André,lstm,8.048184059052966e-16,0.050481849753451595,0.05048184975345079
hanseniase,3548708,São Bernardo do Campo,lstm,6.5671998340897436e-15,0.045482934164289765,0.0454829341642832
hepatite,3551009,São Vicente,nhits,0.125,0.12522104762344916,0.0002210476234491554
hanseniase,3552205,Sorocaba,seasonal_ma3,0.125,0.14513629650592721,0.020136296505927215
hepatite,3505708,Barueri,nhits,0.125,0.19351927723867418,0.06851927723867418
hanseniase,3548500,Santos,seasonal_naive,0.125,0.15219556318887473,0.027195563188874727
hanseniase,3551009,São Vicente,seasonal_naive,0.125,0.18674204761850113,0.061742047618501134
hepatite,3506003,Bauru,nhits,0.125,0.2984596635049506,0.17345966350495062
hiv_aids,3552205,Sorocaba,nhits,0.125,0.375150197596502,0.250150197596502
hanseniase,3518800,Guarulhos,seasonal_naive,0.125,0.5243649920456854,0.39936499204568543
hepatite,3536505,Paulínia,nhits,0.12500000000000003,0.12517034367057647,0.00017034367057644495
hanseniase,3510609,Carapicuíba,nhits,0.12500000000000003,0.1547198765949211,0.029719876594921063
hanseniase,3522208,Itapevi,nhits,0.12500000000000003,0.13502425488332248,0.010024254883322453
hanseniase,3536505,Paulínia,nhits,0.12500000000000006,0.13737277365969686,0.0123727736596968
hanseniase,3518701,Guarujá,gru,0.12500000000004102,0.21281751699613788,0.08781751699609686
hanseniase,3525904,Jundiaí,lstm,0.1250000000013245,0.1751156957589311,0.050115695757606604
hiv_aids,3536505,Paulínia,gru,0.24885949833702595,0.4030712529408086,0.15421175460378264
sifilis,3522208,Itapevi,gru,0.24999875947108485,0.4832232105984862,0.23322445112740137
hanseniase,3513801,Diadema,nhits,0.25,0.28016839123115705,0.030168391231157055
hanseniase,3534401,Osasco,nhits,0.25,0.27381999153225456,0.02381999153225456
hanseniase,3506003,Bauru,nhits,0.3268695697188378,0.3787797236388585,0.051910153920020685
hanseniase,3554102,Taboão da Serra,seasonal_ma3,0.3333333320915699,0.39159056709992823,0.05825723500835833
hanseniase,3549904,São José dos Campos,seasonal_ma3,0.375,0.4074064200333857,0.032406420033385674
hiv_aids,3541000,Praia Grande,seasonal_ma3,0.4166666641831398,0.47084481911979903,0.05417815493665923
hepatite,3510609,Carapicuíba,lstm,0.4237476370562945,0.481318261919181,0.0575706248628865
sifilis,3549805,São José do Rio Preto,catboost,0.4883930626976585,0.49055665443758323,0.002163591739924753
sifilis,3554102,Taboão da Serra,gru,0.49999999154247987,0.7462723347369538,0.24627234319447389
hepatite,3548500,Santos,seasonal_naive,0.5,0.7378569103298813,0.23785691032988132
hiv_aids,3522208,Itapevi,lstm,0.5276203631192402,0.6384187776057475,0.11079841448650729
hiv_aids,3548708,São Bernardo do Campo,tft,0.5669679641723633,0.7502918746098781,0.18332391043751484
hepatite,3548708,São Bernardo do Campo,prophet,0.5811371012783725,0.6198098528091006,0.03867275153072813
hanseniase,3543402,Ribeirão Preto,lstm,0.6250000000312063,1.003203090746087,0.3782030907148807
hiv_aids,3551009,São Vicente,nhits,0.6252852486888685,0.6644440245704168,0.03915877588154837
tuberculose,3522208,Itapevi,tft,0.6596549684181809,0.8886512780740834,0.22899630965590245
hiv_aids,3513801,Diadema,prophet,0.6683760203933372,0.8318868409064026,0.16351082051306542
tuberculose,3552205,Sorocaba,catboost,0.6816010335718081,0.8348553855872802,0.1532543520154721
tuberculose,3525904,Jundiaí,xgboost,0.735442265868187,0.981784732688507,0.24634246682032002
hanseniase,3509502,Campinas,seasonal_naive,0.75,0.5610869063901351,-0.18891309360986486
sifilis,3505708,Barueri,seasonal_naive,0.75,1.2435664228332415,0.4935664228332415
tuberculose,3549805,São José do Rio Preto,catboost,0.7833221201371192,1.2465723700694102,0.463250249932291
hiv_aids,3554102,Taboão da Serra,catboost,0.8298521853172782,0.8279308266411458,-0.001921358676132412
hiv_aids,3548500,Santos,lgbm,0.8508942040551473,0.7324049420552043,-0.11848926199994292
hiv_aids,3529401,Mauá,lgbm,0.9285820829410034,1.2239107711733683,0.2953286882323649
sifilis,3548708,São Bernardo do Campo,deepar,0.9662499874830246,0.9601035508055558,-0.006146436677468836
tuberculose,3529401,Mauá,xgboost,0.9669983685016632,1.0714497867438995,0.10445141824223625
sifilis,3547809,Santo André,deepar,1.0737498998641968,1.63579744824587,0.5620475483816731
sifilis,3529401,Mauá,gru,1.1249998603047593,1.1588875797257008,0.03388771942094149
sifilis,3525904,Jundiaí,seasonal_ma3,1.2499999701976776,1.3972341578280378,0.14723418763036022
tuberculose,3505708,Barueri,seasonal_naive,1.25,1.6428730399299636,0.3928730399299636
sifilis,3548500,Santos,sarima,1.2712069749832153,1.2054221930735638,-0.06578478190965154
tuberculose,3554102,Taboão da Serra,xgboost,1.2885570973157883,1.162748674273342,-0.12580842304244633
hiv_aids,3509502,Campinas,sarima,1.2948787212371826,1.5994347896037084,0.3045560683665258
hiv_aids,3506003,Bauru,xgboost,1.3052038848400116,1.3417625591244386,0.03655867428442705
hiv_aids,3518800,Guarulhos,deepar,1.3100000023841858,1.7756269917129626,0.4656269893287768
hiv_aids,3505708,Barueri,catboost,1.31945014965088,1.4853400251443731,0.1658898754934932
hiv_aids,3518701,Guarujá,xgboost,1.3198853731155396,1.7351174452331768,0.41523207211763724
tuberculose,3536505,Paulínia,deepar,1.322500005364418,1.4895491718146552,0.16704916645023715
hiv_aids,3547809,Santo André,deepar,1.4012500047683716,1.6965665536144634,0.2953165488460918
tuberculose,3549904,São José dos Campos,deepar,1.4087499976158142,1.9511282650076238,0.5423782673918096
sifilis,3506003,Bauru,lgbm,1.420489043573104,1.6093134934037023,0.18882444983059843
tuberculose,3548500,Santos,sarima,1.5489757061004639,2.0491713626361436,0.5001956565356798
tuberculose,3551009,São Vicente,lstm,1.7048667669296262,2.652521782957538,0.9476550160279118
sifilis,3518701,Guarujá,xgboost,1.755963921546936,1.9773931399246747,0.22142921837773866
sifilis,3543402,Ribeirão Preto,sarima,1.7560527324676514,2.1937920983265915,0.43773936585894013
tuberculose,3518800,Guarulhos,tft,1.7705333828926086,2.1859534383711594,0.41542005547855076
sifilis,3509502,Campinas,tft,1.816867470741272,2.197086145184847,0.38021867444357493
hiv_aids,3534401,Osasco,deepar,1.9225000441074371,2.3697162291374165,0.4472161850299794
tuberculose,3541000,Praia Grande,seasonal_ma3,1.9583333134651184,2.2623775933197,0.3040442798545815
hiv_aids,3510609,Carapicuíba,tft,2.020351767539978,2.5139685754342005,0.49361680789422246
tuberculose,3513801,Diadema,lstm,2.062306523323059,2.76516004095854,0.7028535176354809
hiv_aids,3525904,Jundiaí,nhits,2.120025098323822,2.23809972855715,0.11807463023332776
tuberculose,3518701,Guarujá,sarima,2.290842652320862,3.005378636438537,0.714535984117675
tuberculose,3506003,Bauru,lstm,2.296142131090164,2.9008595752223574,0.6047174441321932
tuberculose,3547809,Santo André,prophet,2.396488075490262,2.393504273347852,-0.00298380214241023
tuberculose,3548708,São Bernardo do Campo,prophet,2.424993994634823,2.9232455586386785,0.4982515640038554
sifilis,3510609,Carapicuíba,lstm,2.459370404481888,3.060115632573315,0.6007452280914274
tuberculose,3543402,Ribeirão Preto,gru,2.676938772201538,3.3101439156754404,0.6332051434739023
hepatite,3509502,Campinas,seasonal_ma3,2.70833333581686,2.8412830115110883,0.1329496756942281
sifilis,3551009,São Vicente,lgbm,2.739789967457961,3.350064409592431,0.6102744421344699
hiv_aids,3549805,São José do Rio Preto,gru,2.781098127365113,3.484678824164557,0.703580696799444
sifilis,3549904,São José dos Campos,catboost,2.8157834280112466,3.2875349644570564,0.4717515364458098
hanseniase,3550308,São Paulo,lgbm,2.8371766373856917,2.9289875798422207,0.09181094245652899
sifilis,3513801,Diadema,lstm,2.9515960216522217,3.075477691877944,0.12388167022572238
tuberculose,3509502,Campinas,gru,3.062430739402771,5.856281577363105,2.793850837960334
hiv_aids,3543402,Ribeirão Preto,sarima,3.088220536708832,3.925001536198252,0.8367809994894202
hiv_aids,3549904,São José dos Campos,tft,3.3085180521011353,4.763592747989687,1.4550746958885519
