disease,horizon,full,sem_clima,delta_mae
hanseniase,1,0.3464,0.3665,0.0201
hanseniase,3,0.4266,0.4694,0.0428
hanseniase,6,0.5147,0.4862,-0.0285
hanseniase,12,0.4047,0.4314,0.0267
hepatite,1,0.239,0.2251,-0.0139
hepatite,3,0.2943,0.2763,-0.018
hepatite,6,0.2639,0.265,0.0011
hepatite,12,0.2567,0.2516,-0.0051
hiv_aids,1,2.6167,2.7789,0.1622
hiv_aids,3,2.1959,2.2797,0.0838
hiv_aids,6,2.3254,2.4789,0.1535
hiv_aids,12,3.2188,3.1239,-0.0949
sifilis,1,2.6688,2.7005,0.0317
sifilis,3,2.952,2.8513,-0.1007
sifilis,6,2.5185,2.5039,-0.0146
sifilis,12,3.1045,2.8726,-0.2319
tuberculose,1,2.7044,2.7546,0.0502
tuberculose,3,2.862,2.8992,0.0372
tuberculose,6,2.7008,2.6558,-0.045
tuberculose,12,2.7618,2.6592,-0.1026
