disease,model,group,importance_norm
hanseniase,catboost,alvo (lags/rolling),0.40025132813723396
hanseniase,catboost,clima (defasado),0.3285169604771712
hanseniase,catboost,municipio (categorico),0.04857760341161268
hanseniase,catboost,sazonalidade (mes-alvo),0.0065980356349033
hanseniase,catboost,socioeconomico (estatico),0.21605607233907714
hanseniase,lgbm,alvo (lags/rolling),0.13508333333333303
hanseniase,lgbm,clima (defasado),0.6311041666666659
hanseniase,lgbm,municipio (categorico),0.047833333333333304
hanseniase,lgbm,sazonalidade (mes-alvo),0.016520833333333294
hanseniase,lgbm,socioeconomico (estatico),0.1694583333333332
hanseniase,xgboost,alvo (lags/rolling),0.8748103124526092
hanseniase,xgboost,clima (defasado),0.04440926866663987
hanseniase,xgboost,municipio (categorico),0.061022539448458646
hanseniase,xgboost,sazonalidade (mes-alvo),0.0026321036712033123
hanseniase,xgboost,socioeconomico (estatico),0.01712576199497545
hepatite,catboost,alvo (lags/rolling),0.642372021233109
hepatite,catboost,clima (defasado),0.1866541820229523
hepatite,catboost,municipio (categorico),0.014357228715267211
hepatite,catboost,sazonalidade (mes-alvo),0.003950927578902468
hepatite,catboost,socioeconomico (estatico),0.15266564044976727
hepatite,lgbm,alvo (lags/rolling),0.168958333333333
hepatite,lgbm,clima (defasado),0.5858124999999994
hepatite,lgbm,municipio (categorico),0.061249999999999964
hepatite,lgbm,sazonalidade (mes-alvo),0.017270833333333287
hepatite,lgbm,socioeconomico (estatico),0.1667083333333332
hepatite,xgboost,alvo (lags/rolling),0.9283638711494855
hepatite,xgboost,clima (defasado),0.046161670972650316
hepatite,xgboost,municipio (categorico),0.007788888848153832
hepatite,xgboost,sazonalidade (mes-alvo),0.003398031403776206
hepatite,xgboost,socioeconomico (estatico),0.014287520025390925
hiv_aids,catboost,alvo (lags/rolling),0.8028965589588224
hiv_aids,catboost,clima (defasado),0.07466630856419855
hiv_aids,catboost,municipio (categorico),0.004078558828389394
hiv_aids,catboost,sazonalidade (mes-alvo),0.0013424209092830438
hiv_aids,catboost,socioeconomico (estatico),0.11701615273930477
hiv_aids,lgbm,alvo (lags/rolling),0.288677083333333
hiv_aids,lgbm,clima (defasado),0.48941666666666606
hiv_aids,lgbm,municipio (categorico),0.05641666666666662
hiv_aids,lgbm,sazonalidade (mes-alvo),0.01860416666666663
hiv_aids,lgbm,socioeconomico (estatico),0.14688541666666655
hiv_aids,xgboost,alvo (lags/rolling),0.9477677307404515
hiv_aids,xgboost,clima (defasado),0.021306126629496186
hiv_aids,xgboost,municipio (categorico),0.009626595208828756
hiv_aids,xgboost,sazonalidade (mes-alvo),0.0015048125060274625
hiv_aids,xgboost,socioeconomico (estatico),0.019794700012425698
sifilis,catboost,alvo (lags/rolling),0.6103816481115552
sifilis,catboost,clima (defasado),0.1892845239862331
sifilis,catboost,municipio (categorico),0.015854689074319837
sifilis,catboost,sazonalidade (mes-alvo),0.0044389098362198065
sifilis,catboost,socioeconomico (estatico),0.18004022899167044
sifilis,lgbm,alvo (lags/rolling),0.1788854166666663
sifilis,lgbm,clima (defasado),0.572072916666666
sifilis,lgbm,municipio (categorico),0.05347916666666665
sifilis,lgbm,sazonalidade (mes-alvo),0.02086458333333331
sifilis,lgbm,socioeconomico (estatico),0.17469791666666654
sifilis,xgboost,alvo (lags/rolling),0.860922895117255
sifilis,xgboost,clima (defasado),0.04754873897763798
sifilis,xgboost,municipio (categorico),0.011049870983697418
sifilis,xgboost,sazonalidade (mes-alvo),0.00351682212203735
sifilis,xgboost,socioeconomico (estatico),0.07696170196868458
tuberculose,catboost,alvo (lags/rolling),0.6625716841579371
tuberculose,catboost,clima (defasado),0.13898148859263948
tuberculose,catboost,municipio (categorico),0.02971128932492838
tuberculose,catboost,sazonalidade (mes-alvo),0.002816410279075706
tuberculose,catboost,socioeconomico (estatico),0.16591912764541755
tuberculose,lgbm,alvo (lags/rolling),0.2281562499999997
tuberculose,lgbm,clima (defasado),0.4775208333333326
tuberculose,lgbm,municipio (categorico),0.07183333333333329
tuberculose,lgbm,sazonalidade (mes-alvo),0.01868749999999996
tuberculose,lgbm,socioeconomico (estatico),0.2038020833333332
tuberculose,xgboost,alvo (lags/rolling),0.9108036965553761
tuberculose,xgboost,clima (defasado),0.028551636769406207
tuberculose,xgboost,municipio (categorico),0.032553930272115346
tuberculose,xgboost,sazonalidade (mes-alvo),0.0017105981678468625
tuberculose,xgboost,socioeconomico (estatico),0.026380140385299275
