disease,model,origin,horizon,feature,importance,importance_norm
hanseniase,lgbm,origin_201912,1,n_hanseniase_l0,114.0,0.019
hanseniase,lgbm,origin_201912,1,n_hanseniase_l1,73.0,0.012166666666666666
hanseniase,lgbm,origin_201912,1,n_hanseniase_l2,44.0,0.007333333333333333
hanseniase,lgbm,origin_201912,1,n_hanseniase_l3,56.0,0.009333333333333334
hanseniase,lgbm,origin_201912,1,n_hanseniase_l6,51.0,0.0085
hanseniase,lgbm,origin_201912,1,n_hanseniase_l12,64.0,0.010666666666666666
hanseniase,lgbm,origin_201912,1,n_hanseniase_l13,50.0,0.008333333333333333
hanseniase,lgbm,origin_201912,1,n_hanseniase_r3,103.0,0.017166666666666667
hanseniase,lgbm,origin_201912,1,n_hanseniase_r6,128.0,0.021333333333333333
hanseniase,lgbm,origin_201912,1,n_hanseniase_r12,235.0,0.03916666666666667
hanseniase,lgbm,origin_201912,1,evapot_l0,123.0,0.0205
hanseniase,lgbm,origin_201912,1,evapot_l1,134.0,0.022333333333333334
hanseniase,lgbm,origin_201912,1,evapot_l3,194.0,0.03233333333333333
hanseniase,lgbm,origin_201912,1,evapot_l12,160.0,0.02666666666666667
hanseniase,lgbm,origin_201912,1,precip_l0,190.0,0.03166666666666667
hanseniase,lgbm,origin_201912,1,precip_l1,187.0,0.031166666666666665
hanseniase,lgbm,origin_201912,1,precip_l3,232.0,0.03866666666666667
hanseniase,lgbm,origin_201912,1,precip_l12,154.0,0.025666666666666667
hanseniase,lgbm,origin_201912,1,temp_min_l0,219.0,0.0365
hanseniase,lgbm,origin_201912,1,temp_min_l1,136.0,0.02266666666666667
hanseniase,lgbm,origin_201912,1,temp_min_l3,201.0,0.0335
hanseniase,lgbm,origin_201912,1,temp_min_l12,199.0,0.033166666666666664
hanseniase,lgbm,origin_201912,1,temp_max_l0,169.0,0.028166666666666666
hanseniase,lgbm,origin_201912,1,temp_max_l1,223.0,0.03716666666666667
hanseniase,lgbm,origin_201912,1,temp_max_l3,177.0,0.0295
hanseniase,lgbm,origin_201912,1,temp_max_l12,188.0,0.03133333333333333
hanseniase,lgbm,origin_201912,1,umid_l0,254.0,0.042333333333333334
hanseniase,lgbm,origin_201912,1,umid_l1,244.0,0.04066666666666666
hanseniase,lgbm,origin_201912,1,umid_l3,194.0,0.03233333333333333
hanseniase,lgbm,origin_201912,1,umid_l12,209.0,0.034833333333333334
hanseniase,lgbm,origin_201912,1,populacao,278.0,0.04633333333333333
hanseniase,lgbm,origin_201912,1,dens_demog,149.0,0.024833333333333332
hanseniase,lgbm,origin_201912,1,ppc,300.0,0.05
hanseniase,lgbm,origin_201912,1,urbanizacao,142.0,0.023666666666666666
hanseniase,lgbm,origin_201912,1,tgt_month,142.0,0.023666666666666666
hanseniase,lgbm,origin_201912,1,mun_id,284.0,0.04733333333333333
hanseniase,catboost,origin_201912,1,n_hanseniase_l0,2.5914193012159976,0.025914193012159973
hanseniase,catboost,origin_201912,1,n_hanseniase_l1,1.522552149843148,0.015225521498431477
hanseniase,catboost,origin_201912,1,n_hanseniase_l2,2.3151569628734725,0.02315156962873472
hanseniase,catboost,origin_201912,1,n_hanseniase_l3,1.0609118571257088,0.010609118571257086
hanseniase,catboost,origin_201912,1,n_hanseniase_l6,2.3457661492628246,0.02345766149262824
hanseniase,catboost,origin_201912,1,n_hanseniase_l12,1.2962425776727822,0.01296242577672782
hanseniase,catboost,origin_201912,1,n_hanseniase_l13,1.1080751173077745,0.011080751173077743
hanseniase,catboost,origin_201912,1,n_hanseniase_r3,10.08446807606378,0.1008446807606378
hanseniase,catboost,origin_201912,1,n_hanseniase_r6,7.975852021575998,0.07975852021575996
hanseniase,catboost,origin_201912,1,n_hanseniase_r12,15.653408144277094,0.15653408144277092
hanseniase,catboost,origin_201912,1,evapot_l0,1.7748382625201782,0.01774838262520178
hanseniase,catboost,origin_201912,1,evapot_l1,1.2189797260568709,0.012189797260568708
hanseniase,catboost,origin_201912,1,evapot_l3,1.6993500572481728,0.016993500572481727
hanseniase,catboost,origin_201912,1,evapot_l12,1.1417458563257454,0.011417458563257453
hanseniase,catboost,origin_201912,1,precip_l0,1.278809631747466,0.012788096317474658
hanseniase,catboost,origin_201912,1,precip_l1,1.8380918703872147,0.018380918703872144
hanseniase,catboost,origin_201912,1,precip_l3,2.438607249785944,0.02438607249785944
hanseniase,catboost,origin_201912,1,precip_l12,1.2443790879963907,0.012443790879963905
hanseniase,catboost,origin_201912,1,temp_min_l0,1.6125610190119417,0.016125610190119415
hanseniase,catboost,origin_201912,1,temp_min_l1,1.211562045481682,0.012115620454816818
hanseniase,catboost,origin_201912,1,temp_min_l3,2.2775185457214113,0.02277518545721411
hanseniase,catboost,origin_201912,1,temp_min_l12,1.5186803931842765,0.015186803931842763
hanseniase,catboost,origin_201912,1,temp_max_l0,2.0482415702910584,0.02048241570291058
hanseniase,catboost,origin_201912,1,temp_max_l1,1.5534837332846825,0.015534837332846822
hanseniase,catboost,origin_201912,1,temp_max_l3,1.569477322613923,0.015694773226139228
hanseniase,catboost,origin_201912,1,temp_max_l12,2.7690858191939434,0.02769085819193943
hanseniase,catboost,origin_201912,1,umid_l0,1.6886047157499733,0.01688604715749973
hanseniase,catboost,origin_201912,1,umid_l1,1.3717024124135135,0.013717024124135134
hanseniase,catboost,origin_201912,1,umid_l3,1.1365200706846916,0.011365200706846915
hanseniase,catboost,origin_201912,1,umid_l12,2.1076942274031376,0.021076942274031372
hanseniase,catboost,origin_201912,1,populacao,5.10090228940639,0.05100902289406389
hanseniase,catboost,origin_201912,1,dens_demog,3.1147745098291715,0.03114774509829171
hanseniase,catboost,origin_201912,1,ppc,5.816641860952814,0.05816641860952813
hanseniase,catboost,origin_201912,1,urbanizacao,3.056235224339134,0.030562352243391336
hanseniase,catboost,origin_201912,1,tgt_month,0.5900828890471997,0.005900828890471997
hanseniase,catboost,origin_201912,1,mun_id,2.8675772521044878,0.028675772521044873
hanseniase,xgboost,origin_201912,1,n_hanseniase_l0,0.12917473912239075,0.12917475402355194
