model,disease,dtw_norm
catboost,hanseniase,0.3932
deepar,hanseniase,0.8141
gru,hanseniase,0.3545
lgbm,hanseniase,0.3826
lstm,hanseniase,0.349
nhits,hanseniase,0.3435
prophet,hanseniase,0.4596
sarima,hanseniase,0.6049
seasonal_ma3,hanseniase,0.413
seasonal_naive,hanseniase,0.2283
tft,hanseniase,0.5
xgboost,hanseniase,0.3882
catboost,hepatite,0.2196
deepar,hepatite,0.3236
gru,hepatite,0.3838
lgbm,hepatite,0.2159
lstm,hepatite,0.176
nhits,hepatite,0.1866
prophet,hepatite,0.183
sarima,hepatite,0.2269
seasonal_ma3,hepatite,0.192
seasonal_naive,hepatite,0.125
tft,hepatite,0.2036
xgboost,hepatite,0.2129
catboost,hiv_aids,2.0697
deepar,hiv_aids,2.0143
gru,hiv_aids,2.2855
lgbm,hiv_aids,2.22
lstm,hiv_aids,2.2651
nhits,hiv_aids,3.5854
prophet,hiv_aids,2.7385
sarima,hiv_aids,2.3563
seasonal_ma3,hiv_aids,2.3043
seasonal_naive,hiv_aids,1.3641
tft,hiv_aids,2.3716
xgboost,hiv_aids,2.1369
catboost,sifilis,2.1991
deepar,sifilis,2.4483
gru,sifilis,2.7744
lgbm,sifilis,2.1905
lstm,sifilis,3.0128
nhits,sifilis,2.7814
prophet,sifilis,2.4621
sarima,sifilis,2.4356
seasonal_ma3,sifilis,2.2174
seasonal_naive,sifilis,1.6658
tft,sifilis,2.5732
xgboost,sifilis,2.1403
catboost,tuberculose,2.3311
deepar,tuberculose,2.3411
gru,tuberculose,2.5103
lgbm,tuberculose,2.3093
lstm,tuberculose,2.6028
nhits,tuberculose,2.634
prophet,tuberculose,2.3661
sarima,tuberculose,2.4011
seasonal_ma3,tuberculose,2.1105
seasonal_naive,tuberculose,1.6223
tft,tuberculose,2.5386
xgboost,tuberculose,2.325
