model,disease,horizon,mae,rmse,r2,smape,recall_nz,precision_nz,mae_std_origin,mae_std_seed
catboost,hanseniase,1,0.3726796850296291,0.7414588303664817,-0.1583666279187685,186.50025338884203,0.5,0.4285714285714285,0.15174097169933,
deepar,hanseniase,1,0.9002173713246442,1.425647805858958,-0.8660201956817764,183.44560769701224,0.75,0.17647058823529413,0.24333057475112246,
gru,hanseniase,1,0.1818168129897859,0.7332760506421426,0.5063412475112985,192.74180805594796,0.3333333333333333,1.0,0.1724540206906254,
lgbm,hanseniase,1,0.3579225966134792,0.821893300114421,-0.2986211502430818,186.99544766780707,0.5833333333333334,0.4117647058823529,0.1443736277335708,
lstm,hanseniase,1,0.1966005723810843,0.7489421711737994,0.4850223151693235,193.64118536445991,0.3333333333333333,1.0,0.1603465347535857,
nhits,hanseniase,1,0.2461953397622912,1.0281747961608438,0.0294324943485451,194.6076580741693,0.25,0.75,0.2135931012862964,
prophet,hanseniase,1,0.4067814661200957,0.7991704774227912,-0.3431293619617646,188.5837330674691,0.5,0.3529411764705882,0.1275217894557029,
sarima,hanseniase,1,0.5496926889400524,1.0743822200456732,-1.6039430822215814,188.05858998651428,0.5,0.3,0.1833949976138589,
seasonal_ma3,hanseniase,1,0.4456521800678709,0.9339149886387498,-1.0648738631610306,178.20487962906762,0.5833333333333334,0.3888888888888889,0.1254411769891855,
seasonal_naive,hanseniase,1,0.3695652173913042,0.973178830332311,-1.2191610162580166,139.25796425796426,0.5833333333333334,0.4375,0.318511028635303,
tft,hanseniase,1,0.5643585913678751,1.7209823128649666,-1.7192219270838949,196.27319912386636,0.3333333333333333,0.5,0.4234165607562137,
xgboost,hanseniase,1,0.3637542936181568,0.8226859975152762,-0.148282034024307,187.01291486433175,0.5833333333333334,0.4117647058823529,0.1796461323345249,
catboost,hanseniase,3,0.4255570612616673,0.7080580657690831,0.049487970098852,182.37067471316735,0.5555555555555556,0.625,0.0769693763545972,
deepar,hanseniase,3,0.8340217171479827,1.608168954587978,-2.9088677355966057,179.57396570401298,0.6111111111111112,0.2558139534883721,0.21630666073211535,
gru,hanseniase,3,0.3834894457359635,0.9344561562967872,-0.3197919855819164,195.9138054125333,0.1666666666666666,0.75,0.1025648341913859,
lgbm,hanseniase,3,0.433091490457503,0.7609551332297051,-0.0212423681122876,182.783748543534,0.5555555555555556,0.5555555555555556,0.0941763484668528,
lstm,hanseniase,3,0.3551382013749139,0.898371415898363,-0.2198304722223096,194.9085143979309,0.1666666666666666,0.75,0.1031822019263695,
nhits,hanseniase,3,0.3141871481565748,0.8213035925473939,-0.0195184105955261,193.5655564973904,0.1666666666666666,0.75,0.1334771970374134,
prophet,hanseniase,3,0.5285264311681546,0.929053964701552,-0.4530190249855569,182.97169397083283,0.5555555555555556,0.4545454545454545,0.1410399789308097,
sarima,hanseniase,3,0.6188818448635689,1.1450041895962388,-1.205850055102652,184.33286780923692,0.5555555555555556,0.5263157894736842,0.1319811335729662,
seasonal_ma3,hanseniase,3,0.4601449315314707,0.8571239816343761,-0.2692563751806507,163.81347938308426,0.5555555555555556,0.5,0.1226187440026894,
seasonal_naive,hanseniase,3,0.5108695652173912,1.02564551421461,-0.7730357287690302,163.53174603174602,0.4444444444444444,0.4,0.0964067731568845,
tft,hanseniase,3,0.6799710512772728,1.7252316035427828,-3.4986524040612057,193.53436215889823,0.2777777777777778,0.5555555555555556,0.4125241700496407,
xgboost,hanseniase,3,0.4216648729761009,0.7042187146523238,0.0089508017195831,181.6329656178063,0.5555555555555556,0.5555555555555556,0.1234595355726325,
catboost,hanseniase,6,0.5305443231187768,1.3842431664389565,0.35182761654307,182.37014336871687,0.5625,0.6,0.2820993122203482,
deepar,hanseniase,6,1.0635869408674214,1.4798644588643715,0.5410026252033844,177.91497637347973,0.8125,0.20634920634920634,0.159657548262475,
gru,hanseniase,6,0.5014534883596151,1.9128194040360087,0.2331432249090413,195.7526947346344,0.1875,0.75,0.2254737691820793,
lgbm,hanseniase,6,0.5049113793285464,1.398753391952515,0.1442271664240402,180.38988932431016,0.625,0.5263157894736842,0.2354163666891758,
lstm,hanseniase,6,0.5003862027890361,2.0075730978417163,0.1552872368696319,196.05891516735431,0.1875,0.75,0.2560640933330063,
nhits,hanseniase,6,0.479103943450965,2.0826346147043,0.0909401305884171,194.76424079508396,0.25,1.0,0.2909914494220005,
prophet,hanseniase,6,0.5937234815354226,1.6264930948898173,-0.3489082270879867,179.94043289631088,0.5625,0.5625,0.1993315772084022,
sarima,hanseniase,6,0.7385420470764865,1.806741354567822,-0.9435036319198216,184.06532919043343,0.5,0.4210526315789473,0.2765128873364054,
seasonal_ma3,hanseniase,6,0.6594202910428462,1.8367652629600904,-1.1166576052934012,161.1739183888372,0.5,0.5333333333333333,0.170867039447758,
seasonal_naive,hanseniase,6,0.7717391304347826,2.722575140824661,-8.330601033243902,155.6019377447949,0.4375,0.5,0.2338009536942272,
tft,hanseniase,6,0.6228733505414573,1.893943459407749,0.2482034284024308,192.55730731425777,0.3125,0.5555555555555556,0.438271392751288,
xgboost,hanseniase,6,0.476105073325174,1.278688909580373,0.3669725611547838,179.76371354753573,0.625,0.5882352941176471,0.2482138817933227,
catboost,hanseniase,12,0.4041513056720933,0.6995394368153065,0.0312193783217351,170.2801173733834,0.5185185185185185,0.8235294117647058,0.0569771857568189,
deepar,hanseniase,12,0.917826079176334,2.3598816298363894,-6.727273052637288,163.85890453334255,0.6666666666666666,0.4186046511627907,0.3546467133616638,
gru,hanseniase,12,0.3719032570243067,0.8774700201285287,-0.0683422257381949,192.83101561294663,0.1481481481481481,1.0,0.1105199433109629,
lgbm,hanseniase,12,0.4039040693531128,0.7332179833227621,-0.1515077184133715,170.82727555359162,0.5185185185185185,0.8235294117647058,0.0597713158331481,
lstm,hanseniase,12,0.380586866452489,0.8866818272388205,-0.0908911910759304,193.30011086845093,0.1481481481481481,1.0,0.1050504688912536,
nhits,hanseniase,12,0.3901512000339458,0.9020828424815204,-0.1291162689470333,194.87309700629908,0.074074074074074,1.0,0.1584927661208065,
prophet,hanseniase,12,0.4637196607709252,0.8069992712685832,-0.4440952810990378,172.3984991033181,0.4074074074074074,0.6875,0.0613979338272057,
sarima,hanseniase,12,0.7096826938365628,1.4459983185066188,-3.8593181529466953,173.37163232830318,0.5185185185185185,0.7,0.1051850856552914,
seasonal_ma3,hanseniase,12,0.4420289863710818,0.8356438993558027,-0.5146610078410513,138.01528587228466,0.5925925925925926,0.5925925925925926,0.0857402845943736,
seasonal_naive,hanseniase,12,0.467391304347826,0.938262591110644,-0.9066118094472968,138.67857142857144,0.5555555555555556,0.5555555555555556,0.074253266419997,
tft,hanseniase,12,0.6679477368362967,1.5295577729985683,-2.246217319127712,192.32442907967092,0.2222222222222222,0.6666666666666666,0.3340289638016865,
xgboost,hanseniase,12,0.4134640224561419,0.7303406435225881,-0.1761080506940834,169.55490977099964,0.5555555555555556,0.7894736842105263,0.0664436912308038,
catboost,hepatite,1,0.2323508549716691,0.4698953743212316,0.0862751550598426,186.8069997389263,0.5,0.4166666666666667,0.0643283735159629,
deepar,hepatite,1,0.32423912498938,0.5869976965802705,-0.1101671593342819,181.31036980443534,0.6,0.2608695652173913,0.06916858903090602,
gru,hepatite,1,0.1670688161251851,0.5540399884671348,0.01099655353708,196.68029746923293,0.2,0.6666666666666666,0.1229806985018908,
lgbm,hepatite,1,0.2306132335766975,0.5187696703277143,-0.0494335129362641,187.6964210915985,0.4,0.5,0.0792705544141037,
lstm,hepatite,1,0.1422714514161587,0.5143235708064293,0.1477079493100067,193.9194600863112,0.3,0.75,0.1334461379762783,
nhits,hepatite,1,0.1651468760619932,0.6183721489897694,-0.2320133788982317,196.38238544492893,0.2,1.0,0.0745150689090939,
