disease,cd_mun,nm_mun,model,mae,rmse,r2,smape,n
hanseniase,3505708,Barueri,catboost,0.105,0.108,,200.0,16.0
hanseniase,3505708,Barueri,deepar,0.6131249843165278,0.7592882949093326,,200.0,
hanseniase,3505708,Barueri,gru,0.0,0.0,,200.0,16.0
hanseniase,3505708,Barueri,lgbm,0.078,0.083,,200.0,16.0
hanseniase,3505708,Barueri,lstm,0.0,0.0,,200.0,16.0
hanseniase,3505708,Barueri,nhits,0.0,0.0,,200.0,16.0
hanseniase,3505708,Barueri,prophet,0.023,0.045,,200.0,16.0
hanseniase,3505708,Barueri,sarima,0.098,0.099,,200.0,16.0
hanseniase,3505708,Barueri,seasonal_ma3,0.104,0.25,,200.0,16.0
hanseniase,3505708,Barueri,seasonal_naive,0.0,0.0,,0.0,16.0
hanseniase,3505708,Barueri,tft,0.0,0.0,,200.0,16.0
hanseniase,3505708,Barueri,xgboost,0.105,0.115,,200.0,16.0
hanseniase,3506003,Bauru,catboost,0.708,0.811,-0.114,150.87,16.0
hanseniase,3506003,Bauru,deepar,0.7099999990314245,0.8653611996948835,-0.2695735199997762,160.34919784252617,
hanseniase,3506003,Bauru,gru,0.68,1.019,-0.759,195.6,16.0
hanseniase,3506003,Bauru,lgbm,0.724,0.826,-0.158,147.07,16.0
hanseniase,3506003,Bauru,lstm,0.706,1.015,-0.747,196.66,16.0
hanseniase,3506003,Bauru,nhits,0.645,0.946,-0.517,170.75,16.0
hanseniase,3506003,Bauru,prophet,0.688,1.031,-0.801,200.0,16.0
hanseniase,3506003,Bauru,sarima,3.949,4.156,-28.281,200.0,16.0
hanseniase,3506003,Bauru,seasonal_ma3,0.833,1.007,-0.719,151.25,16.0
hanseniase,3506003,Bauru,seasonal_naive,0.938,1.199,-1.437,169.23,16.0
hanseniase,3506003,Bauru,tft,0.699,1.03,-0.8,199.51,16.0
hanseniase,3506003,Bauru,xgboost,0.699,0.798,-0.079,144.77,16.0
hanseniase,3509502,Campinas,catboost,1.824,2.089,-0.357,118.75,16.0
hanseniase,3509502,Campinas,deepar,2.2987499870359898,2.696131465969175,-1.2611129644447239,128.61475500694027,
hanseniase,3509502,Campinas,gru,1.687,2.459,-0.881,199.72,16.0
hanseniase,3509502,Campinas,lgbm,1.803,2.105,-0.379,118.79,16.0
hanseniase,3509502,Campinas,lstm,1.688,2.462,-0.886,199.99,16.0
hanseniase,3509502,Campinas,nhits,1.671,2.416,-0.816,193.52,16.0
hanseniase,3509502,Campinas,prophet,1.696,2.018,-0.267,119.14,16.0
hanseniase,3509502,Campinas,sarima,1.934,2.294,-0.638,121.11,16.0
hanseniase,3509502,Campinas,seasonal_ma3,1.917,2.198,-0.503,124.79,16.0
hanseniase,3509502,Campinas,seasonal_naive,1.438,2.107,-0.38,91.28,16.0
hanseniase,3509502,Campinas,tft,2.93,3.584,-2.996,170.68,16.0
hanseniase,3509502,Campinas,xgboost,1.649,1.931,-0.16,116.32,16.0
hanseniase,3510609,Carapicuíba,catboost,0.151,0.257,-0.124,198.83,16.0
hanseniase,3510609,Carapicuíba,deepar,0.9793749745003879,1.276619032305497,-26.814505022201573,196.18644081708928,
hanseniase,3510609,Carapicuíba,gru,0.063,0.25,-0.067,200.0,16.0
hanseniase,3510609,Carapicuíba,lgbm,0.144,0.255,-0.112,198.87,16.0
hanseniase,3510609,Carapicuíba,lstm,0.063,0.25,-0.067,200.0,16.0
hanseniase,3510609,Carapicuíba,nhits,0.063,0.25,-0.067,200.0,16.0
hanseniase,3510609,Carapicuíba,prophet,0.168,0.266,-0.21,198.88,16.0
hanseniase,3510609,Carapicuíba,sarima,0.173,0.251,-0.076,197.3,16.0
hanseniase,3510609,Carapicuíba,seasonal_ma3,0.083,0.264,-0.185,200.0,16.0
hanseniase,3510609,Carapicuíba,seasonal_naive,0.125,0.354,-1.133,200.0,16.0
hanseniase,3510609,Carapicuíba,tft,0.063,0.25,-0.067,200.0,16.0
hanseniase,3510609,Carapicuíba,xgboost,0.148,0.256,-0.12,198.68,16.0
hanseniase,3513801,Diadema,catboost,0.189,0.336,-0.035,196.35,16.0
hanseniase,3513801,Diadema,deepar,0.7181249856948853,0.7656981940432291,-4.360399765586858,176.90116014228053,
hanseniase,3513801,Diadema,gru,0.125,0.354,-0.143,200.0,16.0
hanseniase,3513801,Diadema,lgbm,0.235,0.351,-0.129,195.44,16.0
