disease,cd_mun,nm_mun,model,mae,rmse,r2,smape,n
hepatite,3505708,Barueri,catboost,0.54,0.664,-0.297,180.32,16
hepatite,3505708,Barueri,deepar,0.572,0.715,-0.504,180.65,16
hepatite,3505708,Barueri,gru,0.638,1.042,-2.192,189.53,16
hepatite,3505708,Barueri,lgbm,0.545,0.682,-0.367,181.98,16
hepatite,3505708,Barueri,lstm,0.344,0.567,0.055,190.31,16
hepatite,3505708,Barueri,nhits,0.313,0.661,-0.285,199.85,16
hepatite,3505708,Barueri,prophet,0.404,0.61,-0.096,176.69,16
hepatite,3505708,Barueri,sarima,0.569,0.661,-0.285,171.09,16
hepatite,3505708,Barueri,seasonal_ma3,0.583,0.697,-0.43,182.86,16
hepatite,3505708,Barueri,seasonal_naive,0.562,0.901,-1.391,200.0,16
hepatite,3505708,Barueri,tft,0.319,0.648,-0.236,198.48,16
hepatite,3505708,Barueri,xgboost,0.546,0.675,-0.34,181.01,16
hepatite,3506003,Bauru,catboost,0.964,1.224,-0.234,145.95,16
hepatite,3506003,Bauru,deepar,1.222,1.469,-0.777,168.02,16
hepatite,3506003,Bauru,gru,0.648,1.142,-0.074,170.26,16
hepatite,3506003,Bauru,lgbm,1.0,1.264,-0.315,152.38,16
hepatite,3506003,Bauru,lstm,0.637,1.146,-0.082,174.44,16
hepatite,3506003,Bauru,nhits,0.687,1.294,-0.379,199.39,16
hepatite,3506003,Bauru,prophet,0.669,1.198,-0.182,171.53,16
hepatite,3506003,Bauru,sarima,0.839,1.053,0.088,151.7,16
hepatite,3506003,Bauru,seasonal_ma3,1.083,1.349,-0.498,154.74,16
hepatite,3506003,Bauru,seasonal_naive,1.062,1.561,-1.006,165.33,16
hepatite,3506003,Bauru,tft,1.116,1.448,-0.726,181.62,16
hepatite,3506003,Bauru,xgboost,0.957,1.2,-0.185,152.86,16
hepatite,3509502,Campinas,catboost,2.017,2.888,-0.39,88.26,16
hepatite,3509502,Campinas,deepar,1.838,2.721,-0.234,91.7,16
hepatite,3509502,Campinas,gru,2.036,3.004,-0.504,100.86,16
hepatite,3509502,Campinas,lgbm,2.02,3.066,-0.567,77.88,16
hepatite,3509502,Campinas,lstm,1.758,2.729,-0.241,82.3,16
hepatite,3509502,Campinas,nhits,2.408,3.332,-0.85,145.25,16
hepatite,3509502,Campinas,prophet,1.854,2.791,-0.299,87.21,16
hepatite,3509502,Campinas,sarima,2.028,3.072,-0.573,82.58,16
hepatite,3509502,Campinas,seasonal_ma3,1.792,2.687,-0.204,79.76,16
hepatite,3509502,Campinas,seasonal_naive,2.188,3.231,-0.74,100.38,16
hepatite,3509502,Campinas,tft,1.938,2.922,-0.423,99.24,16
hepatite,3509502,Campinas,xgboost,1.922,2.93,-0.431,76.66,16
hepatite,3510609,Carapicuíba,catboost,0.465,0.511,-0.113,168.21,16
hepatite,3510609,Carapicuíba,deepar,0.471,0.57,-0.388,181.82,16
hepatite,3510609,Carapicuíba,gru,0.662,0.92,-2.61,188.33,16
hepatite,3510609,Carapicuíba,lgbm,0.46,0.505,-0.088,167.3,16
hepatite,3510609,Carapicuíba,lstm,0.371,0.565,-0.362,185.6,16
hepatite,3510609,Carapicuíba,nhits,0.375,0.612,-0.6,200.0,16
hepatite,3510609,Carapicuíba,prophet,0.43,0.603,-0.551,187.57,16
hepatite,3510609,Carapicuíba,sarima,0.576,0.647,-0.788,175.27,16
hepatite,3510609,Carapicuíba,seasonal_ma3,0.5,0.601,-0.541,176.92,16
hepatite,3510609,Carapicuíba,seasonal_naive,0.625,0.791,-1.667,200.0,16
hepatite,3510609,Carapicuíba,tft,0.399,0.584,-0.453,192.57,16
hepatite,3510609,Carapicuíba,xgboost,0.48,0.517,-0.138,165.48,16
hepatite,3513801,Diadema,catboost,0.031,0.032,,200.0,16
hepatite,3513801,Diadema,deepar,0.347,0.476,,200.0,16
