disease,cd_mun,nm_mun,model,mae,rmse,r2,smape,n
hiv_aids,3505708,Barueri,catboost,1.152,1.344,-0.041,127.92,16
hiv_aids,3505708,Barueri,deepar,1.131,1.427,-0.173,146.12,16
hiv_aids,3505708,Barueri,gru,1.123,1.719,-0.704,198.37,16
hiv_aids,3505708,Barueri,lgbm,1.19,1.367,-0.077,130.8,16
hiv_aids,3505708,Barueri,lstm,1.149,1.707,-0.679,189.0,16
hiv_aids,3505708,Barueri,nhits,1.125,1.732,-0.73,199.97,16
hiv_aids,3505708,Barueri,prophet,1.197,1.546,-0.379,166.89,16
hiv_aids,3505708,Barueri,sarima,1.165,1.366,-0.076,137.57,16
hiv_aids,3505708,Barueri,seasonal_ma3,1.25,1.537,-0.361,146.83,16
hiv_aids,3505708,Barueri,seasonal_naive,1.375,1.904,-1.09,146.67,16
hiv_aids,3505708,Barueri,tft,1.07,1.407,-0.142,149.98,16
hiv_aids,3505708,Barueri,xgboost,1.191,1.376,-0.091,131.11,16
hiv_aids,3506003,Bauru,catboost,1.943,2.621,-2.554,51.71,16
hiv_aids,3506003,Bauru,deepar,1.331,1.577,-0.287,47.59,16
hiv_aids,3506003,Bauru,gru,1.83,2.122,-1.329,53.09,16
hiv_aids,3506003,Bauru,lgbm,1.881,2.411,-2.007,52.02,16
hiv_aids,3506003,Bauru,lstm,1.983,2.315,-1.771,55.01,16
hiv_aids,3506003,Bauru,nhits,2.258,2.685,-2.729,130.31,16
hiv_aids,3506003,Bauru,prophet,1.555,2.018,-1.107,72.93,16
hiv_aids,3506003,Bauru,sarima,1.656,2.2,-1.503,55.08,16
hiv_aids,3506003,Bauru,seasonal_ma3,2.813,3.144,-4.111,70.95,16
hiv_aids,3506003,Bauru,seasonal_naive,2.125,2.598,-2.491,64.51,16
hiv_aids,3506003,Bauru,tft,2.028,2.369,-1.904,55.54,16
hiv_aids,3506003,Bauru,xgboost,1.835,2.37,-1.906,50.69,16
hiv_aids,3509502,Campinas,catboost,2.685,3.51,0.165,33.97,16
hiv_aids,3509502,Campinas,deepar,3.442,4.95,-0.661,46.13,16
