nm_mun,catboost,gru,lgbm,lstm,nhits,prophet,sarima,seasonal_ma3,seasonal_naive,tft,xgboost,deepar
Praia Grande,0.08,0.0,0.06,0.0,0.0,0.08,0.05,0.04,0.0,0.0,0.07,1.2087499967310578
Mauá,0.09,0.0,0.06,0.0,0.0,0.05,0.06,0.06,0.06,0.0,0.06,0.5018749884329736
Barueri,0.1,0.0,0.08,0.0,0.0,0.02,0.1,0.1,0.0,0.0,0.1,0.6131249843165278
São José do Rio Preto,0.17,0.0,0.12,0.0,0.0,0.18,0.04,0.02,0.0,0.08,0.13,0.21249999292194838
Paulínia,0.1,0.06,0.09,0.06,0.06,0.1,0.1,0.08,0.12,0.06,0.09,0.8856249690288678
Itapevi,0.13,0.06,0.1,0.06,0.06,0.08,0.08,0.08,0.12,0.06,0.09,0.31874998786952347
Sorocaba,0.16,0.06,0.14,0.06,0.06,0.09,0.17,0.06,0.06,0.06,0.14,0.4993749875575304
Carapicuíba,0.15,0.06,0.14,0.06,0.06,0.17,0.17,0.08,0.12,0.06,0.15,0.9793749745003879
Santo André,0.18,0.06,0.15,0.06,0.06,0.17,0.17,0.17,0.19,0.06,0.16,1.2699999662581831
Santos,0.22,0.12,0.18,0.12,0.12,0.16,0.19,0.21,0.19,0.12,0.18,0.5087499916553497
Osasco,0.22,0.12,0.21,0.12,0.12,0.2,0.29,0.17,0.25,0.12,0.2,0.550624986179173
Diadema,0.19,0.12,0.24,0.12,0.12,0.27,0.22,0.23,0.19,0.12,0.22,0.7181249856948853
São Bernardo do Campo,0.22,0.12,0.19,0.12,0.12,0.22,0.21,0.27,0.25,0.12,0.2,0.6449999837204814
Jundiaí,0.24,0.06,0.18,0.06,0.06,0.38,0.7,0.15,0.19,0.06,0.2,0.2293749954551458
São José dos Campos,0.28,0.19,0.26,0.19,0.19,0.26,0.29,0.25,0.19,0.19,0.27,0.5318749868310988
São Vicente,0.31,0.19,0.28,0.19,0.19,0.24,0.27,0.27,0.25,0.19,0.3,0.7368749934248626
Taboão da Serra,0.32,0.25,0.31,0.25,0.25,0.3,0.34,0.33,0.5,0.25,0.34,0.7493749908171594
Guarulhos,0.65,0.5,0.64,0.5,0.5,0.5,0.64,0.6,0.5,1.78,0.66,0.6306249983608723
Guarujá,0.57,0.44,0.41,0.44,0.44,1.52,0.92,1.21,0.75,0.52,0.5,0.950624980032444
Bauru,0.71,0.68,0.72,0.71,0.64,0.69,3.95,0.83,0.94,0.7,0.7,0.7099999990314245
Ribeirão Preto,0.86,0.94,0.85,0.94,0.99,0.92,0.85,1.0,1.25,2.59,0.81,1.2299999902024865
Campinas,1.82,1.69,1.8,1.69,1.67,1.7,1.93,1.92,1.44,2.93,1.65,2.2987499870359898
São Paulo,2.19,2.53,2.54,2.47,2.47,3.16,3.32,3.4,4.62,4.48,2.43,4.385624907910824
