nm_mun,catboost,deepar,gru,lgbm,lstm,nhits,prophet,sarima,seasonal_ma3,seasonal_naive,tft,xgboost
Guarulhos,0.04,0.03,0.02,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02
Itapevi,0.06,0.07,0.0,0.04,0.0,0.0,0.02,0.03,0.0,0.0,0.0,0.04
Mauá,0.04,0.0,0.24,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
Santo André,0.04,0.12,0.12,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Guarujá,0.03,0.05,0.22,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01
Ribeirão Preto,0.03,0.0,0.32,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Taboão da Serra,0.04,0.35,0.0,0.02,0.0,0.0,0.07,0.02,0.0,0.0,0.0,0.02
Praia Grande,0.03,0.52,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Sorocaba,0.13,0.02,0.05,0.14,0.0,0.0,0.01,0.11,0.08,0.06,0.0,0.12
São José do Rio Preto,0.02,0.01,0.68,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Jundiaí,0.06,0.32,0.3,0.03,0.0,0.0,0.01,0.04,0.0,0.0,0.0,0.03
Diadema,0.03,0.35,0.33,0.01,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.01
São José dos Campos,0.07,0.01,0.79,0.04,0.0,0.0,0.0,0.0,0.19,0.19,0.0,0.04
São Vicente,0.09,0.29,0.31,0.08,0.06,0.06,0.06,0.08,0.08,0.12,0.06,0.08
São Paulo,0.03,0.0,1.44,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Paulínia,0.1,0.73,0.06,0.08,0.06,0.06,0.06,0.07,0.12,0.12,0.06,0.08
Osasco,0.23,0.41,0.11,0.28,0.13,0.12,0.29,0.25,0.42,0.31,0.14,0.28
São Bernardo do Campo,0.57,0.46,0.47,0.53,0.44,0.44,0.44,0.6,0.44,0.38,0.46,0.54
Carapicuíba,0.46,0.47,0.66,0.46,0.37,0.38,0.43,0.58,0.5,0.62,0.4,0.48
Barueri,0.54,0.57,0.64,0.55,0.34,0.31,0.4,0.57,0.58,0.56,0.32,0.55
Santos,0.65,0.61,0.6,0.64,0.55,0.56,0.61,0.65,0.71,0.56,0.58,0.67
Bauru,0.96,1.22,0.65,1.0,0.64,0.69,0.67,0.84,1.08,1.06,1.12,0.96
Campinas,2.02,1.84,2.04,2.02,1.76,2.41,1.85,2.03,1.79,2.19,1.94,1.92
