nm_mun,catboost,deepar,gru,lgbm,lstm,nhits,prophet,sarima,seasonal_ma3,seasonal_naive,tft,xgboost
Paulínia,0.56,0.61,0.35,0.47,0.31,0.31,0.37,0.35,0.5,0.62,0.31,0.43
Sorocaba,1.04,0.63,0.17,0.68,0.15,0.13,0.37,1.1,0.79,0.56,0.3,0.59
Praia Grande,0.78,0.66,0.62,0.75,0.62,0.62,0.7,0.63,0.56,0.62,0.66,0.73
Itapevi,1.05,0.8,0.72,1.0,0.65,0.69,0.92,0.81,1.46,1.31,0.76,1.05
Taboão da Serra,1.01,0.94,0.75,0.94,0.75,0.75,1.04,1.12,1.06,1.25,0.77,0.91
São Vicente,1.04,1.27,0.7,0.98,0.72,0.75,0.9,0.88,1.46,0.88,0.82,0.9
Barueri,1.15,1.13,1.12,1.19,1.15,1.12,1.2,1.16,1.25,1.38,1.07,1.19
São Bernardo do Campo,1.24,1.1,1.46,1.05,1.11,1.78,1.06,1.01,1.29,1.69,0.87,1.04
Diadema,1.09,1.04,1.26,1.07,1.25,1.9,1.36,1.46,1.62,1.56,1.35,1.02
Santos,1.2,1.2,1.27,1.12,1.43,1.45,1.62,2.21,1.21,1.5,1.22,1.13
Mauá,1.13,1.31,1.72,1.03,1.9,1.92,1.48,1.31,1.52,1.25,1.62,1.08
Guarujá,1.26,1.29,1.57,1.3,1.57,1.75,1.93,2.12,1.35,1.69,1.56,1.27
Santo André,1.53,1.15,1.7,1.51,1.43,2.18,1.68,1.59,1.4,1.75,1.35,1.5
Bauru,1.94,1.33,1.83,1.88,1.98,2.26,1.56,1.66,2.81,2.12,2.03,1.84
Jundiaí,2.26,2.5,2.66,2.26,2.72,2.19,2.56,2.6,2.38,2.69,2.64,2.36
Carapicuíba,2.67,2.56,2.18,2.53,2.39,4.24,2.6,2.48,2.6,3.31,2.02,2.51
Osasco,2.54,2.21,2.4,2.62,2.52,3.49,2.72,2.45,2.81,3.81,2.32,2.61
Guarulhos,3.07,2.11,2.41,3.1,2.4,4.32,2.77,2.73,3.0,3.62,2.16,3.08
Campinas,2.68,3.44,4.08,3.04,3.7,5.49,5.83,3.07,4.02,3.25,4.23,3.1
São José dos Campos,4.06,3.79,3.43,3.81,2.89,7.58,3.64,4.38,3.6,4.5,2.74,3.72
São José do Rio Preto,3.64,4.36,4.36,4.33,4.96,5.72,4.92,3.76,4.62,6.06,5.27,4.44
Ribeirão Preto,4.0,5.31,6.33,4.08,4.9,5.2,4.39,3.52,6.27,5.75,5.22,3.91
São Paulo,16.46,19.17,29.62,21.66,31.34,35.63,30.22,20.11,24.12,23.25,32.44,18.57
