nm_mun,catboost,gru,lgbm,lstm,nhits,prophet,sarima,seasonal_ma3,seasonal_naive,tft,xgboost,deepar
Sorocaba,0.72,0.96,0.76,1.24,1.02,0.88,0.8,0.9,1.0,0.96,0.74,0.860624996945262
Itapevi,1.04,1.08,1.04,1.04,1.24,1.05,1.03,1.15,1.12,0.9,1.05,1.116874985396862
Mauá,1.02,1.43,0.98,1.11,1.47,0.95,1.04,1.23,1.19,1.11,0.99,1.1031249910593033
Jundiaí,1.12,1.42,1.13,1.38,1.36,1.26,1.01,1.27,1.12,1.31,1.08,1.5275000017136335
Paulínia,1.26,1.28,1.24,1.11,1.38,1.28,1.22,1.54,1.5,1.32,1.18,1.213749997317791
São José do Rio Preto,0.97,1.77,1.11,1.55,1.58,1.23,1.18,1.23,1.56,1.82,1.08,1.3043750077486038
São José dos Campos,1.28,1.56,1.35,1.56,1.76,1.41,1.44,1.19,1.31,1.25,1.33,1.0024999901652336
Barueri,1.55,1.4,1.55,1.25,1.88,1.42,1.37,1.42,1.5,1.56,1.54,1.3212500214576721
Taboão da Serra,1.52,1.69,1.51,1.51,1.77,1.34,1.36,1.48,1.88,1.78,1.42,1.9787499606609344
Guarulhos,1.99,2.74,1.9,2.23,2.58,2.12,1.82,2.88,2.62,2.09,1.96,2.0793749690055847
Praia Grande,2.23,2.24,2.02,2.35,3.35,1.77,2.24,1.81,3.19,2.25,2.07,1.8918750137090683
Bauru,2.61,2.15,2.39,2.18,2.26,2.19,2.68,2.35,3.12,2.75,2.21,2.2718750089406967
São Bernardo do Campo,2.32,2.39,2.4,2.1,2.92,2.11,2.44,2.4,2.81,2.77,2.31,2.1843750029802322
Diadema,2.76,2.36,2.61,2.53,3.52,2.35,2.64,2.35,3.12,2.7,2.65,2.306249961256981
Carapicuíba,2.69,2.9,2.61,2.91,2.7,2.56,2.85,2.48,3.5,2.47,2.73,3.3743749260902405
Santos,2.1,3.09,2.34,3.78,3.38,2.99,2.04,3.15,3.31,2.7,2.33,2.678749978542328
Santo André,2.81,2.74,2.69,2.83,3.28,2.57,2.78,2.81,3.31,2.83,2.74,2.9950000047683716
Guarujá,3.04,2.53,3.11,2.87,3.14,2.66,2.58,2.96,3.25,2.6,3.17,3.2024999856948853
Osasco,2.83,2.46,2.73,2.89,3.55,2.77,2.8,2.88,3.81,2.88,2.85,2.3899999260902405
Campinas,3.93,3.25,3.66,3.34,4.14,3.87,3.54,3.79,3.19,4.21,3.94,3.3781250417232513
São Vicente,4.2,2.94,3.81,2.88,4.21,3.53,5.18,3.21,4.12,3.62,3.63,3.586874783039093
Ribeirão Preto,3.88,3.79,3.86,3.91,3.93,4.03,4.22,4.31,5.12,4.27,3.92,4.095625102519989
São Paulo,18.57,16.39,18.71,17.02,16.7,17.54,17.5,15.0,16.62,15.1,18.21,16.68375015258789
