nm_mun,catboost,deepar,gru,lgbm,lstm,nhits,prophet,sarima,seasonal_ma3,seasonal_naive,tft,xgboost
Barueri,0.11,0.76,0.0,0.08,0.0,0.0,0.04,0.1,0.25,0.0,0.0,0.12
Bauru,0.81,0.86,1.02,0.83,1.01,0.95,1.03,4.16,1.01,1.2,1.03,0.8
Campinas,2.09,2.7,2.46,2.1,2.46,2.42,2.02,2.29,2.2,2.11,3.58,1.93
Carapicuíba,0.26,1.28,0.25,0.26,0.25,0.25,0.27,0.25,0.26,0.35,0.25,0.26
Diadema,0.34,0.77,0.35,0.35,0.35,0.35,0.36,0.34,0.42,0.43,0.35,0.34
Guarujá,0.78,1.15,0.97,0.52,0.97,0.97,1.69,1.22,1.81,1.23,0.99,0.63
Guarulhos,0.75,0.88,0.94,0.81,0.94,0.94,0.87,0.81,0.88,1.0,2.78,0.76
Itapevi,0.25,0.44,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.35,0.25,0.25
Jundiaí,0.28,0.31,0.25,0.26,0.25,0.25,0.54,0.74,0.3,0.43,0.25,0.26
Mauá,0.1,0.56,0.0,0.06,0.0,0.0,0.06,0.06,0.14,0.25,0.0,0.06
Osasco,0.49,0.65,0.5,0.49,0.5,0.5,0.46,0.49,0.53,0.71,0.5,0.49
Paulínia,0.24,1.15,0.25,0.24,0.25,0.25,0.25,0.26,0.26,0.35,0.25,0.25
Praia Grande,0.09,1.62,0.0,0.07,0.0,0.0,0.1,0.08,0.12,0.0,0.0,0.08
Ribeirão Preto,1.08,1.54,1.35,1.08,1.35,1.35,1.03,1.07,1.14,1.54,3.59,1.04
Santo André,0.26,1.78,0.25,0.26,0.25,0.25,0.24,0.25,0.31,0.43,0.25,0.25
Santos,0.35,0.58,0.35,0.34,0.35,0.35,0.33,0.33,0.33,0.43,0.35,0.34
Sorocaba,0.25,0.52,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
São Bernardo do Campo,0.34,0.76,0.35,0.34,0.35,0.35,0.37,0.33,0.42,0.5,0.35,0.34
São José do Rio Preto,0.2,0.22,0.0,0.13,0.0,0.0,0.27,0.05,0.08,0.0,0.17,0.15
São José dos Campos,0.53,0.63,0.56,0.53,0.56,0.56,0.53,0.53,0.61,0.56,0.56,0.54
São Paulo,4.65,6.67,4.6,4.57,4.81,5.24,4.76,4.9,4.92,7.44,5.56,4.49
São Vicente,0.42,0.9,0.43,0.42,0.43,0.43,0.39,0.41,0.45,0.5,0.43,0.42
Taboão da Serra,0.46,0.93,0.5,0.46,0.5,0.5,0.45,0.44,0.49,0.79,0.5,0.47
