nm_mun,catboost,gru,lgbm,lstm,nhits,prophet,sarima,seasonal_ma3,seasonal_naive,tft,xgboost
Barueri,1.34,1.72,1.37,1.71,1.73,1.55,1.37,1.54,1.9,1.41,1.38
Bauru,2.62,2.12,2.41,2.32,2.68,2.02,2.2,3.14,2.6,2.37,2.37
Campinas,3.51,4.72,3.86,4.33,6.14,6.77,4.25,4.9,4.69,4.63,3.9
Carapicuíba,3.18,2.81,2.98,3.08,4.7,3.11,2.99,3.19,4.04,2.57,2.93
Diadema,1.3,1.52,1.31,1.66,2.29,1.75,1.82,2.09,2.05,1.71,1.24
Guarujá,1.49,1.91,1.54,1.92,2.21,2.46,2.51,1.58,1.89,1.97,1.51
Guarulhos,3.89,2.96,3.97,2.82,4.9,3.44,3.52,3.78,4.43,2.68,3.92
Itapevi,1.31,1.23,1.25,1.14,1.25,1.14,1.0,1.73,1.78,1.2,1.3
Jundiaí,2.67,3.26,2.68,3.3,2.78,3.18,3.09,3.0,3.54,3.21,2.8
Mauá,1.37,2.15,1.36,2.36,2.36,1.84,1.62,1.77,1.87,1.96,1.37
Osasco,3.03,2.85,3.15,3.01,4.17,3.11,2.88,3.33,4.51,2.64,3.11
Paulínia,0.58,0.57,0.48,0.56,0.56,0.51,0.43,0.6,0.79,0.56,0.46
Praia Grande,0.97,0.92,0.9,0.92,0.94,0.93,0.82,0.73,0.87,0.86,0.83
Ribeirão Preto,4.98,7.1,4.91,5.73,6.42,5.6,4.77,6.87,7.33,6.0,4.65
Santo André,1.88,2.31,1.85,2.07,2.82,2.26,2.11,1.92,2.24,1.82,1.82
Santos,1.42,1.76,1.35,1.93,1.97,2.11,2.72,1.6,2.0,1.55,1.34
Sorocaba,1.14,0.36,0.74,0.34,0.34,0.78,1.22,1.03,0.9,0.53,0.65
São Bernardo do Campo,1.71,1.72,1.41,1.41,2.06,1.27,1.31,1.54,1.95,1.05,1.33
São José do Rio Preto,4.7,5.86,5.85,6.29,6.95,6.15,5.03,6.29,7.28,6.08,5.65
São José dos Campos,5.42,4.26,4.82,3.62,9.1,4.76,5.65,4.29,5.45,3.39,4.8
São Paulo,22.86,36.84,26.31,38.7,41.22,36.19,23.72,32.29,29.8,39.83,22.69
São Vicente,1.16,1.02,1.14,0.99,1.12,1.2,1.21,2.29,1.27,1.04,1.07
Taboão da Serra,1.19,1.27,1.11,1.27,1.27,1.43,1.6,1.37,1.58,1.25,1.08
