nm_mun,catboost,gru,lgbm,lstm,nhits,prophet,sarima,seasonal_ma3,seasonal_naive,tft,xgboost,deepar
Barueri,1.67,1.6,1.66,1.44,2.16,1.57,1.51,1.66,1.87,1.81,1.68,1.5050789179043707
Bauru,3.4,2.78,3.27,3.1,3.11,3.13,3.48,3.4,3.98,3.33,3.09,3.2620325480639125
Campinas,4.8,4.41,4.41,4.39,4.69,5.18,4.28,5.37,4.56,5.03,4.92,4.584301343015388
Carapicuíba,3.51,3.43,3.34,3.4,3.79,3.18,3.66,3.56,4.64,3.03,3.46,4.047053623265022
Diadema,3.68,3.36,3.54,3.41,4.36,3.25,3.54,3.03,3.86,3.5,3.56,3.049428208739731
Guarujá,3.63,3.22,3.5,3.39,4.08,3.24,2.99,3.75,3.89,3.2,3.73,3.9552339067688123
Guarulhos,2.34,3.43,2.38,2.81,3.16,2.66,2.42,3.32,3.39,2.58,2.45,2.6947529337478087
Itapevi,1.27,1.38,1.26,1.31,1.72,1.26,1.29,1.43,1.7,1.17,1.26,1.2338987939640003
Jundiaí,1.34,1.71,1.35,1.58,1.65,1.62,1.3,1.41,1.46,1.52,1.33,1.6912643264095357
Mauá,1.42,1.8,1.45,1.49,1.98,1.34,1.51,1.61,1.78,1.56,1.42,1.5195291229174326
Osasco,4.26,3.44,4.26,3.89,5.48,4.02,4.07,4.56,5.52,4.27,4.21,3.50733700621987
Paulínia,1.55,1.6,1.53,1.49,1.91,1.52,1.49,1.91,2.03,1.69,1.48,1.438862391698309
Praia Grande,2.65,2.49,2.54,2.58,3.94,2.22,2.62,2.27,3.68,2.72,2.58,2.3963005787775358
Ribeirão Preto,4.62,4.26,4.55,4.44,4.68,4.88,4.85,4.75,6.36,4.9,4.66,4.748224063533826
Santo André,3.83,3.85,3.7,3.8,3.99,3.4,3.8,3.59,3.96,3.76,3.75,4.0514025738492165
Santos,2.72,3.83,2.89,4.88,3.82,3.82,2.58,3.79,3.72,3.48,2.92,3.4166174488364636
Sorocaba,1.06,1.28,1.06,1.56,1.31,1.33,1.1,1.25,1.41,1.19,1.06,1.0052021017042851
São Bernardo do Campo,2.91,3.22,3.15,2.94,3.43,2.78,3.04,3.28,3.33,3.47,3.06,2.8142683514205737
São José do Rio Preto,1.12,2.11,1.35,1.84,2.0,1.42,1.45,1.42,1.82,2.16,1.32,1.5302920568593261
São José dos Campos,1.72,1.96,1.82,1.89,2.17,1.9,1.99,1.61,1.78,1.66,1.75,1.276743908329522
São Paulo,20.87,20.6,22.27,19.95,20.14,23.22,20.14,18.62,19.45,19.4,20.88,19.24067203032112
São Vicente,5.82,4.54,5.12,4.39,5.11,4.52,6.27,4.81,5.36,4.81,5.25,5.053950672534117
Taboão da Serra,1.78,2.16,1.79,1.98,2.04,1.64,1.73,1.71,2.35,2.13,1.68,2.438367733798823
