disease,cd_mun,nm_mun,model,mae,rmse,r2,smape,n
sifilis,3505708,Barueri,catboost,1.567,1.896,-0.307,61.64,16
sifilis,3505708,Barueri,deepar,2.022,2.342,-0.994,87.87,16
sifilis,3505708,Barueri,gru,2.52,3.06,-2.406,136.31,16
sifilis,3505708,Barueri,lgbm,1.684,2.06,-0.543,64.3,16
sifilis,3505708,Barueri,lstm,2.707,3.151,-2.61,152.43,16
sifilis,3505708,Barueri,nhits,2.501,2.883,-2.022,89.09,16
sifilis,3505708,Barueri,prophet,1.802,2.204,-0.767,72.94,16
sifilis,3505708,Barueri,sarima,1.602,2.005,-0.461,63.85,16
sifilis,3505708,Barueri,seasonal_ma3,1.646,2.116,-0.629,63.62,16
sifilis,3505708,Barueri,seasonal_naive,1.375,1.969,-0.409,55.05,16
sifilis,3505708,Barueri,tft,1.971,2.401,-1.097,85.93,16
sifilis,3505708,Barueri,xgboost,1.586,1.98,-0.425,62.77,16
sifilis,3506003,Bauru,catboost,1.373,1.892,0.169,67.34,16
sifilis,3506003,Bauru,deepar,1.817,2.335,-0.265,93.74,16
sifilis,3506003,Bauru,gru,2.455,3.123,-1.264,152.83,16
sifilis,3506003,Bauru,lgbm,1.32,1.705,0.325,65.35,16
sifilis,3506003,Bauru,lstm,3.062,3.7,-2.177,200.0,16
sifilis,3506003,Bauru,nhits,2.243,2.861,-0.899,128.38,16
sifilis,3506003,Bauru,prophet,1.593,2.15,-0.072,82.58,16
sifilis,3506003,Bauru,sarima,1.57,1.907,0.156,78.71,16
sifilis,3506003,Bauru,seasonal_ma3,1.812,2.562,-0.523,89.57,16
sifilis,3506003,Bauru,seasonal_naive,2.5,3.082,-1.205,110.55,16
sifilis,3506003,Bauru,tft,2.495,3.048,-1.156,144.0,16
sifilis,3506003,Bauru,xgboost,1.491,1.841,0.213,70.45,16
sifilis,3509502,Campinas,catboost,1.612,2.221,-0.042,53.0,16
sifilis,3509502,Campinas,deepar,2.595,3.191,-1.151,95.21,16
sifilis,3509502,Campinas,gru,3.496,3.854,-2.137,106.68,16
sifilis,3509502,Campinas,lgbm,1.722,2.292,-0.109,56.29,16
sifilis,3509502,Campinas,lstm,2.349,2.773,-0.624,65.0,16
