disease,horizon,1st,2nd,3rd
hanseniase,1,gru (0.18),lstm (0.20),nhits (0.25)
hanseniase,3,nhits (0.31),lstm (0.36),gru (0.38)
hanseniase,6,xgboost (0.48),nhits (0.48),lstm (0.50)
hanseniase,12,gru (0.37),lstm (0.38),nhits (0.39)
hepatite,1,lstm (0.14),prophet (0.15),nhits (0.17)
hepatite,3,lstm (0.17),gru (0.19),prophet (0.21)
hepatite,6,nhits (0.20),tft (0.24),lstm (0.24)
hepatite,12,lstm (0.20),prophet (0.22),seasonal_naive (0.23)
hiv_aids,1,tft (2.50),sarima (2.52),deepar (2.64)
hiv_aids,3,sarima (2.16),xgboost (2.16),catboost (2.21)
hiv_aids,6,catboost (2.23),lgbm (2.33),xgboost (2.33)
hiv_aids,12,deepar (2.21),catboost (2.50),seasonal_ma3 (2.93)
sifilis,1,xgboost (2.47),sarima (2.58),deepar (2.65)
sifilis,3,prophet (2.42),lgbm (2.66),xgboost (2.68)
sifilis,6,xgboost (2.32),sarima (2.33),catboost (2.48)
sifilis,12,lgbm (2.93),catboost (2.97),xgboost (3.13)
tuberculose,1,seasonal_ma3 (2.42),gru (2.47),prophet (2.53)
tuberculose,3,prophet (2.79),xgboost (2.85),catboost (2.92)
tuberculose,6,deepar (2.51),sarima (2.69),xgboost (2.70)
tuberculose,12,tft (2.63),gru (2.67),seasonal_ma3 (2.67)
